,country,dislikes,likes,views,youtube_ids,youtube_links_count,total_votes,likes_ratio
0,belgium,1078,15761,753654,"17QXkQEckE4, rgSt2NNrYsk",2,16839,0.9359819466714175
1,switzerland,1783,23914,797771,"GdSmDZckaAw, 6PxoMWtAC7M",2,25697,0.9306144686150134
2,cyprus,3336,44303,1642640,"WPFUZswe_zw, ESkhPXfl4A0",2,47639,0.9299733411700497
3,italy,60910,722117,46345137,"22lISUXgSUw, tEwvUu1dBTs",2,783027,0.922212133170376
4,malta,1105,12892,363660,tdyQ-ebzFgk,1,13997,0.9210545116810746
5,netherlands,3936,45818,2006554,"Eztx7Wr8PtE, bRpw1dLPfgM",2,49754,0.9208907826506412
6,estonia,684,7925,374369,"a4bfC0NPl1I, zX41EmHGXck",2,8609,0.9205482634452318
7,lithuania,1545,17841,938141,"LzfmYE_HsgM, ut-0TaybLRE",2,19386,0.9203033116682142
8,greece,4108,46669,1448560,"Lc_b7SlK9js, ulQoRPcQVDc",2,50777,0.9190972290604014
9,azerbaijan,1901,17759,447802,iyZJ_aMw5hY,1,19660,0.9033062054933876
10,albania,768,6632,195842,"eo4aFzAkQkA, iQWNLc4eLT8",2,7400,0.8962162162162162
11,armenia,2178,16266,392372,q_46dy4yJwg,1,18444,0.8819128171763175
12,norway,1255,9118,467513,"50WutSRykdE, sq1bH_uo1nU",2,10373,0.8790128217487708
13,hungary,2701,19444,1153121,"QjVyhLbiIPw, WVW_vZHYnkk, o-s__gs-16Y",3,22145,0.8780311582750057
14,united-kingdom,1789,11004,765702,"-3nIUKVp75U, 8_IcrNgV-O4",2,12793,0.8601578988509341
15,serbia,1176,6671,265264,"wofZn3yJiMY, j-5FgSqp2Fg",2,7847,0.8501338090990187
16,spain,7945,43633,2369374,"pEaS6atxFgc, 1JLtDWvIXNY",2,51578,0.8459614564349142
17,russia,19756,105361,3046200,"ovhJHU8wnxU, gEpUgRtXBss",2,125117,0.8420997945922617
18,slovenia,5115,26655,1691752,"2C9W7MbDivU, m4Ci3nrBdno, vleF8-gAn_U",3,31770,0.8389990557129368
19,north-macedonia,2600,13387,503992,Sw-NQ1a1zZ0,1,15987,0.8373678613873773
20,latvia,1341,6730,412494,"wfDMzm9ZtrU, 6j61TWsjcJY",2,8071,0.8338495849337133
21,ireland,1068,5304,250401,"RLF2CfiSAFU, LXBIDYh_UE4",2,6372,0.832391713747646
22,sweden,3386,16129,662500,"allrou65mCY, iEEuG5XML-A",2,19515,0.8264924417115039
23,san-marino,1366,6456,230706,l5arNtTYK1s,1,7822,0.8253643569419585
24,denmark,2479,11640,929456,"qgA2BqvwEcI, fAdSQxaXsSk",2,14119,0.824420992988172
25,portugal,5220,23424,1306525,"9t5_yUNp0bg, xSbp8lwCQp8",2,28644,0.8177628822790113
26,poland,5182,22204,1097145,"mQSxrcDoZgs, hVkyOjwpUCQ",2,27386,0.8107792302636384
27,montenegro,983,4101,142791,"EXmXfHhLBoQ, ZkU1Apx64L0",2,5084,0.806648308418568
28,israel,6583,26684,845617,"LsA-1gPV8nY, 7d__XXiVJkE",2,33267,0.8021162112604082
29,czech-republic,4087,15080,632596,"yH1-uy9FYKE, duSSVY_YJyY, Ho9MuPJPZ90",3,19167,0.7867689257578129
30,finland,1371,5013,299482,"MOBFjpqKSi0, d4DPGAJhSac",2,6384,0.7852443609022557
31,moldova,239,862,49015,"areV6tnq3po, p3OC8qhZBWQ",2,1101,0.7829246139872843
32,france,43468,123004,7061491,"tCJRigN2DmI, VydsMYa9lyI",2,166472,0.738887020039406
33,iceland,4079,10414,643957,"-ELSP8zqhXo, m9VWSF_WuIk",2,14493,0.718553784585662
34,romania,7243,17444,1010463,"T1dhF0_QyH0, _loQfk_ZUOs, cvzruGxaAO4",3,24687,0.706606716085389
35,croatia,6670,14513,1126789,"XOwPqUKG83s, XH1XfjICYLc",2,21183,0.6851248642779587
36,georgia,1773,3609,239675,"QCOMCqOXmUo, KXIbXgwjCUM",2,5382,0.6705685618729097
37,austria,2292,4133,224360,"S2HFBexHDXk, ryNF0hXj1ww",2,6425,0.6432684824902724
38,australia,7658,11559,790371,"VlpBPO9_L4E, 8RmThfoBB_E",2,19217,0.6014986730499037
39,belarus,3162,4745,195928,"Ao93RTN90Xs, 2tzuph4cWLw",2,7907,0.6001011761730113
40,germany,17807,19011,1688508,"RuqS6-KJFgA, MHCLVsmJda4",2,36818,0.5163506980281384
