,country,dislikes,likes,views,youtube_ids,youtube_links_count,total_votes,likes_ratio
0,switzerland,3361,55587,3333766,"6PxoMWtAC7M, GdSmDZckaAw",2,58948,0.9429836466037864
1,belgium,1867,24161,1750435,"17QXkQEckE4, rgSt2NNrYsk",2,26028,0.9282695558629168
2,cyprus,5895,76022,4641214,"ESkhPXfl4A0, WPFUZswe_zw",2,81917,0.9280369154143828
3,italy,76261,895180,75176005,"22lISUXgSUw, tEwvUu1dBTs",2,971441,0.9214970337879501
4,greece,6448,72554,3496622,"ulQoRPcQVDc, Lc_b7SlK9js",2,79002,0.9183818131186552
5,malta,3562,40009,5540277,tdyQ-ebzFgk,1,43571,0.9182483762135365
6,estonia,1111,11815,795986,"zX41EmHGXck, a4bfC0NPl1I",2,12926,0.9140492031564289
7,lithuania,2208,22942,1688455,"ut-0TaybLRE, LzfmYE_HsgM",2,25150,0.91220675944334
8,netherlands,9497,97962,6751241,"bRpw1dLPfgM, Eztx7Wr8PtE",2,107459,0.911622107036172
9,azerbaijan,3797,37411,1477913,iyZJ_aMw5hY,1,41208,0.9078576975344593
10,norway,2298,18602,1371029,"50WutSRykdE, sq1bH_uo1nU",2,20900,0.8900478468899522
11,spain,18556,148654,7237683,"pEaS6atxFgc, 1JLtDWvIXNY, eWEFU2c3tBI",3,167210,0.8890257759703367
12,albania,2095,16289,986429,"iQWNLc4eLT8, eo4aFzAkQkA",2,18384,0.8860422106179286
13,hungary,3386,26012,1866936,"QjVyhLbiIPw, o-s__gs-16Y, WVW_vZHYnkk",3,29398,0.8848220967412749
14,armenia,6829,48511,4429370,q_46dy4yJwg,1,55340,0.8765992049150705
15,united-kingdom,2428,14828,1271149,"8_IcrNgV-O4, -3nIUKVp75U",2,17256,0.8592953175707001
16,ireland,1787,10856,882278,"LXBIDYh_UE4, RLF2CfiSAFU",2,12643,0.8586569643280867
17,sweden,5850,35144,2980906,"iEEuG5XML-A, allrou65mCY",2,40994,0.8572961896862955
18,russia,28245,166493,7055801,"ovhJHU8wnxU, gEpUgRtXBss",2,194738,0.8549589705142294
19,serbia,1939,11192,736652,"j-5FgSqp2Fg, wofZn3yJiMY",2,13131,0.8523341710456173
20,slovenia,6143,34713,2593350,"2C9W7MbDivU, m4Ci3nrBdno, vleF8-gAn_U",3,40856,0.849642647346779
21,denmark,3253,17366,1726313,"qgA2BqvwEcI, fAdSQxaXsSk",2,20619,0.8422328919928221
22,latvia,1816,9382,686168,"wfDMzm9ZtrU, 6j61TWsjcJY",2,11198,0.8378281836042151
23,north-macedonia,4071,20878,1275270,Sw-NQ1a1zZ0,1,24949,0.8368271273397732
24,san-marino,2425,11109,819478,l5arNtTYK1s,1,13534,0.8208216344022462
25,czech-republic,4957,21593,1057976,"Ho9MuPJPZ90, duSSVY_YJyY, yH1-uy9FYKE",3,26550,0.8132956685499059
26,portugal,10025,41293,3105133,"xSbp8lwCQp8, 9t5_yUNp0bg",2,51318,0.8046494407420398
27,montenegro,1844,7430,595106,"EXmXfHhLBoQ, ZkU1Apx64L0",2,9274,0.8011645460427
28,israel,14267,56693,3182037,"7d__XXiVJkE, LsA-1gPV8nY",2,70960,0.7989430665163473
29,poland,10713,42424,2784553,"mQSxrcDoZgs, hVkyOjwpUCQ",2,53137,0.7983890697630652
30,moldova,1554,5786,556606,"p3OC8qhZBWQ, areV6tnq3po",2,7340,0.788283378746594
31,finland,2058,7144,671208,"MOBFjpqKSi0, d4DPGAJhSac",2,9202,0.7763529667463595
32,romania,8414,26173,1794977,"cvzruGxaAO4, T1dhF0_QyH0, _loQfk_ZUOs",3,34587,0.756729407002631
33,france,46385,139482,8676867,"VydsMYa9lyI, tCJRigN2DmI",2,185867,0.7504398306315806
34,iceland,8878,26460,1782818,"m9VWSF_WuIk, -ELSP8zqhXo, UGrRhIj4FRw",3,35338,0.748769030505405
35,croatia,8181,17300,1450692,"XH1XfjICYLc, XOwPqUKG83s",2,25481,0.6789372473607787
36,georgia,2763,5842,603147,"QCOMCqOXmUo, KXIbXgwjCUM",2,8605,0.6789076118535735
37,austria,3457,6811,614165,"ryNF0hXj1ww, S2HFBexHDXk",2,10268,0.6633229450720686
38,australia,9543,16438,1471698,"VlpBPO9_L4E, 8RmThfoBB_E",2,25981,0.6326931218967707
39,belarus,10248,13445,1454532,"2tzuph4cWLw, Ao93RTN90Xs",2,23693,0.5674671844004558
40,germany,19797,23843,2329007,"RuqS6-KJFgA, MHCLVsmJda4",2,43640,0.5463565536205316
