,country,dislikes,likes,views,youtube_ids,youtube_links_count,total_votes,likes_ratio
0,switzerland,3078,49333,2738564,"6PxoMWtAC7M, GdSmDZckaAw",2,52411,0.9412718704088836
1,belgium,1700,22117,1507057,"rgSt2NNrYsk, 17QXkQEckE4",2,23817,0.9286224125624554
2,cyprus,5534,70449,3953505,"WPFUZswe_zw, ESkhPXfl4A0",2,75983,0.9271679191398076
3,italy,72300,856760,67462563,"tEwvUu1dBTs, 22lISUXgSUw",2,929060,0.9221794071427034
4,greece,6051,68397,3074445,"ulQoRPcQVDc, Lc_b7SlK9js",2,74448,0.9187217923920051
5,malta,3230,35558,4639133,tdyQ-ebzFgk,1,38788,0.916726822728679
6,estonia,1001,10810,677843,"zX41EmHGXck, a4bfC0NPl1I",2,11811,0.915248497163661
7,lithuania,2065,21875,1503750,"LzfmYE_HsgM, ut-0TaybLRE",2,23940,0.9137426900584795
8,netherlands,8900,90541,5818135,"Eztx7Wr8PtE, bRpw1dLPfgM",2,99441,0.9104996932854658
9,azerbaijan,3542,33882,1266283,iyZJ_aMw5hY,1,37424,0.9053548525010688
10,spain,17849,142777,6463643,"pEaS6atxFgc, eWEFU2c3tBI, 1JLtDWvIXNY",3,160626,0.8888785128185972
11,norway,2229,17689,1253360,"sq1bH_uo1nU, 50WutSRykdE",2,19918,0.8880911738126318
12,albania,1842,14430,782635,"iQWNLc4eLT8, eo4aFzAkQkA",2,16272,0.8867994100294986
13,hungary,3265,24566,1685473,"o-s__gs-16Y, QjVyhLbiIPw, WVW_vZHYnkk",3,27831,0.8826847759692429
14,armenia,6219,43707,4067660,q_46dy4yJwg,1,49926,0.8754356447542363
15,united-kingdom,2279,13962,1146840,"-3nIUKVp75U, 8_IcrNgV-O4",2,16241,0.8596761283172218
16,ireland,1670,9893,748868,"LXBIDYh_UE4, RLF2CfiSAFU",2,11563,0.8555738130243017
17,sweden,5605,32935,2594876,"iEEuG5XML-A, allrou65mCY",2,38540,0.854566683964712
18,serbia,1817,10582,652130,"wofZn3yJiMY, j-5FgSqp2Fg",2,12399,0.8534559238648278
19,russia,27611,160716,6518367,"ovhJHU8wnxU, gEpUgRtXBss",2,188327,0.8533879900386031
20,slovenia,5962,33162,2383689,"vleF8-gAn_U, m4Ci3nrBdno, 2C9W7MbDivU",3,39124,0.847612718535937
21,denmark,3078,16043,1535492,"qgA2BqvwEcI, fAdSQxaXsSk",2,19121,0.8390251555880969
22,latvia,1708,8780,608391,"6j61TWsjcJY, wfDMzm9ZtrU",2,10488,0.8371472158657514
23,north-macedonia,3893,19823,1144619,Sw-NQ1a1zZ0,1,23716,0.8358492157193456
24,san-marino,2235,10218,690693,l5arNtTYK1s,1,12453,0.8205251746567093
25,czech-republic,4774,20101,942426,"Ho9MuPJPZ90, yH1-uy9FYKE, duSSVY_YJyY",3,24875,0.8080804020100503
26,portugal,9396,39109,2783790,"xSbp8lwCQp8, 9t5_yUNp0bg",2,48505,0.8062880115452016
27,montenegro,1700,6852,508069,"ZkU1Apx64L0, EXmXfHhLBoQ",2,8552,0.8012160898035547
28,israel,13787,54697,2928862,"7d__XXiVJkE, LsA-1gPV8nY",2,68484,0.7986829040359792
29,poland,10311,40309,2566294,"mQSxrcDoZgs, hVkyOjwpUCQ",2,50620,0.7963058079810351
30,moldova,1402,5181,465818,"areV6tnq3po, p3OC8qhZBWQ",2,6583,0.7870271912501898
31,finland,1909,6669,573991,"MOBFjpqKSi0, d4DPGAJhSac",2,8578,0.7774539519701562
32,romania,8239,24704,1627336,"_loQfk_ZUOs, T1dhF0_QyH0, cvzruGxaAO4",3,32943,0.7499013447469872
33,france,45723,135760,8277621,"tCJRigN2DmI, VydsMYa9lyI",2,181483,0.7480590468528733
34,iceland,8341,23953,1552099,"m9VWSF_WuIk, UGrRhIj4FRw, -ELSP8zqhXo",3,32294,0.741716727565492
35,croatia,8089,16844,1394524,"XOwPqUKG83s, XH1XfjICYLc",2,24933,0.6755705290177676
36,georgia,2688,5447,554588,"KXIbXgwjCUM, QCOMCqOXmUo",2,8135,0.6695759065765212
37,austria,3218,6214,516409,"ryNF0hXj1ww, S2HFBexHDXk",2,9432,0.6588210347752332
38,australia,9101,15283,1283715,"8RmThfoBB_E, VlpBPO9_L4E",2,24384,0.6267634514435696
39,belarus,9611,12069,1276650,"2tzuph4cWLw, Ao93RTN90Xs",2,21680,0.5566881918819189
40,germany,19311,22628,2154997,"RuqS6-KJFgA, MHCLVsmJda4",2,41939,0.5395455304132192
