,country,dislikes,likes,views,youtube_ids,youtube_links_count,total_votes,likes_ratio
0,switzerland,10135,124523,7074855,"j7zJoWwbz4Y, zEGgKQf1cws, GdSmDZckaAw, Oae2OMg8Ooo, 6PxoMWtAC7M",5,134658,0.9247352552391985
1,italy,85764,1004369,87163808,"tEwvUu1dBTs, yBj5PsgWBl4, Va-JXIhsYD0, 22lISUXgSUw, 6kpKVCW3oVg",5,1090133,0.9213270307384511
2,azerbaijan,8281,95880,3587255,"DJFtbYsn6eY, iyZJ_aMw5hY, xqJyI5jfhEw, o6Ib0C0PxN8",4,104161,0.9204980750952851
3,greece,12087,134757,6766307,"Lc_b7SlK9js, -MSY13IfckU, THmHbsTiaig, ulQoRPcQVDc, gPHOFq4hoIU",5,146844,0.9176881588624662
4,serbia,4858,50230,2462965,"wofZn3yJiMY, PVHIrVvil4A, j-5FgSqp2Fg, _ZlGaTtWCWI, MP7LdL3tUPw",5,55088,0.9118138251524833
5,malta,7934,81514,11293870,"jDw1OXqZ6w0, mRwLt9HCjbk, AyXlDQx5ovM, tdyQ-ebzFgk",4,89448,0.911300420355961
6,norway,4696,46631,2602292,"50WutSRykdE, sq1bH_uo1nU, qGpvsSmvnU4, yKoEt0-9ujA, 64wttdCyxO4",5,51327,0.9085081925692131
7,netherlands,23438,211988,13288003,"bRpw1dLPfgM, iTqN2jmt5dw, Eztx7Wr8PtE, ReOcQVgIAFs, 0F_FrLDpt30",5,235426,0.9004443009693067
8,belgium,5720,47743,3176542,"T5o9-9Uo3yQ, iFB9NnjU4ns, aJrLcRkCBo4, rgSt2NNrYsk, 17QXkQEckE4",5,53463,0.8930101191478219
9,hungary,5509,45895,2929482,"IpVr0pBLfI4, WVW_vZHYnkk, o-s__gs-16Y, OZkENZ4PXZw, QjVyhLbiIPw, aHTSYXTzCZ8",6,51404,0.8928293518014162
10,spain,26291,213685,10846906,"1JLtDWvIXNY, pEaS6atxFgc, eWEFU2c3tBI, Ve4f_xnFbws, LiLhDL8sToY, vMBRFLBRStA",6,239976,0.8904432109877655
11,albania,5877,47516,2607056,"P0lToVjUzDM, OQFbA7yfzjo, eo4aFzAkQkA, eGH20RCBUyI, iQWNLc4eLT8",5,53393,0.8899293914932669
