,country,dislikes,likes,views,youtube_ids,youtube_links_count,total_votes,likes_ratio
0,switzerland,2694,41823,2080643,"GdSmDZckaAw, 6PxoMWtAC7M",2,44517,0.9394837927084035
1,belgium,1519,20035,1232283,"rgSt2NNrYsk, 17QXkQEckE4",2,21554,0.9295258420710772
2,cyprus,4974,62489,3070020,"WPFUZswe_zw, ESkhPXfl4A0",2,67463,0.9262706965299498
3,italy,67472,806175,58246374,"22lISUXgSUw, tEwvUu1dBTs",2,873647,0.9227697227827716
4,malta,2608,29211,3540428,tdyQ-ebzFgk,1,31819,0.9180363933498853
5,greece,5589,62115,2528474,"Lc_b7SlK9js, ulQoRPcQVDc",2,67704,0.9174494859978731
6,estonia,903,9877,558094,"zX41EmHGXck, a4bfC0NPl1I",2,10780,0.9162337662337663
7,lithuania,1885,20384,1262719,"ut-0TaybLRE, LzfmYE_HsgM",2,22269,0.9153531815528313
8,netherlands,7725,79689,4649358,"bRpw1dLPfgM, Eztx7Wr8PtE",2,87414,0.9116274281007619
9,azerbaijan,3170,28397,979933,iyZJ_aMw5hY,1,31567,0.8995786739316375
10,albania,1573,12416,589513,"iQWNLc4eLT8, eo4aFzAkQkA",2,13989,0.8875545071127314
11,norway,1984,15159,968998,"sq1bH_uo1nU, 50WutSRykdE",2,17143,0.8842676311030742
12,hungary,3124,22854,1475461,"QjVyhLbiIPw, o-s__gs-16Y, WVW_vZHYnkk",3,25978,0.8797443991069367
13,armenia,5135,36517,3553837,q_46dy4yJwg,1,41652,0.8767166042446941
14,united-kingdom,2133,12904,999172,"8_IcrNgV-O4, -3nIUKVp75U",2,15037,0.8581498969209284
15,spain,8579,50273,2860339,"pEaS6atxFgc, 1JLtDWvIXNY",2,58852,0.8542275538639299
16,serbia,1613,9337,519449,"wofZn3yJiMY, j-5FgSqp2Fg",2,10950,0.8526940639269407
17,russia,26523,151056,5674379,"ovhJHU8wnxU, gEpUgRtXBss",2,177579,0.8506411231057727
18,sweden,5194,29496,2039168,"allrou65mCY, iEEuG5XML-A",2,34690,0.8502738541366388
19,ireland,1520,8431,568097,"LXBIDYh_UE4, RLF2CfiSAFU",2,9951,0.8472515325092955
20,slovenia,5688,31012,2123047,"vleF8-gAn_U, 2C9W7MbDivU, m4Ci3nrBdno",3,36700,0.8450136239782017
21,latvia,1590,8079,534756,"wfDMzm9ZtrU, 6j61TWsjcJY",2,9669,0.8355569345330437
22,north-macedonia,3585,18146,947852,Sw-NQ1a1zZ0,1,21731,0.8350283005844186
23,denmark,2905,14536,1308425,"qgA2BqvwEcI, fAdSQxaXsSk",2,17441,0.8334384496301818
24,san-marino,1968,8945,524962,l5arNtTYK1s,1,10913,0.8196646201777696
25,portugal,8239,35105,2287821,"9t5_yUNp0bg, xSbp8lwCQp8",2,43344,0.8099160206718347
26,czech-republic,4591,18434,825310,"Ho9MuPJPZ90, duSSVY_YJyY, yH1-uy9FYKE",3,23025,0.8006080347448425
27,montenegro,1512,6038,380647,"EXmXfHhLBoQ, ZkU1Apx64L0",2,7550,0.7997350993377483
28,israel,12952,51275,2533896,"LsA-1gPV8nY, 7d__XXiVJkE",2,64227,0.7983402618836315
29,poland,9681,36779,2242002,"mQSxrcDoZgs, hVkyOjwpUCQ",2,46460,0.7916272061988807
30,moldova,1147,4194,326084,"p3OC8qhZBWQ, areV6tnq3po",2,5341,0.7852462085751732
31,finland,1749,6121,476886,"d4DPGAJhSac, MOBFjpqKSi0",2,7870,0.7777636594663279
32,france,44983,131473,7804393,"VydsMYa9lyI, tCJRigN2DmI",2,176456,0.7450752595547898
33,romania,7950,22385,1394425,"_loQfk_ZUOs, cvzruGxaAO4, T1dhF0_QyH0",3,30335,0.7379264875556288
34,iceland,7527,20642,1263049,"UGrRhIj4FRw, -ELSP8zqhXo, m9VWSF_WuIk",3,28169,0.7327913663956832
35,croatia,7860,15932,1286845,"XOwPqUKG83s, XH1XfjICYLc",2,23792,0.6696368527236046
36,georgia,2388,4829,445579,"QCOMCqOXmUo, KXIbXgwjCUM",2,7217,0.66911459055009
37,austria,2952,5594,419386,"ryNF0hXj1ww, S2HFBexHDXk",2,8546,0.6545752398783057
38,australia,8623,13836,1084194,"VlpBPO9_L4E, 8RmThfoBB_E",2,22459,0.6160559241284118
39,belarus,8039,10069,889985,"2tzuph4cWLw, Ao93RTN90Xs",2,18108,0.5560525734481997
40,germany,18758,21276,1976085,"MHCLVsmJda4, RuqS6-KJFgA",2,40034,0.5314482689713743
