,country,dislikes,likes,views,youtube_ids,youtube_links_count,total_votes,likes_ratio
0,switzerland,3768,65277,4225115,"6PxoMWtAC7M, GdSmDZckaAw",2,69045,0.9454268955029329
1,belgium,2023,26808,2030365,"17QXkQEckE4, rgSt2NNrYsk",2,28831,0.9298324719919531
2,cyprus,6313,83058,5455271,"ESkhPXfl4A0, WPFUZswe_zw",2,89371,0.9293618735383962
3,italy,79824,930656,82067766,"tEwvUu1dBTs, 22lISUXgSUw",2,1010480,0.9210038793444699
4,malta,4005,45966,7266698,tdyQ-ebzFgk,1,49971,0.9198535150387225
5,greece,6990,78131,4011807,"ulQoRPcQVDc, Lc_b7SlK9js",2,85121,0.9178816038345414
6,estonia,1254,13357,960182,"a4bfC0NPl1I, zX41EmHGXck",2,14611,0.9141742522756827
7,netherlands,10534,111350,8111005,"bRpw1dLPfgM, Eztx7Wr8PtE",2,121884,0.913573561747235
8,azerbaijan,4160,43023,1801649,iyZJ_aMw5hY,1,47183,0.9118326515906152
9,lithuania,2396,24777,1910100,"LzfmYE_HsgM, ut-0TaybLRE",2,27173,0.9118242372943731
10,norway,2372,19720,1499395,"sq1bH_uo1nU, 50WutSRykdE",2,22092,0.8926308165851892
11,spain,19297,155580,8049312,"1JLtDWvIXNY, eWEFU2c3tBI, pEaS6atxFgc",3,174877,0.8896538710064789
12,hungary,3515,27665,2056034,"o-s__gs-16Y, QjVyhLbiIPw, WVW_vZHYnkk",3,31180,0.8872674791533034
13,albania,2456,18683,1264750,"eo4aFzAkQkA, iQWNLc4eLT8",2,21139,0.8838166422252708
14,armenia,7530,54034,4829212,q_46dy4yJwg,1,61564,0.8776882593723605
15,sweden,6114,38159,3386019,"allrou65mCY, iEEuG5XML-A",2,44273,0.8619022880762541
16,ireland,1961,12141,1044484,"LXBIDYh_UE4, RLF2CfiSAFU",2,14102,0.8609417103956886
17,united-kingdom,2505,15373,1362619,"8_IcrNgV-O4, -3nIUKVp75U",2,17878,0.8598836558899206
18,russia,29421,178294,7916304,"ovhJHU8wnxU, gEpUgRtXBss",2,207715,0.8583588089449486
19,serbia,2013,11706,792352,"j-5FgSqp2Fg, wofZn3yJiMY",2,13719,0.8532691887163787
20,slovenia,6396,37016,2841531,"2C9W7MbDivU, m4Ci3nrBdno, vleF8-gAn_U",3,43412,0.8526674652169907
21,denmark,3472,19025,1936345,"qgA2BqvwEcI, fAdSQxaXsSk",2,22497,0.8456683113303997
22,north-macedonia,4286,22555,1437252,Sw-NQ1a1zZ0,1,26841,0.8403189150925823
23,latvia,1981,10281,797632,"wfDMzm9ZtrU, 6j61TWsjcJY",2,12262,0.8384439732506932
24,san-marino,2694,12363,979447,l5arNtTYK1s,1,15057,0.8210798963937039
25,czech-republic,5207,23861,1249785,"Ho9MuPJPZ90, yH1-uy9FYKE, duSSVY_YJyY",3,29068,0.8208683087931746
26,montenegro,2010,8214,705249,"ZkU1Apx64L0, EXmXfHhLBoQ",2,10224,0.8034037558685446
27,portugal,10809,43535,3434690,"xSbp8lwCQp8, 9t5_yUNp0bg",2,54344,0.8011003974679818
28,poland,11610,46106,3162005,"mQSxrcDoZgs, hVkyOjwpUCQ",2,57716,0.798842608635387
29,israel,14915,59027,3474906,"LsA-1gPV8nY, 7d__XXiVJkE",2,73942,0.798287847231614
30,moldova,1730,6655,675092,"areV6tnq3po, p3OC8qhZBWQ",2,8385,0.7936791890280263
31,finland,2294,7904,822264,"MOBFjpqKSi0, d4DPGAJhSac",2,10198,0.7750539321435576
32,romania,8613,28054,1979183,"cvzruGxaAO4, _loQfk_ZUOs, T1dhF0_QyH0",3,36667,0.7651021354351324
33,france,47252,144152,9152695,"tCJRigN2DmI, VydsMYa9lyI",2,191404,0.7531295061754195
34,iceland,9675,29245,2082996,"m9VWSF_WuIk, -ELSP8zqhXo, UGrRhIj4FRw",3,38920,0.7514131551901336
35,georgia,2807,6095,638494,"QCOMCqOXmUo, KXIbXgwjCUM",2,8902,0.6846776005392047
36,croatia,8240,17711,1492696,"XH1XfjICYLc, XOwPqUKG83s",2,25951,0.6824785172055027
37,austria,3981,7736,770441,"S2HFBexHDXk, ryNF0hXj1ww",2,11717,0.6602372620978066
38,australia,10122,18068,1722617,"8RmThfoBB_E, VlpBPO9_L4E",2,28190,0.6409365023057821
39,belarus,10931,15230,1670670,"2tzuph4cWLw, Ao93RTN90Xs",2,26161,0.5821642903558732
40,germany,20612,25488,2572476,"RuqS6-KJFgA, MHCLVsmJda4",2,46100,0.552885032537961
