,country,dislikes,likes,views,youtube_ids,youtube_links_count,total_votes,likes_ratio
0,switzerland,3524,59807,3733788,"6PxoMWtAC7M, GdSmDZckaAw",2,63331,0.9443558446890149
1,cyprus,6052,78573,4985634,"WPFUZswe_zw, ESkhPXfl4A0",2,84625,0.9284844903988183
2,belgium,1953,25285,1874344,"rgSt2NNrYsk, 17QXkQEckE4",2,27238,0.9282987003451061
3,italy,78255,914352,78912633,"tEwvUu1dBTs, 22lISUXgSUw",2,992607,0.92116215178817
4,malta,3745,42536,6100726,tdyQ-ebzFgk,1,46281,0.9190812644497742
5,greece,6651,74464,3691750,"ulQoRPcQVDc, Lc_b7SlK9js",2,81115,0.9180053011156999
6,estonia,1167,12424,866098,"zX41EmHGXck, a4bfC0NPl1I",2,13591,0.9141343536163637
7,netherlands,9890,102993,7291004,"bRpw1dLPfgM, Eztx7Wr8PtE",2,112883,0.9123871619287227
8,lithuania,2281,23699,1785737,"LzfmYE_HsgM, ut-0TaybLRE",2,25980,0.9122016936104695
9,azerbaijan,3938,39707,1608942,iyZJ_aMw5hY,1,43645,0.9097720242868599
10,norway,2331,19082,1429878,"sq1bH_uo1nU, 50WutSRykdE",2,21413,0.8911408957175547
11,spain,18848,151609,7597342,"pEaS6atxFgc, eWEFU2c3tBI, 1JLtDWvIXNY",3,170457,0.8894266589227782
12,hungary,3438,26719,1953746,"QjVyhLbiIPw, o-s__gs-16Y, WVW_vZHYnkk",3,30157,0.8859966177006997
13,albania,2236,17252,1106372,"eo4aFzAkQkA, iQWNLc4eLT8",2,19488,0.8852627257799671
14,armenia,7126,51050,4605291,q_46dy4yJwg,1,58176,0.8775096259625963
15,ireland,1857,11429,952449,"RLF2CfiSAFU, LXBIDYh_UE4",2,13286,0.8602288122836068
16,united-kingdom,2457,15043,1308845,"8_IcrNgV-O4, -3nIUKVp75U",2,17500,0.8596
17,sweden,5965,36426,3158516,"iEEuG5XML-A, allrou65mCY",2,42391,0.8592861692340356
18,russia,28676,170719,7371240,"gEpUgRtXBss, ovhJHU8wnxU",2,199395,0.8561849595024951
19,serbia,1968,11355,759278,"wofZn3yJiMY, j-5FgSqp2Fg",2,13323,0.8522855212789913
20,slovenia,6240,35661,2703023,"2C9W7MbDivU, m4Ci3nrBdno, vleF8-gAn_U",3,41901,0.8510775399155152
21,denmark,3341,18045,1817745,"fAdSQxaXsSk, qgA2BqvwEcI",2,21386,0.843776302253811
22,latvia,1883,9723,732652,"wfDMzm9ZtrU, 6j61TWsjcJY",2,11606,0.8377563329312424
23,north-macedonia,4166,21476,1342330,Sw-NQ1a1zZ0,1,25642,0.8375321737773964
24,san-marino,2512,11602,887257,l5arNtTYK1s,1,14114,0.8220206886779085
25,czech-republic,5033,22573,1140392,"Ho9MuPJPZ90, yH1-uy9FYKE, duSSVY_YJyY",3,27606,0.8176845613272476
26,portugal,10337,42304,3249642,"9t5_yUNp0bg, xSbp8lwCQp8",2,52641,0.8036321498451777
27,montenegro,1900,7727,642683,"EXmXfHhLBoQ, ZkU1Apx64L0",2,9627,0.8026384127973408
28,poland,10982,43654,2908605,"mQSxrcDoZgs, hVkyOjwpUCQ",2,54636,0.7989969983161286
29,israel,14541,57686,3309802,"7d__XXiVJkE, LsA-1gPV8nY",2,72227,0.7986763952538525
30,moldova,1626,6124,606777,"p3OC8qhZBWQ, areV6tnq3po",2,7750,0.7901935483870968
31,finland,2145,7460,731234,"d4DPGAJhSac, MOBFjpqKSi0",2,9605,0.7766788131181677
32,romania,8496,26924,1875384,"_loQfk_ZUOs, cvzruGxaAO4, T1dhF0_QyH0",3,35420,0.7601355166572558
33,france,46746,141560,8892849,"tCJRigN2DmI, VydsMYa9lyI",2,188306,0.7517551219823054
34,iceland,9197,27675,1915010,"UGrRhIj4FRw, -ELSP8zqhXo, m9VWSF_WuIk",3,36872,0.7505695378607073
35,georgia,2779,5940,618254,"KXIbXgwjCUM, QCOMCqOXmUo",2,8719,0.6812707879343961
36,croatia,8200,17450,1468404,"XH1XfjICYLc, XOwPqUKG83s",2,25650,0.6803118908382066
37,austria,3698,7198,684148,"S2HFBexHDXk, ryNF0hXj1ww",2,10896,0.6606093979441997
38,australia,9767,17036,1571924,"VlpBPO9_L4E, 8RmThfoBB_E",2,26803,0.6356004924821849
39,belarus,10546,14174,1545200,"Ao93RTN90Xs, 2tzuph4cWLw",2,24720,0.5733818770226538
40,germany,20109,24533,2430598,"MHCLVsmJda4, RuqS6-KJFgA",2,44642,0.549549751355226
