,country,dislikes,likes,views,youtube_ids,youtube_links_count,total_votes,likes_ratio
0,italy,83199,956397,84276494,"tEwvUu1dBTs, yBj5PsgWBl4, 22lISUXgSUw, 6kpKVCW3oVg",4,1039596,0.9199698729121697
1,greece,9174,101881,5045913,"ulQoRPcQVDc, -MSY13IfckU, Lc_b7SlK9js, THmHbsTiaig",4,111055,0.9173922831029669
2,switzerland,7800,78850,5029697,"GdSmDZckaAw, 6PxoMWtAC7M, j7zJoWwbz4Y, Oae2OMg8Ooo",4,86650,0.9099826889786498
3,malta,6219,59934,8623415,"AyXlDQx5ovM, jDw1OXqZ6w0, tdyQ-ebzFgk",3,66153,0.9059906580200444
4,azerbaijan,6550,57195,2375449,"xqJyI5jfhEw, iyZJ_aMw5hY, o6Ib0C0PxN8",3,63745,0.8972468428896384
5,belgium,4223,35523,2469787,"17QXkQEckE4, aJrLcRkCBo4, rgSt2NNrYsk, T5o9-9Uo3yQ",4,39746,0.8937503144970563
6,netherlands,16868,140270,9650291,"bRpw1dLPfgM, ReOcQVgIAFs, Eztx7Wr8PtE, iTqN2jmt5dw",4,157138,0.8926548638776107
7,cyprus,13109,104332,6930919,"WPFUZswe_zw, I61oQCgnjpI, INK3lvMDU0M, ESkhPXfl4A0",4,117441,0.8883779940565901
8,spain,22338,175858,8929182,"pEaS6atxFgc, eWEFU2c3tBI, Ve4f_xnFbws, LiLhDL8sToY, 1JLtDWvIXNY",5,198196,0.8872933863448303
9,hungary,4597,35159,2335254,"QjVyhLbiIPw, OZkENZ4PXZw, o-s__gs-16Y, WVW_vZHYnkk, aHTSYXTzCZ8",5,39756,0.8843696548948586
10,albania,3725,27195,1618770,"eGH20RCBUyI, P0lToVjUzDM, iQWNLc4eLT8, eo4aFzAkQkA",4,30920,0.8795278137128072
11,lithuania,4114,29906,2204174,"LzfmYE_HsgM, ut-0TaybLRE, bvuRdplp8wc, QG-lH7LJdpg",4,34020,0.8790711346266902
12,norway,3808,27183,1794828,"50WutSRykdE, qGpvsSmvnU4, 64wttdCyxO4, sq1bH_uo1nU",4,30991,0.8771256171146462
13,serbia,3001,21351,1107704,"j-5FgSqp2Fg, PVHIrVvil4A, wofZn3yJiMY, MP7LdL3tUPw",4,24352,0.8767657687253614
14,armenia,9615,67413,5381406,"q_46dy4yJwg, hKHsNcgfMk8, 5oKqBnWIDv4",3,77028,0.8751752609440723
15,russia,35730,213741,9343423,"ovhJHU8wnxU, 4kk-tv3Zzk4, ZA1oAQPoOvQ, gEpUgRtXBss",4,249471,0.8567769400050507
16,slovenia,8425,46619,3325700,"vleF8-gAn_U, YkNZ5JM1Ss8, 2C9W7MbDivU, m4Ci3nrBdno, 8daS5BVcKx8",5,55044,0.84694062931473
17,estonia,3438,18497,1217668,"cKpADQ3gAxo, a4bfC0NPl1I, Ga4re32dN5k, zX41EmHGXck",4,21935,0.8432641896512423
18,sweden,9065,47759,3927214,"iEEuG5XML-A, CTaMD3JUtA8, allrou65mCY, y5w8qSEg9Ls",4,56824,0.8404723356328312
19,north-macedonia,6066,30823,1838514,"e5yuP9deQB8, uorpKaAQQYI, Sw-NQ1a1zZ0",3,36889,0.8355607362628426
20,united-kingdom,4010,20269,1602072,"8_IcrNgV-O4, -3nIUKVp75U, jCi3U5NhV3M, JrxpNQxpcQM",4,24279,0.8348366901437456
21,ireland,3730,17724,1313780,"Nh8iFJTxVHI, P_SehZvRaVk, LXBIDYh_UE4, RLF2CfiSAFU",4,21454,0.8261396476181598
22,latvia,3340,15190,1000078,"xs7GvrBGy54, wfDMzm9ZtrU, TjDnAtgrJCo, 6j61TWsjcJY",4,18530,0.8197517539125742
23,poland,14898,59979,4158149,"x-M_7TeG5QI, hVkyOjwpUCQ, mQSxrcDoZgs, _8kX-DZr40o",4,74877,0.8010336952602267
24,israel,16758,65930,3868810,"LsA-1gPV8nY, 7d__XXiVJkE, TBYqgW4E7qY, AIMOgw8gZVI",4,82688,0.7973345588235294
25,denmark,6004,23467,2182334,"FQDkwuNjO8s, fAdSQxaXsSk, 8JOQvr-Ld9g, qgA2BqvwEcI",4,29471,0.796274303552645
