,country,dislikes,likes,views,youtube_ids,youtube_links_count,total_votes,likes_ratio
26,portugal,14251,54504,4039727,"xSbp8lwCQp8, K0Oj8N03rZg, 9t5_yUNp0bg, Q1tkstZdEjU",4,68755,0.792727801614428
27,romania,9815,36615,2285856,"T1dhF0_QyH0, cvzruGxaAO4, _loQfk_ZUOs, zWpqOA8rF5E, IDxXOdGSiiQ",5,46430,0.7886065044152487
28,san-marino,5064,18316,1250062,"hE9lkb7Z-Qw, 6xVYCjISkLA, l5arNtTYK1s",3,23380,0.7834046193327631
29,czech-republic,8747,30784,1597969,"Ho9MuPJPZ90, yH1-uy9FYKE, E63kzXA1pqY, dKJAoaZvzRs, duSSVY_YJyY",5,39531,0.778730616478207
30,iceland,13555,41649,2624831,"m9VWSF_WuIk, 6S1sByqdPok, -ELSP8zqhXo, UGrRhIj4FRw, wKQCjARwLsU",5,55204,0.754456198826172
31,moldova,3641,11070,906383,"p3OC8qhZBWQ, OOnPFsjkhbs, areV6tnq3po, X3RauAppvCQ",4,14711,0.7524981306505336
32,france,55677,163134,10122602,"VydsMYa9lyI, gXLF0rgi3M0, AQ1fiVRKTOg, tCJRigN2DmI",4,218811,0.7455475273180965
33,georgia,4579,13113,863268,"G0w4_0N9fUs, KXIbXgwjCUM, QCOMCqOXmUo, BoOvVqtZyus",4,17692,0.7411824553470495
34,australia,12639,32028,2404313,"5YI623ePilI, VlpBPO9_L4E, 8RmThfoBB_E, jEMJ9PYGDfY",4,44667,0.7170394250789173
35,finland,5213,12466,1172658,"d4DPGAJhSac, MOBFjpqKSi0, lVNu_6X8arI, uxSt5pwHCH8",4,17679,0.7051303806776401
36,austria,5554,12856,1002866,"ryNF0hXj1ww, cncRSZGYKJw, S2HFBexHDXk, h5ppfP5pm9U",4,18410,0.6983161325366648
37,croatia,11413,22851,1763647,"sWpRSYfY7O8, XOwPqUKG83s, YttRPqpB_XI, XH1XfjICYLc",4,34264,0.6669098762549615
38,montenegro,6238,11559,935057,"KXNjnOoYFNg, ZkU1Apx64L0, EXmXfHhLBoQ, FhcBOMGPBnk",4,17797,0.6494914873293252
39,belarus,13956,25128,2190786,"MJdt3JIdmMQ, 2tzuph4cWLw, TUgznFAwVXo, Ao93RTN90Xs",4,39084,0.6429229352164568
40,germany,23800,30279,2896975,"RuqS6-KJFgA, MHCLVsmJda4, 5JoIMKeYmbg, IermclVvo2I",4,54079,0.559903104717173
