,country,dislikes,likes,views,youtube_ids,youtube_links_count,total_votes,likes_ratio
0,switzerland,2378,35051,1548255,"6PxoMWtAC7M, GdSmDZckaAw",2,37429,0.9364663763392023
1,belgium,1346,18322,1038534,"rgSt2NNrYsk, 17QXkQEckE4",2,19668,0.9315639617653041
2,cyprus,4432,55663,2445140,"ESkhPXfl4A0, WPFUZswe_zw",2,60095,0.9262501040019968
3,italy,64301,766083,52251101,"tEwvUu1dBTs, 22lISUXgSUw",2,830384,0.9225647411318137
4,malta,2027,23002,2034870,tdyQ-ebzFgk,1,25029,0.9190139438251628
5,estonia,809,9076,484962,"zX41EmHGXck, a4bfC0NPl1I",2,9885,0.9181588265048053
6,greece,5123,56870,2119190,"Lc_b7SlK9js, ulQoRPcQVDc",2,61993,0.9173616376042456
7,lithuania,1757,19345,1128448,"ut-0TaybLRE, LzfmYE_HsgM",2,21102,0.9167377499763055
8,netherlands,6685,69160,3790162,"bRpw1dLPfgM, Eztx7Wr8PtE",2,75845,0.9118597138901707
9,azerbaijan,2656,24450,762385,iyZJ_aMw5hY,1,27106,0.9020143141739836
10,albania,1316,10520,445252,"iQWNLc4eLT8, eo4aFzAkQkA",2,11836,0.8888137884420412
11,norway,1712,12769,751503,"50WutSRykdE, sq1bH_uo1nU",2,14481,0.8817761204336717
12,hungary,2985,21558,1346438,"o-s__gs-16Y, WVW_vZHYnkk, QjVyhLbiIPw",3,24543,0.8783767265615451
13,armenia,4021,28885,3008000,q_46dy4yJwg,1,32906,0.8778034401021091
14,united-kingdom,2013,12195,912694,"-3nIUKVp75U, 8_IcrNgV-O4",2,14208,0.8583192567567568
15,serbia,1454,8378,420989,"wofZn3yJiMY, j-5FgSqp2Fg",2,9832,0.8521155410903173
16,spain,8345,47802,2648744,"1JLtDWvIXNY, pEaS6atxFgc",2,56147,0.8513722905943327
17,russia,25040,140523,4908618,"ovhJHU8wnxU, gEpUgRtXBss",2,165563,0.8487584786455911
18,sweden,4698,25689,1570974,"allrou65mCY, iEEuG5XML-A",2,30387,0.8453944120841149
19,ireland,1361,7340,442693,"LXBIDYh_UE4, RLF2CfiSAFU",2,8701,0.8435811975634985
20,slovenia,5490,29194,1939737,"vleF8-gAn_U, m4Ci3nrBdno, 2C9W7MbDivU",3,34684,0.8417137585053627
21,north-macedonia,3294,16644,790716,Sw-NQ1a1zZ0,1,19938,0.8347878423111647
22,latvia,1505,7578,486988,"6j61TWsjcJY, wfDMzm9ZtrU",2,9083,0.8343058460860949
23,denmark,2752,13402,1151795,"fAdSQxaXsSk, qgA2BqvwEcI",2,16154,0.8296397177169741
24,san-marino,1772,8001,405320,l5arNtTYK1s,1,9773,0.8186841297452164
25,portugal,6947,30692,1855212,"xSbp8lwCQp8, 9t5_yUNp0bg",2,37639,0.8154308031563007
26,montenegro,1332,5358,282648,"EXmXfHhLBoQ, ZkU1Apx64L0",2,6690,0.8008968609865471
27,israel,11745,46625,2112344,"LsA-1gPV8nY, 7d__XXiVJkE",2,58370,0.798783621723488
28,czech-republic,4421,17067,744839,"Ho9MuPJPZ90, yH1-uy9FYKE, duSSVY_YJyY",3,21488,0.7942572598659717
29,poland,8369,32267,1916766,"mQSxrcDoZgs, hVkyOjwpUCQ",2,40636,0.794049611182203
30,moldova,949,3375,217613,"p3OC8qhZBWQ, areV6tnq3po",2,4324,0.780527289546716
31,finland,1618,5694,410308,"d4DPGAJhSac, MOBFjpqKSi0",2,7312,0.7787199124726477
32,france,44416,127966,7476898,"VydsMYa9lyI, tCJRigN2DmI",2,172382,0.7423396874383636
33,iceland,6647,17762,1015554,"UGrRhIj4FRw, m9VWSF_WuIk, -ELSP8zqhXo",3,24409,0.727682412224999
34,romania,7690,20506,1225509,"_loQfk_ZUOs, T1dhF0_QyH0, cvzruGxaAO4",3,28196,0.7272662789048092
35,croatia,6981,15338,1219945,"XOwPqUKG83s, XH1XfjICYLc",2,22319,0.687217169228012
36,georgia,2167,4354,358479,"KXIbXgwjCUM, QCOMCqOXmUo",2,6521,0.667689004753872
37,austria,2744,5087,346556,"S2HFBexHDXk, ryNF0hXj1ww",2,7831,0.6495977525220278
38,australia,8241,12905,959869,"8RmThfoBB_E, VlpBPO9_L4E",2,21146,0.6102809041899178
39,belarus,5806,8060,638202,"2tzuph4cWLw, Ao93RTN90Xs",2,13866,0.5812779460550987
40,germany,18344,20281,1858545,"RuqS6-KJFgA, MHCLVsmJda4",2,38625,0.5250744336569579
