,model,kw,mark,new,2017,2016,2015,2014,2013,2012,2011
72,B3 Bi-Turbo Switch-Tronic (F30),301.0,ALPINA,66300,,,41100,36700,32750,,
73,B3 Bi-Turbo Allrad Switch-Tronic (F30),301.0,ALPINA,70800,58250,52000,46450,,,,
74,B3 Bi-Turbo Switch-Tronic (F30),301.0,ALPINA,67900,55800,49850,44500,,,,
75,D3 Bi-Turbo Switch-Tronic (F30),257.0,ALPINA,56300,,,36100,32250,28700,,
76,D3 Bi-Turbo Switch-Tronic (F30),257.0,ALPINA,58600,45800,40900,36500,,,,
77,B3 Bi-Turbo Touring Allrad Switch-Tronic (F31),301.0,ALPINA,71000,,,44000,39300,35100,,
78,B3 Bi-Turbo Touring Switch-Tronic (F31),301.0,ALPINA,68100,,,42200,37700,33650,,
79,B3 Bi-Turbo Touring Allrad Switch-Tronic (F31),301.0,ALPINA,72600,59750,53350,47650,,,,
80,B3 Bi-Turbo Touring Switch-Tronic (F31),301.0,ALPINA,69700,57350,51200,45750,,,,
81,D3 Bi-Turbo Touring Allrad Switch-Tronic (F31),257.0,ALPINA,61600,,,39500,35300,31350,,
82,D3 Bi-Turbo Touring Switch-Tronic (F31),257.0,ALPINA,58100,,,37300,33300,29600,,
83,D3 Bi-Turbo Touring Allrad Switch-Tronic (F31),257.0,ALPINA,63900,50000,44650,39850,,,,
84,D3 Bi-Turbo Touring Switch-Tronic (F31),257.0,ALPINA,60400,47250,42200,37700,,,,
85,B4 Bi-Turbo Coupé Allrad Switch-Tronic (F32),301.0,ALPINA,72700,50550,44850,40850,36900,,,
86,B4 Bi-Turbo Coupé Switch-Tronic (F32),301.0,ALPINA,69800,48900,43400,39550,35650,,,
87,D4 Bi-Turbo Coupé Switch-Tronic (F32),257.0,ALPINA,61200,39900,36100,32250,29100,,,
88,B4 Bi-Turbo Cabrio Switch-Tronic (F33),301.0,ALPINA,75900,52400,46800,42600,38600,,,
89,D4 Bi-Turbo Cabrio Switch-Tronic (F33),257.0,ALPINA,69500,45300,39550,35300,31900,,,
90,B5 Bi-Turbo Switch-Tronic (F10),373.0,ALPINA,95400,,,,,,29650,25850
91,B5 Bi-Turbo Switch-Tronic (F10),397.0,ALPINA,99200,,,,,35050,30850,
92,B5 Bi-Turbo Switch-Tronic (F10),441.0,ALPINA,108600,67800,59950,53500,,,,
93,D5 Bi-Turbo Switch-Tronic (F10),257.0,ALPINA,70950,,,,30450,25900,,
94,B5 Bi-Turbo Touring Switch-Tronic (F11),373.0,ALPINA,98800,,,,,,30700,26800
95,B5 Bi-Turbo Touring Switch-Tronic (F11),397.0,ALPINA,102520,,,,41950,36950,,
96,B5 Bi-Turbo Touring Switch-Tronic (F11),441.0,ALPINA,111900,69800,61700,55100,,,,
97,D5 Bi-Turbo Touring Switch-Tronic (F11),257.0,ALPINA,74350,,,,31900,27100,,
98,D5 S Allrad Switch-Tronic (G30),285.0,ALPINA,87900,63700,,,,,,
99,D5 S Touring Allrad Switch-Tronic (G31),285.0,ALPINA,90400,66400,,,,,,
100,B6 Bi-Turbo Gran Coupé Allrad Switch-Tronic (F06),397.0,ALPINA,126500,,,60900,55200,,,
101,B6 Bi-Turbo Gran Coupé Allrad Switch-Tronic (F06),441.0,ALPINA,135800,85000,75900,65100,,,,
102,B6 Bi-Turbo Cabriolet Switch-Tronic (F12),397.0,ALPINA,130800,,,,58700,51550,45350,40300
103,B6 Bi-Turbo Cabriolet Edition 50 Switch-Tronic (F12),441.0,ALPINA,142400,,84150,75100,,,,
104,B6 Bi-Turbo Coupé Switch-Tronic (F13),397.0,ALPINA,122800,,,,53750,46550,40750,36000
105,B6 Bi-Turbo Coupé Edition 50 Switch-Tronic (F13),441.0,ALPINA,133800,,76750,68500,,,,
106,B7 Bi-Turbo Allrad Switch-Tronic (F01/F02),373.0,ALPINA,129600,,,,,,36250,31300
107,B7 Bi-Turbo Switch-Tronic (F01/F02),373.0,ALPINA,125000,,,,,,34950,30200
108,B7 Bi-Turbo Allrad Switch-Tronic (F01/F02),397.0,ALPINA,134600,,,,51850,44050,37650,
109,B7 Bi-Turbo Switch-Tronic (F01/F02),397.0,ALPINA,130000,,,,50100,42550,36350,
110,B7 Bi-Turbo Langversion Allrad Switch-Tronic (G12),447.0,ALPINA,149400,90250,78250,,,,,
111,XD3 Bi-Turbo Switch-Tronic (F25),257.0,ALPINA,69100,,44300,,40250,34700,,
112,A1 1.0 TFSI ultra (8X),60.0,Audi,16250,11950,10650,,,,,
113,A1 1.2 TFSI Attraction (8X),63.0,Audi,16750,,,,9675,8575,7875,7075
114,A1 1.0 TFSI ultra (8X),70.0,Audi,17750,12800,11450,10200,,,,
115,A1 1.4 TFSI 119g Attraction S tronic,90.0,Audi,20800,,,,11950,10700,9850,8725
116,A1 1.4 TFSI Attraction (8X),90.0,Audi,19200,,,,11000,9850,9075,8000
117,A1 1.4 TFSI (8X),92.0,Audi,20050,14150,12600,11250,10050,,,
118,A1 1.4 TFSI cod Attraction (8X),103.0,Audi,20400,,,,11700,10450,,
119,A1 1.4 TFSI cod (8X),110.0,Audi,23500,15750,14050,12550,11200,,,
120,A1 1.4 TFSI Ambition S tronic (8X),136.0,Audi,24950,,,,14450,12700,11650,10500
121,A1 1.8 TFSI sport S tronic (8X),141.0,Audi,26650,19150,17100,15250,13600,,,
122,A1 1.6 TDI Attraction (8X),66.0,Audi,18900,,,,9825,8750,7975,7075
123,A1 1.4 TDI (8X),66.0,Audi,19950,12650,11300,10100,8975,,,
124,A1 1.6 TDI Attraction (8X),77.0,Audi,19800,,,,9875,8800,8025,7125
125,A1 1.6 TDI (8X),85.0,Audi,21050,13550,12100,10800,9575,,,
126,A1 2.0 TDI Ambition (8X),105.0,Audi,22900,,,,11700,10450,9500,8425
127,A1 Sportback 1.0 TFSI ultra,60.0,Audi,17100,12550,11200,,,,,
128,A1 Sportback 1.2 TFSI Attraction (8X),63.0,Audi,17600,,,,10200,9025,8300,
129,A1 Sportback 1.0 TFSI ultra,70.0,Audi,18600,13450,12000,10700,,,,
130,A1 Sportback 1.4 TFSI Attraction (8X),90.0,Audi,20050,,,,11500,10300,9475,
131,A1 Sportback 1.4 TFSI (8X),92.0,Audi,20900,14750,13150,11750,10450,,,
132,A1 Sportback 1.4 TFSI cod Attraction (8X),103.0,Audi,21250,,,,12200,10850,,
133,A1 Sportback 1.4 TFSI cod,110.0,Audi,24350,16350,14600,13050,11650,,,
134,A1 Sportback 1.4 TFSI Ambition S tronic (8X),136.0,Audi,25800,,,,14950,13150,12100,
135,A1 Sportback 1.8 TFSI sport S tronic (8X),141.0,Audi,27500,19750,17650,15750,14050,,,
136,A1 Sportback 1.6 TDI Attraction (8X),66.0,Audi,19750,,,,10250,9150,8325,
137,A1 Sportback 1.4 TDI (8X),66.0,Audi,20800,13250,11800,10550,9375,,,
138,A1 Sportback 1.6 TDI Attraction (8X),77.0,Audi,20650,,,,10300,9200,8375,
139,A1 Sportback 1.6 TDI (8X),85.0,Audi,21900,14100,12600,11250,9975,,,
140,A1 Sportback 2.0 TDI Ambition (8X),105.0,Audi,23750,,,,12100,10800,9850,
141,S1 quattro (8X),170.0,Audi,30700,23600,21050,18800,16750,,,
142,S1 Sportback quattro (8X),170.0,Audi,31550,24250,21650,19350,17250,,,
143,A3 1.2 TFSI Attraction (8P),77.0,Audi,21100,,,,,,8275,7450
144,A3 1.6 TDI Attraction (8P),66.0,Audi,23000,,,,,,7950,7175
145,A3 1.6 TDI 99g Attraction (8P),77.0,Audi,24050,,,,,,8675,7900
146,A3 1.6 TDI Attraction (8P),77.0,Audi,24050,,,,,,8450,7700
147,A3 Sportback 1.2 TFSI Attraction (8P),77.0,Audi,22000,,,,,,8825,7950
148,A3 Sportback 1.6 TDI Attraction (8P),66.0,Audi,23900,,,,,,8375,7550
149,A3 Sportback 1.6 TDI 102g Attraction (8P),77.0,Audi,24950,,,,,,9100,8300
150,A3 Sportback 1.6 TDI Attraction (8P),77.0,Audi,24950,,,,,,8800,8025
151,A3 Cabriolet 1.2 TFSI Attraction (8P),77.0,Audi,25500,,,,,12250,11250,10150
152,A3 Cabriolet 1.4 TFSI Attraction (8P),92.0,Audi,27150,,,,,12750,11700,10450
153,A3 Cabriolet 1.6 TDI Attraction (8P),77.0,Audi,29000,,,,,11450,10200,9025
154,A3 1.2 TFSI Attraction (8V),77.0,Audi,21900,,,,11450,10850,,
155,A3 1.2 TFSI Attraction (8V),81.0,Audi,22800,,13150,12300,11600,,,
156,A3 1.0 TFSI (8V),85.0,Audi,23750,15200,13850,,,,,
157,A3 1.4 TFSI Attraction (8V),90.0,Audi,22800,,,,12500,11750,11000,
158,A3 1.4 TFSI Attraction (8V),92.0,Audi,23700,,14900,13550,12700,,,
159,A3 1.4 TFSI cod ultra Attraction (8V),110.0,Audi,24950,,14950,13700,12750,,,
160,A3 1.4 TFSI cod ultra (8V),110.0,Audi,25000,17200,15500,,,,,
161,A3 1.5 TFSI cod (8V),110.0,Audi,25700,17300,,,,,,
162,A3 1.8 TFSI Attraction (8V),132.0,Audi,25900,,,,,13000,12050,
163,A3 1.8 TFSI Attraction quattro S tronic (8V),132.0,Audi,29750,,,,,14750,13650,
164,A3 2.0 TFSI sport quattro S tronic,140.0,Audi,34250,23300,20800,,,,,
165,A3 1.6 TDI Attraction (8V),77.0,Audi,24800,,,,11000,10100,9100,
166,A3 1.6 TDI Attraction (8V),81.0,Audi,25700,,12850,11700,10850,,,
167,A3 1.6 TDI (8V),81.0,Audi,25950,15100,13650,,,,,
168,A3 1.6 TDI (8V),85.0,Audi,26650,15500,,,,,,
169,A3 2.0 TDI Attraction (8V),110.0,Audi,26600,,,,12350,11150,10150,
170,A3 2.0 TDI Attraction quattro (8V),110.0,Audi,28550,,,,13050,11800,10750,
171,A3 2.0 TDI (8V),110.0,Audi,28850,17200,15350,,,,,
172,A3 2.0 TDI quattro (8V),110.0,Audi,30850,18200,16250,,,,,
173,A3 2.0 TDI Attraction (8V),135.0,Audi,29800,,16350,15000,14000,13050,,
174,A3 2.0 TDI Attraction quattro S tronic (8V),135.0,Audi,33650,,18250,16700,15650,14550,,
175,A3 2.0 TDI sport quattro S tronic (8V),135.0,Audi,36600,23150,20250,,,,,
176,A3 Sportback 1.2 TFSI Attraction (8V),77.0,Audi,22800,,,,12200,11600,,
177,A3 Sportback 1.2 TFSI Attraction (8V),81.0,Audi,23700,,14050,13200,12500,,,
178,A3 Sportback 1.0 TFSI (8V),85.0,Audi,25350,16250,14850,,,,,
179,A3 Sportback 1.4 TFSI Attraction (8V),90.0,Audi,23700,,,,13400,12600,11750,
180,A3 Sportback 1.4 TFSI Attraction (8V),92.0,Audi,24600,,15950,14500,13550,,,
181,A3 Sportback 1.4 TFSI cod ultra Attraction (8V),110.0,Audi,25850,,16450,15050,14050,,,
182,A3 Sportback 1.4 TFSI cod ultra (8V),110.0,Audi,25900,18500,17000,,,,,
183,A3 Sportback 1.5 TFSI cod (8V),110.0,Audi,27300,18250,,,,,,
184,A3 Sportback 1.8 TFSI Attraction quattro S tronic (8V),132.0,Audi,31900,,19700,18100,16950,15700,,
185,A3 Sportback 1.8 TFSI Attraction S tronic (8V),132.0,Audi,28700,,,,,14750,13700,
186,A3 Sportback 2.0 TFSI sport quattro S tronic,140.0,Audi,35850,25150,22450,,,,,
187,A3 Sportback 1.6 TDI Attraction (8V),77.0,Audi,25700,,,,11600,10900,9850,
188,A3 Sportback 1.6 TDI Attraction (8V),81.0,Audi,26600,,13850,12650,11700,,,
189,A3 Sportback 1.6 TDI (8V),81.0,Audi,26850,16300,14700,,,,,
190,A3 Sportback 1.6 TDI (8V),85.0,Audi,28350,16700,,,,,,
191,A3 Sportback 2.0 TDI Attraction (8V),110.0,Audi,27500,,,,13250,11900,10850,
192,A3 Sportback 2.0 TDI Attraction quattro (8V),110.0,Audi,29450,,,,13950,12550,11450,
193,A3 Sportback 2.0 TDI (8V),110.0,Audi,30550,18050,16450,,,,,
194,A3 Sportback 2.0 TDI quattro (8V),110.0,Audi,31750,19050,17350,,,,,
195,A3 Sportback 2.0 TDI Attraction (8V),135.0,Audi,30700,,17750,16250,15200,14100,,
196,A3 Sportback 2.0 TDI Attraction quattro (8V),135.0,Audi,34550,,19750,18100,16900,15700,,
197,A3 Sportback 2.0 TDI sport quattro S tronic (8V),135.0,Audi,38300,24950,21850,,,,,
198,A3 Sportback g-tron Attraction (8V),81.0,Audi,26800,,16200,14850,13750,,,
199,A3 Sportback g-tron (8V),81.0,Audi,27550,19450,17350,,,,,
200,A3 Sportback e-tron Attraction S tronic (8V),150.0,Audi,38400,,23050,21100,19450,,,
201,A3 Sportback e-tron S tronic (8V),150.0,Audi,37900,26300,23500,,,,,
202,A3 Limousine 1.0 TFSI (8V),85.0,Audi,26250,16600,15150,,,,,
203,A3 Limousine 1.4 TFSI Attraction (8V),92.0,Audi,25500,,15850,14550,13550,12700,,
204,A3 Limousine 1.4 TFSI cod Attraction (8V),103.0,Audi,25500,,,,13750,12800,,
205,A3 Limousine 1.4 TFSI cod ultra Attraction (8V),110.0,Audi,32650,,20900,18700,16850,,,
206,A3 Limousine 1.4 TFSI cod ultra (8V),110.0,Audi,26800,18600,16950,,,,,
207,A3 Limousine 1.5 TFSI cod (8V),110.0,Audi,28200,18350,,,,,,
208,A3 Limousine 1.8 TFSI Attraction (8V),132.0,Audi,28950,,17800,16350,15250,14300,,
209,A3 Limousine 1.8 TFSI Attraction quattro S tronic (8V),132.0,Audi,32800,,19950,18350,17150,16000,,
210,A3 Limousine 2.0 TFSI sport quattro S tronic,140.0,Audi,36750,24950,22300,,,,,
211,A3 Limousine 1.6 TDI Attraction (8V),77.0,Audi,26300,,,,11750,11050,,
212,A3 Limousine 1.6 TDI Attraction (8V),81.0,Audi,27500,,14050,12800,11850,,,
213,A3 Limousine 1.6 TDI ultra Attraction (8V),81.0,Audi,27550,,14150,12900,11950,,,
214,A3 Limousine 1.6 TDI (8V),81.0,Audi,27750,16500,14900,,,,,
215,A3 Limousine 1.6 TDI (8V),85.0,Audi,29250,16950,,,,,,
216,A3 Limousine 2.0 TDI Attraction (8V),110.0,Audi,28100,,,,13400,12150,,
217,A3 Limousine 2.0 TDI Attraction quattro (8V),110.0,Audi,30050,,,,14150,12800,,
218,A3 Limousine 2.0 TDI (8V),110.0,Audi,31450,18450,16800,,,,,
219,A3 Limousine 2.0 TDI quattro (8V),110.0,Audi,32650,19450,17700,,,,,
