Alle Marken,,,,,km- Neu-,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen,,kW (PS),Kl. preis,,,2017,2016 2015 2014 2013 2012,,,,,2011
Stelvio 2.0 Turbo 16V Super Q4 AT8 (949),5,206,(280),IV,50000,33400,,,,,,
Stelvio 2.2 Diesel AT8 (949),5,110,(150),V,39800,26600,,,,,,
Stelvio 2.2 Diesel Super AT8 (949),5,132,(180),V,44200,29400,,,,,,
Stelvio 2.2 Diesel Super Q4 AT8 (949),5,132,(180),V,47000,31250,,,,,,
Stelvio 2.2 Diesel Super Q4 AT8 (949),5,154,(210),V,48500,32600,,,,,,
Stelvio Quadrifoglio Q4 AT8 (949),5,375,(510),IV,89000,58900,,,,,,
ALPINA,,,,,,,,,,,,
D3 Bi-Turbo Coupé (E92),2,157,(214),V,40600,,,,,,16800,15250
B3 Bi-Turbo Allrad Switch-Tronic (F30),4,301,(410),IV,69200,,,42900,38300,34200,,
B3 Bi-Turbo Switch-Tronic (F30),4,301,(410),IV,66300,,,41100,36700,32750,,
B3 Bi-Turbo Allrad Switch-Tronic (F30),4,301,(410),IV,70800,58250,52000,46450,,,,
B3 Bi-Turbo Switch-Tronic (F30),4,301,(410),IV,67900,55800,49850,44500,,,,
D3 Bi-Turbo Switch-Tronic (F30),4,257,(350),V,56300,,,36100,32250,28700,,
D3 Bi-Turbo Switch-Tronic (F30),4,257,(350),V,58600,45800,40900,36500,,,,
B3 Bi-Turbo Touring Allrad Switch-Tronic (F31),5,301,(410),IV,71000,,,44000,39300,35100,,
B3 Bi-Turbo Touring Switch-Tronic (F31),5,301,(410),IV,68100,,,42200,37700,33650,,
B3 Bi-Turbo Touring Allrad Switch-Tronic (F31),5,301,(410),IV,72600,59750,53350,47650,,,,
B3 Bi-Turbo Touring Switch-Tronic (F31),5,301,(410),IV,69700,57350,51200,45750,,,,
D3 Bi-Turbo Touring Allrad Switch-Tronic (F31),5,257,(350),V,61600,,,39500,35300,31350,,
D3 Bi-Turbo Touring Switch-Tronic (F31),5,257,(350),V,58100,,,37300,33300,29600,,
D3 Bi-Turbo Touring Allrad Switch-Tronic (F31),5,257,(350),V,63900,50000,44650,39850,,,,
D3 Bi-Turbo Touring Switch-Tronic (F31),5,257,(350),V,60400,47250,42200,37700,,,,
B4 Bi-Turbo Coupé Allrad Switch-Tronic (F32),2,301,(410),IV,72700,50550,44850,40850,36900,,,
B4 Bi-Turbo Coupé Switch-Tronic (F32),2,301,(410),IV,69800,48900,43400,39550,35650,,,
D4 Bi-Turbo Coupé Switch-Tronic (F32),2,257,(350),V,61200,39900,36100,32250,29100,,,
B4 Bi-Turbo Cabrio Switch-Tronic (F33),2,301,(410),III,75900,52400,46800,42600,38600,,,
D4 Bi-Turbo Cabrio Switch-Tronic (F33),2,257,(350),IV,69500,45300,39550,35300,31900,,,
B5 Bi-Turbo Switch-Tronic (F10),4,373,(507),V,95400,,,,,,29650,25850
B5 Bi-Turbo Switch-Tronic (F10),4,397,(540),V,99200,,,,,35050,30850,
B5 Bi-Turbo Switch-Tronic (F10),4,441,(600),V,108600,67800,59950,53500,,,,
D5 Bi-Turbo Switch-Tronic (F10),4,257,(350),VI,70950,,,,30450,25900,,
B5 Bi-Turbo Touring Switch-Tronic (F11),5,373,(507),V,98800,,,,,,30700,26800
B5 Bi-Turbo Touring Switch-Tronic (F11),5,397,(540),V,102520,,,,41950,36950,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",,,,,,,,,,,Seite: 4 von 165,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,

Gebrauchtwagenpreise Herbst/Winter 2018/2019,,,,,,,,,,,,,,
Alle Marken,,,,,km- Neu-,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen,,kW (PS),Kl. preis,,,2017,2016 2015 2014 2013 2012,,,,,2011
ALPINA,,,,,,,,,,,,,,
B5 Bi-Turbo Touring Switch-Tronic (F11),,5,,441,(600),V,111900,69800,61700,55100,,,,
D5 Bi-Turbo Touring Switch-Tronic (F11),,5,,257,(350),VI,74350,,,,31900,27100,,
D5 S Allrad Switch-Tronic (G30),,4,,285,(388),VI,87900,63700,,,,,,
D5 S Touring Allrad Switch-Tronic (G31),,5,,285,(388),VI,90400,66400,,,,,,
B6 Bi-Turbo Gran Coupé Allrad Switch-Tronic (F06),,4,,397,(540),V,126500,,,60900,55200,,,
B6 Bi-Turbo Gran Coupé Allrad Switch-Tronic (F06),,4,,441,(600),V,135800,85000,75900,65100,,,,
B6 Bi-Turbo Cabriolet Switch-Tronic (F12),,2,,397,(540),V,130800,,,,58700,51550,45350,40300
B6 Bi-Turbo Cabriolet Edition 50 Switch-Tronic (F12),,2,,441,(600),V,142400,,84150,75100,,,,
B6 Bi-Turbo Coupé Switch-Tronic (F13),,2,,397,(540),V,122800,,,,53750,46550,40750,36000
B6 Bi-Turbo Coupé Edition 50 Switch-Tronic (F13),,2,,441,(600),V,133800,,76750,68500,,,,
B7 Bi-Turbo Allrad Switch-Tronic (F01/F02),,4,,373,(507),V,129600,,,,,,36250,31300
B7 Bi-Turbo Switch-Tronic (F01/F02),,4,,373,(507),V,125000,,,,,,34950,30200
B7 Bi-Turbo Allrad Switch-Tronic (F01/F02),,4,,397,(540),V,134600,,,,51850,44050,37650,
B7 Bi-Turbo Switch-Tronic (F01/F02),,4,,397,(540),V,130000,,,,50100,42550,36350,
B7 Bi-Turbo Langversion Allrad Switch-Tronic (G12),,4,,447,(608),V,149400,90250,78250,,,,,
XD3 Bi-Turbo Switch-Tronic (F25),,5,,257,(350),V,69100,,44300,,40250,34700,,
Audi,,,,,,,,,,,,,,
A1 1.0 TFSI ultra (8X),,,3,60,(82),III,16250,11950,10650,,,,,
A1 1.2 TFSI Attraction (8X),,,3,63,(86),III,16750,,,,9675,8575,7875,7075
A1 1.0 TFSI ultra (8X),,,3,70,(95),III,17750,12800,11450,10200,,,,
A1 1.4 TFSI 119g Attraction S tronic,,(8X),3,90,(122),III,20800,,,,11950,10700,9850,8725
A1 1.4 TFSI Attraction (8X),,,3,90,(122),III,19200,,,,11000,9850,9075,8000
A1 1.4 TFSI (8X),,,3,92,(125),III,20050,14150,12600,11250,10050,,,
A1 1.4 TFSI cod Attraction (8X),,,3,103,(140),III,20400,,,,11700,10450,,
A1 1.4 TFSI cod (8X),,,3,110,(150),III,23500,15750,14050,12550,11200,,,
A1 1.4 TFSI Ambition S tronic (8X),,,3,136,(185),III,24950,,,,14450,12700,11650,10500
A1 1.8 TFSI sport S tronic (8X),,,3,141,(192),III,26650,19150,17100,15250,13600,,,
A1 1.6 TDI Attraction (8X),,,3,66,(90),IV,18900,,,,9825,8750,7975,7075
A1 1.4 TDI (8X),,,3,66,(90),IV,19950,12650,11300,10100,8975,,,
A1 1.6 TDI Attraction (8X),,,3,77,(105),IV,19800,,,,9875,8800,8025,7125
A1 1.6 TDI (8X),,,3,85,(116),IV,21050,13550,12100,10800,9575,,,
A1 2.0 TDI Ambition (8X),,,3,105,(143),IV,22900,,,,11700,10450,9500,8425
A1 Sportback 1.0 TFSI ultra,(8X),,5,60,(82),III,17100,12550,11200,,,,,
A1 Sportback 1.2 TFSI Attraction (8X),,,5,63,(86),III,17600,,,,10200,9025,8300,
A1 Sportback 1.0 TFSI ultra,(8X),,5,70,(95),III,18600,13450,12000,10700,,,,
A1 Sportback 1.4 TFSI Attraction (8X),,,5,90,(122),III,20050,,,,11500,10300,9475,
A1 Sportback 1.4 TFSI (8X),,,5,92,(125),III,20900,14750,13150,11750,10450,,,
A1 Sportback 1.4 TFSI cod Attraction (8X),,,5,103,(140),III,21250,,,,12200,10850,,
A1 Sportback 1.4 TFSI cod,(8X),,5,110,(150),III,24350,16350,14600,13050,11650,,,
A1 Sportback 1.4 TFSI Ambition S tronic (8X),,,5,136,(185),III,25800,,,,14950,13150,12100,
A1 Sportback 1.8 TFSI sport S tronic (8X),,,5,141,(192),III,27500,19750,17650,15750,14050,,,
A1 Sportback 1.6 TDI Attraction (8X),,,5,66,(90),IV,19750,,,,10250,9150,8325,
A1 Sportback 1.4 TDI (8X),,,5,66,(90),IV,20800,13250,11800,10550,9375,,,
A1 Sportback 1.6 TDI Attraction (8X),,,5,77,(105),IV,20650,,,,10300,9200,8375,
A1 Sportback 1.6 TDI (8X),,,5,85,(116),IV,21900,14100,12600,11250,9975,,,
A1 Sportback 2.0 TDI Ambition (8X),,,5,105,(143),IV,23750,,,,12100,10800,9850,
S1 quattro (8X),,,3,170,(231),III,30700,23600,21050,18800,16750,,,
S1 Sportback quattro (8X),,,5,170,(231),III,31550,24250,21650,19350,17250,,,
A3 1.2 TFSI Attraction (8P),,,3,77,(105),III,21100,,,,,,8275,7450
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",,,,,,,,,,,,,Seite: 5 von 165,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,

Gebrauchtwagenpreise Herbst/Winter 2018/2019,,,,,,,,,,,,,,
Alle Marken,,,,,km- Neu-,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen,,kW (PS),Kl. preis,,,2017,2016 2015 2014 2013 2012,,,,,2011
Audi,,,,,,,,,,,,,,
A3 1.6 TDI Attraction (8P),,,3,66 (90),,IV,23000,,,,,,7950,7175
A3 1.6 TDI 99g Attraction (8P),,,3,77,(105),IV,24050,,,,,,8675,7900
A3 1.6 TDI Attraction (8P),,,3,77,(105),IV,24050,,,,,,8450,7700
