Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
,Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,
MiTo 1.3 JTDM 16V Eco  (955),3,62  (85),V,16950,,,,,,6175,5350,,,
MiTo 1.3 JTDM 16V Eco Impression (955),3,62  (85),V,17500,,,,7975,7125,,,,,
MiTo 1.3 JTDM 16V Urban (955),3,70  (95),V,17500,11400,,,,,,,,,
MiTo 1.6 JTDM 16V Turismo (955),3,88  (120),V,21000,,,,8875,7925,6900,6075,,,
MiTo Quadrifoglio  (955),3,125  (170),IV,21800,,,,,9025,8050,7050,,,
Stelvio 2.0 Turbo 16V Q4 AT8 (949),5,147  (200),V,42200,27850,24850,,,,,,,,
Stelvio 2.0 Turbo 16V Super Q4 AT8 (949),5,206  (280),V,50000,33850,30200,,,,,,,,
Stelvio 2.2 Diesel AT8 (949),5,110  (150),VI,39800,27000,23800,,,,,,,,
Stelvio 2.2 Diesel AT8 (949),5,118  (160),VI,41000,27800,,,,,,,,,
Stelvio 2.2 Diesel Super AT8 (949),5,132  (180),VI,44200,29500,26300,,,,,,,,
Stelvio 2.2 Diesel Super Q4 AT8 (949),5,132  (180),VI,47000,31350,28000,,,,,,,,
Stelvio 2.2 Diesel Super AT8 (949),5,140  (190),VI,46000,30750,,,,,,,,,
Stelvio 2.2 Diesel Super Q4 AT8 (949),5,140  (190),VI,48500,32400,,,,,,,,,
Stelvio 2.2 Diesel Super Q4 AT8 (949),5,154  (210),VI,48500,31650,28850,,,,,,,,
Stelvio Quadrifoglio Q4 AT8 (949),5,375  (510),V,89000,61950,52750,,,,,,,,
ALPINA,,,,,,,,,,,,,,
B3 Bi-Turbo Allrad Switch-Tronic (F30),4,301  (410),V,69200,,,,39550,35350,31250,,,,
B3 Bi-Turbo Switch-Tronic (F30),4,301  (410),V,66300,,,,37900,33850,29900,,,,
B3 Bi-Turbo Allrad Switch-Tronic (F30),4,301  (410),V,70800,,53750,47950,42850,,,,,,
B3 Bi-Turbo Switch-Tronic (F30),4,301  (410),V,67900,,51500,45950,41050,,,,,,
B3 S Bi-Turbo Allrad Switch-Tronic (F30),4,324  (440),V,75800,64350,57450,,,,,,,,
B3 S Bi-Turbo Switch-Tronic (F30),4,324  (440),V,72900,61900,55250,,,,,,,,
D3 Bi-Turbo Switch-Tronic (F30),4,257  (350),VI,56300,,,,33300,29400,26000,,,,
D3 Bi-Turbo Switch-Tronic (F30),4,257  (350),VI,58600,48300,42250,37750,33700,,,,,,
B3 Bi-Turbo Touring Allrad Switch-Tronic (F31),5,301  (410),V,71000,,,,40600,36250,32100,,,,
B3 Bi-Turbo Touring Switch-Tronic (F31),5,301  (410),V,68100,,,,38950,34750,30750,,,,
B3 Bi-Turbo Touring Allrad Switch-Tronic (F31),5,301  (410),V,72600,,55100,49200,43950,,,,,,
B3 Bi-Turbo Touring Switch-Tronic (F31),5,301  (410),V,69700,,52900,47250,42200,,,,,,
B3 S Bi-Turbo Touring Allrad Switch-Tronic (F31),5,324  (440),V,77600,65900,58850,,,,,,,,
B3 S Bi-Turbo Touring Switch-Tronic (F31),5,324  (440),V,74700,63450,56650,,,,,,,,
D3 Bi-Turbo Touring Allrad Switch-Tronic (F31),5,257  (350),VI,61600,,,,36450,32200,28450,,,,
D3 Bi-Turbo Touring Switch-Tronic (F31),5,257  (350),VI,58100,,,,34400,30400,26850,,,,
D3 Bi-Turbo Touring Allrad Switch-Tronic (F31),5,257  (350),VI,63900,56500,46100,41200,36750,,,,,,
D3 Bi-Turbo Touring Switch-Tronic (F31),5,257  (350),VI,60400,53400,43600,38950,34750,,,,,,
B4 Bi-Turbo Coupé Allrad Switch-Tronic (F32),2,301  (410),V,72700,52250,47550,42200,38450,34700,,,,,
B4 Bi-Turbo Coupé Switch-Tronic (F32),2,301  (410),V,69800,50500,46000,40800,37200,33550,,,,,
B4 S Bi-Turbo Coupé Allrad Switch-Tronic (F32),2,324  (440),V,78200,57350,52200,,,,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 4 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
ALPINA,,,,,,,,,,,,,,
B4 S Bi-Turbo Coupé Switch-Tronic (F32),2,324  (440),V,75300,55650,50650,,,,,,,,
D4 Bi-Turbo Coupé Switch-Tronic (F32),2,257  (350),VI,61200,40000,36100,32650,29150,26000,,,,,
B4 Bi-Turbo Cabrio Switch-Tronic (F33),2,301  (410),IV,75900,54150,49300,44000,40100,36300,,,,,
B4 S Bi-Turbo Cabrio Switch-Tronic (F33),2,324  (440),IV,81400,59050,53750,,,,,,,,
D4 Bi-Turbo Cabrio Switch-Tronic (F33),2,257  (350),V,69500,45450,41000,35750,31900,28850,,,,,
B5 Bi-Turbo Switch-Tronic (F10),4,397  (540),VI,99200,,,,,,30550,26900,,,
B5 Bi-Turbo Switch-Tronic (F10),4,441  (600),VI,108600,,60700,53650,47900,,,,,,
D5 Bi-Turbo Switch-Tronic (F10),4,257  (350),VII,70950,,,,,26350,22500,,,,
B5 Bi-Turbo Touring Switch-Tronic (F11),5,397  (540),VI,102520,,,,,36950,32200,,,,
B5 Bi-Turbo Touring Switch-Tronic (F11),5,441  (600),VI,111900,,62500,55250,49350,,,,,,
D5 Bi-Turbo Touring Switch-Tronic (F11),5,257  (350),VII,74350,,,,,27600,23600,,,,
B5 Bi-Turbo Allrad Switch-Tronic (G30),4,447  (608),VI,112000,82000,76400,,,,,,,,
D5 S Allrad Switch-Tronic (G30),4,285  (388),VII,87900,63200,55850,,,,,,,,
B5 Bi-Turbo Touring Allrad Switch-Tronic (G31),5,447  (608),VI,115300,84400,78650,,,,,,,,
D5 S Touring Allrad Switch-Tronic (G31),5,285  (388),VII,90400,65900,58250,,,,,,,,
B6 Bi-Turbo Gran Coupé Allrad Switch-Tronic (F06),4,397  (540),VI,126500,,,,54550,48900,,,,,
B6 Bi-Turbo Gran Coupé Allrad Switch-Tronic (F06),4,441  (600),VI,135800,85250,79200,70700,60650,,,,,,
B6 Bi-Turbo Cabriolet Switch-Tronic (F12),2,397  (540),VI,130800,,,,,51950,45350,39950,,,
B6 Bi-Turbo Cabriolet Edition 50 Switch-Tronic (F12),2,441  (600),VI,142400,,,76850,68600,,,,,,
B6 Bi-Turbo Coupé Switch-Tronic (F13),2,397  (540),VI,122800,,,,,47600,40950,35900,,,
B6 Bi-Turbo Coupé Edition 50 Switch-Tronic (F13),2,441  (600),VI,133800,,,71500,63850,,,,,,
B7 Bi-Turbo Allrad Switch-Tronic (F01/F02),4,397  (540),VI,134600,,,,,45650,38450,32850,,,
B7 Bi-Turbo Switch-Tronic (F01/F02),4,397  (540),VI,130000,,,,,44100,37100,31750,,,
B7 Bi-Turbo Langversion Allrad Switch-Tronic (G12),4,447  (608),VI,149400,90500,79150,70050,,,,,,,
XD3 Bi-Turbo Switch-Tronic (F25),5,257  (350),VI,69100,,,,39650,35650,30550,,,,
XD3 Switch-Tronic (G01),5,285  (388),V,79900,(*),,,,,,,,,
XD4 Switch-Tronic (G02),5,285  (388),V,82900,(*),,,,,,,,,
Audi,,,,,,,,,,,,,,
A1 1.0 TFSI ultra  (8X),3,60  (82),IV,16250,11850,10600,9450,,,,,,,
A1 1.2 TFSI Attraction (8X),3,63  (86),IV,16750,,,,,9200,8150,7475,,,
A1 1.0 TFSI ultra  (8X),3,70  (95),IV,17750,12700,11350,10650,9525,,,,,,
A1 1.4 TFSI 119g Attraction S tronic  (8X),3,90  (122),IV,20800,,,,,10700,9575,8800,,,
A1 1.4 TFSI Attraction (8X),3,90  (122),IV,19200,,,,,9850,8825,8100,,,
A1 1.4 TFSI  (8X),3,92  (125),IV,20050,14600,13050,11650,10100,8975,,,,,
A1 1.4 TFSI cod Attraction (8X),3,103  (140),IV,20400,,,,,10450,9350,,,,
A1 1.4 TFSI cod  (8X),3,110  (150),IV,23500,16250,14550,12950,11250,10000,,,,,
A1 1.4 TFSI Ambition S tronic  (8X),3,136  (185),IV,24950,,,,,12900,11350,10400,,,
A1 1.8 TFSI sport S tronic (8X),3,141  (192),IV,26650,19000,16950,15750,14050,12550,,,,,
A1 1.6 TDI Attraction (8X),3,66  (90),V,18900,,,,,8625,7625,6900,,,
A1 1.4 TDI  (8X),3,66  (90),V,19950,12700,11350,10150,9050,8025,,,,,
A1 1.6 TDI Attraction (8X),3,77  (105),V,19800,,,,,8850,7825,7100,,,
A1 1.6 TDI  (8X),3,85  (116),V,21050,13550,12100,10800,9650,8575,,,,,
A1 2.0 TDI Ambition (8X),3,105  (143),V,22900,,,,,10450,9250,8400,,,
A1 Sportback 1.0 TFSI ultra  (8X),5,60  (82),IV,17100,12450,11150,9950,,,,,,,
A1 Sportback 1.2 TFSI Attraction (8X),5,63  (86),IV,17600,,,,,9675,8575,7875,,,
A1 Sportback 1.0 TFSI ultra  (8X),5,70  (95),IV,18600,13350,11900,11200,10000,,,,,,
A1 Sportback 1.4 TFSI Attraction (8X),5,90  (122),IV,20050,,,,,10300,9225,8475,,,
A1 Sportback 1.4 TFSI  (8X),5,92  (125),IV,20900,15250,13600,12150,10550,9375,,,,,
