Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
,Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,
A7 Sportback 3.0 TDI quattro S tronic (4G),5,150  (204),VII,55950,,,,,20350,17650,15400,,,
A7 Sportback 3.0 TDI quattro S tronic (4G),5,160  (218),VII,59850,,30050,27800,25500,22150,,,,,
A7 Sportback 3.0 TDI ultra S tronic (4G),5,160  (218),VII,57100,,28650,26500,24300,21100,,,,,
A7 Sportback 3.0 TDI clean diesel quattro S tronic,5,180  (245),VII,59900,,,,,22350,19750,17400,,,
(4G),,,,,,,,,,,,,,
A7 Sportback 3.0 TDI quattro S tronic (4G),5,180  (245),VII,59400,,,,,21650,19100,16550,,,
A7 Sportback 3.0 TDI quattro S tronic (4G),5,200  (272),VII,63200,33750,31500,29200,27000,24000,,,,,
A7 Sportback 3.0 TDI quattro tiptronic (4G),5,230  (313),VII,63150,,,,,22800,19750,17250,,,
A7 Sportback 3.0 TDI quattro tiptronic (4G),5,235  (320),VII,66600,38900,34750,31450,28800,25500,,,,,
A7 Sportback 3.0 TDI competition quattro tiptronic,5,240  (326),VII,74700,42900,39350,35250,32550,28600,,,,,
(4G),,,,,,,,,,,,,,
A7 Sportback 45 TFSI quattro S tronic (4K),5,180  (245),VI,61500,40550,,,,,,,,,
A7 Sportback 45 TFSI S tronic (4K),5,180  (245),VI,58750,38700,,,,,,,,,
A7 Sportback 55 TFSI quattro S tronic (4K),5,250  (340),VI,67800,44850,41300,,,,,,,,
A7 Sportback 40 TDI quattro S tronic (4K),5,150  (204),VII,61100,39250,,,,,,,,,
A7 Sportback 40 TDI S tronic (4K),5,150  (204),VII,58350,37750,,,,,,,,,
A7 Sportback 45 TDI quattro tiptronic (4K),5,170  (231),VII,63750,40350,,,,,,,,,
A7 Sportback 50 TDI quattro tiptronic (4K),5,210  (286),VII,67150,42150,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",,,,,,,,,,,Seite: 14 von 171,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Audi,,,,,,,,,,,,,,
RS7 Sportback cod tiptronic (4G),5,412  (560),VI,113000,,,,,45100,40550,,,,
RS7 Sportback cod tiptronic (4G),5,412  (560),VI,115700,,,57050,52250,45700,,,,,
RS7 performance cod Sportback tiptronic (4G),5,445  (605),VI,122200,72850,67900,59750,54900,,,,,,
S7 cod Sportback S tronic (4G),5,309  (420),VI,80850,,,,,32750,29450,25900,,,
S7 cod Sportback S tronic (4G),5,331  (450),VI,84600,47600,44350,39950,37150,34000,,,,,
A8 3.0 TFSI quattro tiptronic (D4),4,213  (290),VII,74600,,,,,,20650,17800,,,
A8 L 3.0 TFSI quattro tiptronic (D4),4,213  (290),VII,82300,,,,,,23100,19950,,,
A8 3.0 TFSI quattro tiptronic (D4),4,228  (310),VII,79100,,,,30800,26500,23000,,,,
A8 L 3.0 TFSI quattro tiptronic (D4),4,228  (310),VII,86800,,,,33900,29200,25300,,,,
A8 4.0 TFSI cod quattro tiptronic (D4),4,309  (420),VII,95200,,,,,,28050,25550,,,
A8 L 4.0 TFSI cod quattro tiptronic (D4),4,309  (420),VII,100200,,,,,,29500,26850,,,
A8 4.0 TFSI cod quattro tiptronic (D4),4,320  (435),VII,104400,,47600,43000,36800,31600,28550,,,,
A8 L 4.0 TFSI cod quattro tiptronic (D4),4,320  (435),VII,110300,,50300,45450,38600,33200,30000,,,,
A8 L 6.3 FSI W12 quattro tiptronic (D4),4,368  (500),VII,138900,,,,,,35900,31000,,,
A8 L 6.3 FSI W12 cod quattro tiptronic (D4),4,368  (500),VII,145800,,68700,59750,52200,44900,,,,,
A8 3.0 TDI tiptronic (D4),4,150  (204),VII,70000,,,,,,18750,16200,,,
A8 3.0 TDI clean diesel quattro tiptronic (D4),4,184  (250),VII,74850,,,,,,22300,19400,,,
A8 3.0 TDI quattro tiptronic (D4),4,184  (250),VII,74000,,,,,,21000,18100,,,
A8 L 3.0 TDI clean diesel quattro tiptronic (D4),4,184  (250),VII,82550,,,,,,24600,21400,,,
A8 L 3.0 TDI quattro tiptronic (D4),4,184  (250),VII,81700,,,,,,23200,20000,,,
A8 3.0 TDI quattro tiptronic (D4),4,190  (258),VII,77600,,,,29150,25900,22400,,,,
A8 L 3.0 TDI quattro tiptronic (D4),4,190  (258),VII,85300,,,,32050,28500,24700,,,,
A8 3.0 TDI quattro tiptronic (D4),4,193  (262),VII,84000,,36050,32850,29550,,,,,,
A8 L 3.0 TDI quattro tiptronic (D4),4,193  (262),VII,89900,,38600,35200,32400,,,,,,
A8 4.2 TDI quattro tiptronic (D4),4,258  (350),VII,92700,,,,,,23800,21200,,,
A8 L 4.2 TDI quattro tiptronic (D4),4,258  (350),VII,97700,,,,,,24800,22100,,,
A8 4.2 TDI quattro tiptronic (D4),4,283  (385),VII,102300,,47000,41150,35250,29700,26550,,,,
A8 L 4.2 TDI quattro tiptronic (D4),4,283  (385),VII,108200,,48950,42800,36650,30900,27650,,,,
A8 2.0 TFSI hybrid quattro tiptronic (D4),4,180  (245),VII,78100,,,,,,23750,20750,,,
A8 L 2.0 TFSI hybrid quattro tiptronic (D4),4,180  (245),VII,85800,,,,,,26100,22800,,,
A8 2.0 TFSI hybrid quattro tiptronic (D4),4,180  (245),VII,84300,,,,31150,26800,24000,,,,
A8 L 2.0 TFSI hybrid quattro tiptronic (D4),4,180  (245),VII,92000,,,,34200,29400,26350,,,,
A8 55 TFSI quattro tiptronic (D5),4,250  (340),VII,93500,61000,54450,,,,,,,,
A8 L 55 TFSI quattro tiptronic (D5),4,250  (340),VII,97000,63250,56500,,,,,,,,
A8 50 TDI quattro tiptronic (D5),4,210  (286),VII,90600,60450,52900,,,,,,,,
A8 L 50 TDI quattro tiptronic (D5),4,210  (286),VII,94100,62800,54950,,,,,,,,
S8 cod  tiptronic (D4),4,382  (520),VII,112400,,,,,,34000,30400,,,
S8 cod  tiptronic (D4),4,382  (520),VII,118500,57650,53750,50050,45200,38350,34700,,,,
S8 plus cod  tiptronic (D4),4,445  (605),VII,147900,67500,62950,58600,52550,,,,,,
Q2 1.0 TFSI ultra  (GA),5,85  (116),IV,23900,18300,16350,,,,,,,,
Q2 1.4 TFSI cod  (GA),5,110  (150),IV,26050,19600,17500,16250,,,,,,,
Q2 35 TFSI  (GA),5,110  (150),IV,26350,19600,,,,,,,,,
Q2 2.0 TFSI quattro S tronic (GA),5,140  (190),IV,32950,24750,22100,,,,,,,,
Q2 1.6 TDI  (GA),5,85  (116),V,27000,18350,16400,14800,,,,,,,
Q2 30 TDI  (GA),5,85  (116),V,27300,18400,,,,,,,,,
Q2 2.0 TDI quattro S tronic (GA),5,110  (150),V,33300,23200,20750,18500,,,,,,,
Q2 2.0 TDI quattro S tronic (GA),5,140  (190),V,35150,24300,21700,19350,,,,,,,
SQ2 TFSI S tronic (GA),5,221  (300),IV,44500,32900,,,,,,,,,
Q3 1.4 TFSI  (8U),5,92  (125),IV,29350,20400,18250,16300,,,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 15 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Audi,,,,,,,,,,,,,,
Q3 1.4 TFSI  (8U),5,110  (150),IV,28900,,,,,15200,13600,,,,
Q3 1.4 TFSI ultra cod  (8U),5,110  (150),IV,33100,22050,20900,18650,16650,14600,,,,,
Q3 2.0 TFSI quattro (8U),5,125  (170),IV,32150,,,,,17800,15900,14100,,,
Q3 2.0 TFSI  (8U),5,132  (180),IV,32200,,,,17350,,,,,,
Q3 2.0 TFSI quattro (8U),5,132  (180),IV,37850,25800,23050,21000,19500,17100,,,,,
Q3 2.0 TFSI quattro S tronic  (8U),5,155  (211),IV,37450,,,,,20900,18650,16150,,,
Q3 2.0 TFSI sport quattro S tronic  (8U),5,162  (220),IV,42850,29300,26150,23350,21500,18850,,,,,
Q3 2.0 TDI  (8U),5,88  (120),V,31600,20050,17900,16000,15000,,,,,,
Q3 2.0 TDI  (8U),5,103  (140),V,30550,,,,,14100,13100,11800,,,
Q3 2.0 TDI quattro (8U),5,103  (140),V,32500,,,,,14150,13150,11900,,,
Q3 2.0 TDI  (8U),5,110  (150),V,33650,20300,18100,16800,15000,12650,,,,,
Q3 2.0 TDI quattro (8U),5,110  (150),V,35650,21500,19200,17850,15950,13450,,,,,
Q3 2.0 TDI ultra  (8U),5,110  (150),V,33750,20350,18150,16900,15050,12700,,,,,
Q3 2.0 TDI  (8U),5,130  (177),V,33550,,,,,15800,14300,,,,
Q3 2.0 TDI quattro (8U),5,130  (177),V,35500,,,,,16500,14950,13300,,,
Q3 2.0 TDI sport (8U),5,135  (184),V,35950,,,,17300,,,,,,
Q3 35 TFSI  (F3),5,110  (150),IV,34400,24800,,,,,,,,,
Q3 40 TFSI quattro S tronic (F3),5,140  (190),IV,39800,29350,,,,,,,,,
Q3 45 TFSI quattro S tronic (F3),5,169  (230),IV,44600,32400,,,,,,,,,
Q3 35 TDI quattro (F3),5,110  (150),V,38600,25800,,,,,,,,,
Q3 35 TDI S tronic (F3),5,110  (150),V,38600,25800,,,,,,,,,
Q3 Sportback 40 TDI quattro S tronic (F3),5,140  (190),V,43700,29200,,,,,,,,,
RS Q3 quattro S tronic (8U),5,228  (310),IV,54600,,,,30500,27550,23750,,,,
RS Q3 quattro S tronic (8U),5,250  (340),IV,57000,,38200,34100,31100,27300,,,,,
RS Q3 performance quattro S tronic (8U),5,270  (367),IV,61000,,41100,35600,,,,,,,
Q5 2.0 TFSI quattro (8R),5,132  (180),V,37900,,,,,,17300,14550,,,
Q5 2.0 TFSI quattro (8R),5,165  (225),V,42200,,,,,,18700,15700,,,
Q5 2.0 TFSI quattro tiptronic (8R),5,169  (230),V,46350,,,27500,24550,,,,,,
Q5 3.0 TFSI quattro tiptronic (8R),5,200  (272),V,50250,,,,26750,23500,20750,17600,,,
Q5 2.0 TDI  (8R),5,105  (143),VI,35500,,,,,,14300,12450,,,
Q5 2.0 TDI quattro (8R),5,105  (143),VI,37850,,,,,,15250,13300,,,
Q5 2.0 TDI quattro (8R),5,110  (150),VI,35900,,,,,16500,14450,,,,
Q5 2.0 TDI ultra  (8R),5,110  (150),VI,36900,,,,18250,16000,,,,,
Q5 2.0 TDI quattro S tronic (8R),5,120  (163),VI,42700,,,22500,20300,17950,,,,,
Q5 2.0 TDI quattro (8R),5,130  (177),VI,40500,,,,,17500,15300,13400,,,
Q5 2.0 TDI quattro (8R),5,140  (190),VI,42300,,,22050,19650,17050,,,,,
Q5 2.0 TDI S tronic (8R),5,140  (190),VI,42150,,,21800,19450,,,,,,
Q5 3.0 TDI quattro S tronic (8R),5,180  (245),VI,50250,,,,,21850,19150,16400,,,
Q5 3.0 TDI quattro S tronic (8R),5,190  (258),VI,52400,,,26700,24850,21550,18900,,,,
Q5 2.0 TFSI hybrid quattro tiptronic (8R),5,180  (245),V,55750,,,,29850,26200,23150,19700,,,
Q5 2.0 TFSI quattro S tronic (FY),5,185  (252),V,50800,37400,33350,29800,,,,,,,
Q5 2.0 TDI  (FY),5,110  (150),VI,40250,29000,25900,23150,,,,,,,
Q5 2.0 TDI quattro S tronic (FY),5,120  (163),VI,46000,32150,28700,25650,,,,,,,
Q5 35 TDI quattro S tronic (FY),5,120  (163),VI,47000,32300,,,,,,,,,
Q5 2.0 TDI quattro (FY),5,140  (190),VI,47300,31600,29550,26350,,,,,,,
Q5 40 TDI quattro (FY),5,140  (190),VI,45750,31600,,,,,,,,,
Q5 3.0 TDI quattro tiptronic (FY),5,210  (286),VI,55500,40200,35900,,,,,,,,
SQ5 TDI tiptronic (8R),5,230  (313),VI,60600,,,,29500,26350,23100,19800,,,
SQ5 TDI competition tiptronic (8R),5,240  (326),VI,63250,,38350,34250,30550,,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 16 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Audi,,,,,,,,,,,,,,
SQ5 TDI plus tiptronic (8R),5,250  (340),VI,68200,,39050,34850,31150,,,,,,
SQ5 TFSI tiptronic (FY),5,260  (354),V,65750,45600,40700,,,,,,,,
Q7 3.0 TFSI quattro tiptronic (4M),5,245  (333),VI,63600,,,37700,33550,,,,,,
Q7 3.0 TDI ultra quattro tiptronic (4M),5,160  (218),VII,61200,42500,36850,33300,29200,,,,,,
Q7 45 TDI quattro tiptronic (4M),5,170  (231),VII,64100,43250,,,,,,,,,
Q7 3.0 TDI quattro tiptronic (4M),5,200  (272),VII,64400,45200,40250,36150,31750,,,,,,
Q7 50 TDI quattro tiptronic (4M),5,210  (286),VII,67300,45850,,,,,,,,,
Q7 e-tron quattro tiptronic (4M),5,275  (373),VII,83400,58800,51500,46700,,,,,,,
SQ7 TDI tiptronic (4M),5,320  (435),VII,93400,63250,56750,51800,,,,,,,
Q8 50 TDI quattro tiptronic (4M),5,210  (286),VII,77300,57450,,,,,,,,,
R8 Coupé 5.2 FSI V10 quattro S tronic (4S),2,397  (540),V,166000,106000,95350,86000,76850,,,,,,
R8 Coupé 5.2 FSI V10 RWS S tronic (4S),2,397  (540),V,144000,96100,82400,,,,,,,,
R8 Coupé 5.2 FSI V10 plus quattro S tronic (4S),2,449  (610),V,196000,116800,105300,94700,86300,,,,,,
R8 Spyder 5.2 FSI V10 quattro S tronic (4S),2,397  (540),V,179000,111900,99650,89900,,,,,,,
R8 Spyder 5.2 FSI V10 RWS S tronic (4S),2,397  (540),V,157000,102700,87600,,,,,,,,
R8 Spyder 5.2 FSI V10 plus quattro S tronic (4S),2,449  (610),V,209000,123300,113500,,,,,,,,
TT Coupé 1.8 TFSI  (8J),3,118  (160),IV,30700,,,,,15950,14450,13050,,,
TT Coupé 2.0 TFSI  (8J),3,155  (211),IV,34200,,,,,17400,15750,14450,,,
TT Coupé 2.0 TFSI quattro S tronic (8J),3,155  (211),IV,38700,,,,,19250,17400,15950,,,
TT Coupé 2.0 TDI quattro (8J),3,125  (170),V,36100,,,,,16750,14950,13400,,,
TT Roadster 1.8 TFSI  (8J),2,118  (160),IV,32900,,,,,15950,14400,13050,,,
TT Roadster 2.0 TFSI  (8J),2,155  (211),IV,36400,,,,,17850,16250,14450,,,
TT Roadster 2.0 TFSI quattro S tronic (8J),2,155  (211),IV,40900,,,,,19550,17850,15900,,,
TT Roadster 2.0 TDI quattro (8J),2,125  (170),V,38300,,,,,16200,14400,13200,,,
TT Coupé 1.8 TFSI  (8S),3,132  (180),IV,33750,23800,21550,19950,18500,,,,,,
TT Coupé 2.0 TFSI  (8S),3,169  (230),IV,37150,25000,23150,21400,20100,18900,,,,,
TT Coupé 2.0 TFSI quattro S tronic (8S),3,169  (230),IV,41650,27900,25800,23850,22400,21050,,,,,
TT Coupé 2.0 TDI quattro S tronic (8S),3,135  (184),V,42450,27100,23700,22100,,,,,,,
TT Coupé 2.0 TDI ultra  (8S),3,135  (184),V,37950,24450,21400,19950,18700,17350,,,,,
TT Roadster 1.8 TFSI  (8S),2,132  (180),IV,36150,25100,22150,20650,19350,,,,,,
TT Roadster 2.0 TFSI  (8S),2,169  (230),IV,39550,27500,23600,21800,20400,19050,,,,,
TT Roadster 2.0 TFSI quattro S tronic (8S),2,169  (230),IV,44050,30450,26100,24150,22550,21000,,,,,
TT Roadster 2.0 TDI quattro S tronic (8S),2,135  (184),V,44850,28450,24400,22650,,,,,,,
TT Roadster 2.0 TDI ultra  (8S),2,135  (184),V,40350,25900,22200,20600,19100,17950,,,,,
TT RS Coupé  (8J),3,250  (340),V,56950,,,,,27600,25600,23550,,,
TT RS plus Coupé  (8J),3,265  (360),V,60850,,,,,29950,27750,25500,,,
TT RS Roadster  (8J),2,250  (340),IV,59800,,,,,29300,27200,25300,,,
TT RS plus Roadster  (8J),2,265  (360),IV,63700,,,,,31250,29000,26950,,,
TT RS Coupé quattro S tronic (8S),3,294  (400),IV,67000,47800,44200,41100,,,,,,,
TT RS Roadster quattro S tronic (8S),2,294  (400),IV,69800,52500,47350,44150,,,,,,,
TTS Coupé  (8J),3,200  (272),V,46700,,,,,22150,19950,17950,,,
TTS Roadster  (8J),2,200  (272),IV,49600,,,,,23150,21300,19600,,,
TTS Coupé quattro (8S),3,228  (310),IV,51150,32950,29400,27400,25700,24000,,,,,
TTS Roadster quattro (8S),2,228  (310),IV,53950,35450,31350,28650,26800,,,,,,
BMW,,,,,,,,,,,,,,
120i Coupé  (E82),2,125  (170),IV,28700,,,,,,13000,11800,,,
125i Coupé  (E82),2,160  (218),IV,33100,,,,,,14500,13150,,,
135i Coupé  (E82),2,225  (306),IV,40750,,,,,,18750,17200,,,
118d Coupé  (E82),2,105  (143),V,27950,,,,,,10250,9150,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 17 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
BMW,,,,,,,,,,,,,,
120d Coupé  (E82),2,130  (177),V,30200,,,,,,11650,10500,,,
123d Coupé  (E82),2,150  (204),V,33950,,,,,,13200,11800,,,
118i Cabrio  (E88),2,105  (143),V,32700,,,,,,11600,10400,,,
120i Cabrio  (E88),2,125  (170),IV,33500,,,,,,13250,12000,,,
125i Cabrio  (E88),2,160  (218),IV,37850,,,,,,15650,14200,,,
135i Cabrio  (E88),2,225  (306),IV,45500,,,,,,19550,17950,,,
120d Cabrio  (E88),2,130  (177),V,34950,,,,,,12500,11200,,,
123d Cabrio  (E88),2,150  (204),V,38700,,,,,,13800,12350,,,
114i  (F20/F21),3,75  (102),IV,21900,,,,,,8775,8125,,,
116i  (F20/F21),3,80  (109),IV,23550,,13000,11850,11000,,,,,,
118i  (F20/F21),3,100  (136),IV,24050,,,,12000,,,,,,
118i  (F20/F21),3,100  (136),IV,24650,,14400,13100,12150,,,,,,
120i  (F20/F21),3,130  (177),IV,27800,,,15150,14100,,,,,,
120i Advantage (F20/F21),3,135  (184),IV,29700,,17400,16150,,,,,,,
125i  (F20/F21),3,160  (218),IV,31500,,,17450,15700,,,,,,
125i Urban Line Steptronic (F20/F21),3,165  (224),IV,33900,,,18800,16950,,,,,,
125i Sport Line Steptronic (F20/F21),3,165  (224),IV,36300,,21600,19300,,,,,,,
114d  (F20/F21),3,70  (95),V,24150,,,,9550,8850,8150,7325,,,
116d  (F20/F21),3,85  (116),V,26800,,12800,11650,11100,,,,,,
116d ED  (F20/F21),3,85  (116),V,26800,,12900,11750,11200,,,,,,
118d  (F20/F21),3,105  (143),V,26650,,,,11200,10600,9775,8800,,,
118d xDrive (F20/F21),3,105  (143),V,28650,,,,11950,11300,10450,,,,
118d  (F20/F21),3,110  (150),V,28750,,14300,12900,11900,,,,,,
118d xDrive (F20/F21),3,110  (150),V,30750,,15300,13800,12750,,,,,,
120d  (F20/F21),3,135  (184),V,28650,,,,11850,11200,10300,9250,,,
120d BluePerformance  (F20/F21),3,135  (184),V,29840,,,,12350,11550,10600,9525,,,
120d BluePerformance xDrive (F20/F21),3,135  (184),V,30650,,,,12800,12100,11100,9975,,,
120d  (F20/F21),3,140  (190),V,30400,,,14550,13800,,,,,,
120d xDrive Steptronic (F20/F21),3,140  (190),V,34500,,,16500,15700,,,,,,
120d Advantage (F20/F21),3,140  (190),V,32300,,16450,15300,14550,,,,,,
120d Advantage xDrive Steptronic (F20/F21),3,140  (190),V,36400,,18600,17300,16450,,,,,,
125d  (F20/F21),3,160  (218),V,32750,,,,15850,14400,13300,11950,,,
125d Steptronic (F20/F21),3,165  (224),V,36650,,,18550,17400,,,,,,
125d Sport Line Steptronic (F20/F21),3,165  (224),V,41450,25350,22650,,,,,,,,
M135i  (F20/F21) M Performance,3,240  (326),IV,42200,,,23900,22200,,,,,,
M135i xDrive Steptronic Sport (F20/F21) M,3,240  (326),IV,46350,,,26250,24400,,,,,,
Performance,,,,,,,,,,,,,,
M140i  (F20/F21) M Performance,3,250  (340),IV,42500,,26100,23750,,,,,,,
M140i xDrive Steptronic Sport (F20/F21) M,3,250  (340),IV,46650,,28650,26100,,,,,,,
Performance,,,,,,,,,,,,,,
M140i Special Edition (F20/F21) M Performance,3,250  (340),IV,45200,30100,26900,,,,,,,,
M140i Special Edition xDrive Steptronic (F20/F21) M,3,250  (340),IV,49400,32900,29400,,,,,,,,
Performance,,,,,,,,,,,,,,
218i Coupé  (F22),2,100  (136),IV,28150,,17600,15700,14750,,,,,,
220i Coupé  (F22),2,135  (184),IV,31300,,19300,17750,16200,15600,14000,,,,
220i Coupé Advantage Steptronic (F22),2,135  (184),IV,32400,,19950,18350,16800,,,,,,
228i Coupé  (F22),2,180  (245),IV,35200,,,19600,18300,17450,,,,,
230i Coupé Advantage (F22),2,185  (252),IV,36500,,22750,20350,,,,,,,
230i Coupé Sport Line Steptronic Sport (F22),2,185  (252),IV,38150,,23800,21250,,,,,,,
218d Coupé  (F22),2,105  (143),V,30600,,,,14600,13700,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 18 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
BMW,,,,,,,,,,,,,,
218d Coupé  (F22),2,110  (150),V,31300,,17150,15650,14800,,,,,,
220d Coupé  (F22),2,135  (184),V,32500,,,,,14600,13400,,,,
220d Coupé  (F22),2,140  (190),V,33800,,18900,16900,15800,14750,,,,,
220d Coupé xDrive Steptronic (F22),2,140  (190),V,37900,,20950,18700,17500,,,,,,
220d Coupé Advantage (F22),2,140  (190),V,34900,,19550,17450,16300,,,,,,
220d Coupé Advantage xDrive Steptronic (F22),2,140  (190),V,39000,,21550,19250,18050,,,,,,
225d Coupé Steptronic Sport (F22),2,160  (218),V,38100,,,,18250,17100,,,,,
225d Coupé Steptronic Sport (F22),2,165  (224),V,38300,,,19700,18450,,,,,,
225d Coupé Sport Line Steptronic Sport (F22),2,165  (224),V,41250,,23750,21200,19650,,,,,,
M240i Coupé Steptronic Sport (F22) M Performance,2,250  (340),IV,45400,,28300,26050,,,,,,,
M240i Coupé xDrive Steptronic Sport (F22) M,2,250  (340),IV,49700,,31000,28500,,,,,,,
Performance,,,,,,,,,,,,,,
218i Cabrio  (F23),2,100  (136),IV,32500,,19850,18100,17250,,,,,,
220i Cabrio  (F23),2,135  (184),IV,35650,,21300,19000,17850,16650,,,,,
220i Cabrio Advantage Steptronic (F23),2,135  (184),IV,36750,,21950,19600,18450,,,,,,
228i Cabrio  (F23),2,180  (245),IV,39550,,,21300,19800,19000,,,,,
230i Cabrio Advantage (F23),2,185  (252),IV,40650,,24550,21900,,,,,,,
230i Cabrio Sport Line Steptronic Sport (F23),2,185  (252),IV,42300,,25500,22800,,,,,,,
218d Cabrio  (F23),2,110  (150),V,36000,,19650,17900,16750,,,,,,
220d Cabrio  (F23),2,140  (190),V,38350,,20200,18050,16900,15750,,,,,
220d Cabrio Advantage (F23),2,140  (190),V,39450,,20800,18550,17400,,,,,,
225d Cabrio Steptronic (F23),2,165  (224),V,42950,,,22150,20300,,,,,,
225d Cabrio Sport Line Steptronic Sport (F23),2,165  (224),V,45700,,26450,23600,21450,,,,,,
M235i Cabrio  (F23) M Performance,2,240  (326),IV,49100,,,26300,24550,23150,,,,,
M235i Cabrio xDrive Steptronic Sport (F23) M,2,240  (326),IV,53200,,,28500,26600,,,,,,
Performance,,,,,,,,,,,,,,
M240i Cabrio  (F23) M Performance,2,250  (340),IV,49400,,29500,27700,,,,,,,
M240i Cabrio xDrive Steptronic Sport (F23) M,2,250  (340),IV,53500,,31950,30000,,,,,,,
Performance,,,,,,,,,,,,,,
216i Active Tourer  (F45),5,75  (102),IV,27350,16700,15400,13750,12300,,,,,,
216i Active Tourer  (F45),5,80  (109),IV,27850,17000,,,,,,,,,
218i Active Tourer  (F45),5,100  (136),IV,28900,17500,16150,14400,12850,11500,,,,,
218i Active Tourer  (F45),5,103  (140),IV,29400,18250,,,,,,,,,
220i Active Tourer  (F45),5,141  (192),IV,32450,20150,18950,16950,15100,13500,,,,,
220i Active Tourer Steptronic (DKG) (F45),5,141  (192),IV,35000,22050,,,,,,,,,
225i Active Tourer Steptronic (F45),5,170  (231),IV,38450,23500,21800,,,,,,,,
225i Active Tourer xDrive Steptronic (F45),5,170  (231),IV,40450,24700,22900,,,,,,,,
225i Active Tourer xDrive Steptronic (F45),5,170  (231),IV,41000,25050,,,,,,,,,
214d Active Tourer  (F45),5,70  (95),V,28000,,,12750,11850,,,,,,
216d Active Tourer  (F45),5,85  (116),V,30650,15800,14100,12600,11700,10600,,,,,
216d Active Tourer  (F45),5,85  (116),V,31150,16050,,,,,,,,,
218d Active Tourer  (F45),5,110  (150),V,32650,17450,15050,13450,12500,11300,,,,,
218d Active Tourer xDrive (F45),5,110  (150),V,34650,18500,15800,14150,13150,,,,,,
218d Active Tourer  (F45),5,110  (150),V,33200,17750,,,,,,,,,
218d Active Tourer xDrive (F45),5,110  (150),V,35200,18800,,,,,,,,,
220d Active Tourer  (F45),5,140  (190),V,36250,19750,16900,15100,14000,12650,,,,,
220d Active Tourer xDrive Steptronic (F45),5,140  (190),V,40350,22000,18650,16650,15500,14000,,,,,
220d Active Tourer Steptronic (F45),5,140  (190),V,38750,21900,,,,,,,,,
220d Active Tourer xDrive Steptronic (F45),5,140  (190),V,40850,23100,,,,,,,,,
225xe iPerformance Active Tourer Steptronic (F45),5,165  (224),IV,39150,23300,21100,,,,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 19 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
