2011,2012,2013,2014,2015,2016,2017,2018,kw,mark,model
,,32750,36700,41100,66300,,,301,ALPINA,B3 Bi-Turbo Switch-Tronic (F30)
,,,,46450,52000,58250,70800,301,ALPINA,B3 Bi-Turbo Allrad Switch-Tronic (F30)
,,,,44500,49850,55800,67900,301,ALPINA,B3 Bi-Turbo Switch-Tronic (F30)
,,28700,32250,36100,56300,,,257,ALPINA,D3 Bi-Turbo Switch-Tronic (F30)
,,,,36500,40900,45800,58600,257,ALPINA,D3 Bi-Turbo Switch-Tronic (F30)
,,35100,39300,44000,71000,,,301,ALPINA,B3 Bi-Turbo Touring Allrad Switch-Tronic (F31)
,,33650,37700,42200,68100,,,301,ALPINA,B3 Bi-Turbo Touring Switch-Tronic (F31)
,,,,47650,53350,59750,72600,301,ALPINA,B3 Bi-Turbo Touring Allrad Switch-Tronic (F31)
,,,,45750,51200,57350,69700,301,ALPINA,B3 Bi-Turbo Touring Switch-Tronic (F31)
,,31350,35300,39500,61600,,,257,ALPINA,D3 Bi-Turbo Touring Allrad Switch-Tronic (F31)
,,29600,33300,37300,58100,,,257,ALPINA,D3 Bi-Turbo Touring Switch-Tronic (F31)
,,,,39850,44650,50000,63900,257,ALPINA,D3 Bi-Turbo Touring Allrad Switch-Tronic (F31)
,,,,37700,42200,47250,60400,257,ALPINA,D3 Bi-Turbo Touring Switch-Tronic (F31)
,,,36900,40850,44850,50550,72700,301,ALPINA,B4 Bi-Turbo Coupé Allrad Switch-Tronic (F32)
,,,35650,39550,43400,48900,69800,301,ALPINA,B4 Bi-Turbo Coupé Switch-Tronic (F32)
,,,29100,32250,36100,39900,61200,257,ALPINA,D4 Bi-Turbo Coupé Switch-Tronic (F32)
,,,38600,42600,46800,52400,75900,301,ALPINA,B4 Bi-Turbo Cabrio Switch-Tronic (F33)
,,,31900,35300,39550,45300,69500,257,ALPINA,D4 Bi-Turbo Cabrio Switch-Tronic (F33)
25850,29650,95400,,,,,,373,ALPINA,B5 Bi-Turbo Switch-Tronic (F10)
,30850,35050,99200,,,,,397,ALPINA,B5 Bi-Turbo Switch-Tronic (F10)
,,,,53500,59950,67800,108600,441,ALPINA,B5 Bi-Turbo Switch-Tronic (F10)
,,25900,30450,70950,,,,257,ALPINA,D5 Bi-Turbo Switch-Tronic (F10)
26800,30700,98800,,,,,,373,ALPINA,B5 Bi-Turbo Touring Switch-Tronic (F11)
,,36950,41950,102520,,,,397,ALPINA,B5 Bi-Turbo Touring Switch-Tronic (F11)
,,,,55100,61700,69800,111900,441,ALPINA,B5 Bi-Turbo Touring Switch-Tronic (F11)
,,27100,31900,74350,,,,257,ALPINA,D5 Bi-Turbo Touring Switch-Tronic (F11)
,,,,,,63700,87900,285,ALPINA,D5 S Allrad Switch-Tronic (G30)
,,,,,,66400,90400,285,ALPINA,D5 S Touring Allrad Switch-Tronic (G31)
,,,55200,60900,126500,,,397,ALPINA,B6 Bi-Turbo Gran Coupé Allrad Switch-Tronic (F06)
,,,,65100,75900,85000,135800,441,ALPINA,B6 Bi-Turbo Gran Coupé Allrad Switch-Tronic (F06)
40300,45350,51550,58700,130800,,,,397,ALPINA,B6 Bi-Turbo Cabriolet Switch-Tronic (F12)
,,,,75100,84150,142400,,441,ALPINA,B6 Bi-Turbo Cabriolet Edition 50 Switch-Tronic (F12)
36000,40750,46550,53750,122800,,,,397,ALPINA,B6 Bi-Turbo Coupé Switch-Tronic (F13)
,,,,68500,76750,133800,,441,ALPINA,B6 Bi-Turbo Coupé Edition 50 Switch-Tronic (F13)
31300,36250,129600,,,,,,373,ALPINA,B7 Bi-Turbo Allrad Switch-Tronic (F01/F02)
30200,34950,125000,,,,,,373,ALPINA,B7 Bi-Turbo Switch-Tronic (F01/F02)
,37650,44050,51850,134600,,,,397,ALPINA,B7 Bi-Turbo Allrad Switch-Tronic (F01/F02)
,36350,42550,50100,130000,,,,397,ALPINA,B7 Bi-Turbo Switch-Tronic (F01/F02)
,,,,,78250,90250,149400,447,ALPINA,B7 Bi-Turbo Langversion Allrad Switch-Tronic (G12)
,,34700,40250,,44300,69100,,257,ALPINA,XD3 Bi-Turbo Switch-Tronic (F25)
,,,,,10650,11950,16250,60,Audi,A1 1.0 TFSI ultra (8X)
7075,7875,8575,9675,16750,,,,63,Audi,A1 1.2 TFSI Attraction (8X)
,,,,10200,11450,12800,17750,70,Audi,A1 1.0 TFSI ultra (8X)
8725,9850,10700,11950,20800,,,,90,Audi,A1 1.4 TFSI 119g Attraction S tronic
8000,9075,9850,11000,19200,,,,90,Audi,A1 1.4 TFSI Attraction (8X)
,,,10050,11250,12600,14150,20050,92,Audi,A1 1.4 TFSI (8X)
,,10450,11700,20400,,,,103,Audi,A1 1.4 TFSI cod Attraction (8X)
,,,11200,12550,14050,15750,23500,110,Audi,A1 1.4 TFSI cod (8X)
10500,11650,12700,14450,24950,,,,136,Audi,A1 1.4 TFSI Ambition S tronic (8X)
,,,13600,15250,17100,19150,26650,141,Audi,A1 1.8 TFSI sport S tronic (8X)
7075,7975,8750,9825,18900,,,,66,Audi,A1 1.6 TDI Attraction (8X)
,,,8975,10100,11300,12650,19950,66,Audi,A1 1.4 TDI (8X)
7125,8025,8800,9875,19800,,,,77,Audi,A1 1.6 TDI Attraction (8X)
,,,9575,10800,12100,13550,21050,85,Audi,A1 1.6 TDI (8X)
8425,9500,10450,11700,22900,,,,105,Audi,A1 2.0 TDI Ambition (8X)
,,,,,11200,12550,17100,60,Audi,A1 Sportback 1.0 TFSI ultra
,8300,9025,10200,17600,,,,63,Audi,A1 Sportback 1.2 TFSI Attraction (8X)
,,,,10700,12000,13450,18600,70,Audi,A1 Sportback 1.0 TFSI ultra
,9475,10300,11500,20050,,,,90,Audi,A1 Sportback 1.4 TFSI Attraction (8X)
,,,10450,11750,13150,14750,20900,92,Audi,A1 Sportback 1.4 TFSI (8X)
,,10850,12200,21250,,,,103,Audi,A1 Sportback 1.4 TFSI cod Attraction (8X)
,,,11650,13050,14600,16350,24350,110,Audi,A1 Sportback 1.4 TFSI cod
,12100,13150,14950,25800,,,,136,Audi,A1 Sportback 1.4 TFSI Ambition S tronic (8X)
,,,14050,15750,17650,19750,27500,141,Audi,A1 Sportback 1.8 TFSI sport S tronic (8X)
,8325,9150,10250,19750,,,,66,Audi,A1 Sportback 1.6 TDI Attraction (8X)
,,,9375,10550,11800,13250,20800,66,Audi,A1 Sportback 1.4 TDI (8X)
,8375,9200,10300,20650,,,,77,Audi,A1 Sportback 1.6 TDI Attraction (8X)
,,,9975,11250,12600,14100,21900,85,Audi,A1 Sportback 1.6 TDI (8X)
,9850,10800,12100,23750,,,,105,Audi,A1 Sportback 2.0 TDI Ambition (8X)
,,,16750,18800,21050,23600,30700,170,Audi,S1 quattro (8X)
,,,17250,19350,21650,24250,31550,170,Audi,S1 Sportback quattro (8X)
7450,8275,21100,,,,,,77,Audi,A3 1.2 TFSI Attraction (8P)
7175,7950,23000,,,,,,66,Audi,A3 1.6 TDI Attraction (8P)
7900,8675,24050,,,,,,77,Audi,A3 1.6 TDI 99g Attraction (8P)
7700,8450,24050,,,,,,77,Audi,A3 1.6 TDI Attraction (8P)
7950,8825,22000,,,,,,77,Audi,A3 Sportback 1.2 TFSI Attraction (8P)
7550,8375,23900,,,,,,66,Audi,A3 Sportback 1.6 TDI Attraction (8P)
8300,9100,24950,,,,,,77,Audi,A3 Sportback 1.6 TDI 102g Attraction (8P)
8025,8800,24950,,,,,,77,Audi,A3 Sportback 1.6 TDI Attraction (8P)
10150,11250,12250,25500,,,,,77,Audi,A3 Cabriolet 1.2 TFSI Attraction (8P)
10450,11700,12750,27150,,,,,92,Audi,A3 Cabriolet 1.4 TFSI Attraction (8P)
9025,10200,11450,29000,,,,,77,Audi,A3 Cabriolet 1.6 TDI Attraction (8P)
,,10850,11450,21900,,,,77,Audi,A3 1.2 TFSI Attraction (8V)
,,,11600,12300,13150,22800,,81,Audi,A3 1.2 TFSI Attraction (8V)
,,,,,13850,15200,23750,85,Audi,A3 1.0 TFSI (8V)
,11000,11750,12500,22800,,,,90,Audi,A3 1.4 TFSI Attraction (8V)
,,,12700,13550,14900,23700,,92,Audi,A3 1.4 TFSI Attraction (8V)
,,,12750,13700,14950,24950,,110,Audi,A3 1.4 TFSI cod ultra Attraction (8V)
,,,,,15500,17200,25000,110,Audi,A3 1.4 TFSI cod ultra (8V)
,,,,,,17300,25700,110,Audi,A3 1.5 TFSI cod (8V)
,12050,13000,25900,,,,,132,Audi,A3 1.8 TFSI Attraction (8V)
,13650,14750,29750,,,,,132,Audi,A3 1.8 TFSI Attraction quattro S tronic (8V)
,,,,,20800,23300,34250,140,Audi,A3 2.0 TFSI sport quattro S tronic
,9100,10100,11000,24800,,,,77,Audi,A3 1.6 TDI Attraction (8V)
,,,10850,11700,12850,25700,,81,Audi,A3 1.6 TDI Attraction (8V)
,,,,,13650,15100,25950,81,Audi,A3 1.6 TDI (8V)
,,,,,,15500,26650,85,Audi,A3 1.6 TDI (8V)
,10150,11150,12350,26600,,,,110,Audi,A3 2.0 TDI Attraction (8V)
,10750,11800,13050,28550,,,,110,Audi,A3 2.0 TDI Attraction quattro (8V)
,,,,,15350,17200,28850,110,Audi,A3 2.0 TDI (8V)
,,,,,16250,18200,30850,110,Audi,A3 2.0 TDI quattro (8V)
,,13050,14000,15000,16350,29800,,135,Audi,A3 2.0 TDI Attraction (8V)
,,14550,15650,16700,18250,33650,,135,Audi,A3 2.0 TDI Attraction quattro S tronic (8V)
,,,,,20250,23150,36600,135,Audi,A3 2.0 TDI sport quattro S tronic (8V)
,,11600,12200,22800,,,,77,Audi,A3 Sportback 1.2 TFSI Attraction (8V)
,,,12500,13200,14050,23700,,81,Audi,A3 Sportback 1.2 TFSI Attraction (8V)
,,,,,14850,16250,25350,85,Audi,A3 Sportback 1.0 TFSI (8V)
,11750,12600,13400,23700,,,,90,Audi,A3 Sportback 1.4 TFSI Attraction (8V)
,,,13550,14500,15950,24600,,92,Audi,A3 Sportback 1.4 TFSI Attraction (8V)
,,,14050,15050,16450,25850,,110,Audi,A3 Sportback 1.4 TFSI cod ultra Attraction (8V)
,,,,,17000,18500,25900,110,Audi,A3 Sportback 1.4 TFSI cod ultra (8V)
,,,,,,18250,27300,110,Audi,A3 Sportback 1.5 TFSI cod (8V)
,,15700,16950,18100,19700,31900,,132,Audi,A3 Sportback 1.8 TFSI Attraction quattro S tronic (8V)
,13700,14750,28700,,,,,132,Audi,A3 Sportback 1.8 TFSI Attraction S tronic (8V)
,,,,,22450,25150,35850,140,Audi,A3 Sportback 2.0 TFSI sport quattro S tronic
,9850,10900,11600,25700,,,,77,Audi,A3 Sportback 1.6 TDI Attraction (8V)
,,,11700,12650,13850,26600,,81,Audi,A3 Sportback 1.6 TDI Attraction (8V)
,,,,,14700,16300,26850,81,Audi,A3 Sportback 1.6 TDI (8V)
,,,,,,16700,28350,85,Audi,A3 Sportback 1.6 TDI (8V)
,10850,11900,13250,27500,,,,110,Audi,A3 Sportback 2.0 TDI Attraction (8V)
,11450,12550,13950,29450,,,,110,Audi,A3 Sportback 2.0 TDI Attraction quattro (8V)
,,,,,16450,18050,30550,110,Audi,A3 Sportback 2.0 TDI (8V)
,,,,,17350,19050,31750,110,Audi,A3 Sportback 2.0 TDI quattro (8V)
,,14100,15200,16250,17750,30700,,135,Audi,A3 Sportback 2.0 TDI Attraction (8V)
,,15700,16900,18100,19750,34550,,135,Audi,A3 Sportback 2.0 TDI Attraction quattro (8V)
,,,,,21850,24950,38300,135,Audi,A3 Sportback 2.0 TDI sport quattro S tronic (8V)
,,,13750,14850,16200,26800,,81,Audi,A3 Sportback g-tron Attraction (8V)
,,,,,17350,19450,27550,81,Audi,A3 Sportback g-tron (8V)
,,,19450,21100,23050,38400,,150,Audi,A3 Sportback e-tron Attraction S tronic (8V)
,,,,,23500,26300,37900,150,Audi,A3 Sportback e-tron S tronic (8V)
,,,,,15150,16600,26250,85,Audi,A3 Limousine 1.0 TFSI (8V)
,,12700,13550,14550,15850,25500,,92,Audi,A3 Limousine 1.4 TFSI Attraction (8V)
,,12800,13750,25500,,,,103,Audi,A3 Limousine 1.4 TFSI cod Attraction (8V)
,,,16850,18700,20900,32650,,110,Audi,A3 Limousine 1.4 TFSI cod ultra Attraction (8V)
,,,,,16950,18600,26800,110,Audi,A3 Limousine 1.4 TFSI cod ultra (8V)
,,,,,,18350,28200,110,Audi,A3 Limousine 1.5 TFSI cod (8V)
,,14300,15250,16350,17800,28950,,132,Audi,A3 Limousine 1.8 TFSI Attraction (8V)
,,16000,17150,18350,19950,32800,,132,Audi,A3 Limousine 1.8 TFSI Attraction quattro S tronic (8V)
,,,,,22300,24950,36750,140,Audi,A3 Limousine 2.0 TFSI sport quattro S tronic
,,11050,11750,26300,,,,77,Audi,A3 Limousine 1.6 TDI Attraction (8V)
,,,11850,12800,14050,27500,,81,Audi,A3 Limousine 1.6 TDI Attraction (8V)
,,,11950,12900,14150,27550,,81,Audi,A3 Limousine 1.6 TDI ultra Attraction (8V)
,,,,,14900,16500,27750,81,Audi,A3 Limousine 1.6 TDI (8V)
,,,,,,16950,29250,85,Audi,A3 Limousine 1.6 TDI (8V)
,,12150,13400,28100,,,,110,Audi,A3 Limousine 2.0 TDI Attraction (8V)
,,12800,14150,30050,,,,110,Audi,A3 Limousine 2.0 TDI Attraction quattro (8V)
,,,,,16800,18450,31450,110,Audi,A3 Limousine 2.0 TDI (8V)
,,,,,17700,19450,32650,110,Audi,A3 Limousine 2.0 TDI quattro (8V)
,,,15400,16550,18050,31600,,135,Audi,A3 Limousine 2.0 TDI Attraction (8V)
,,,17050,18350,20050,35450,,135,Audi,A3 Limousine 2.0 TDI Attraction quattro S Tronic (8V)
,,,,,22150,25300,39200,135,Audi,A3 Limousine 2.0 TDI sport quattro S tronic (8V)
