2011,2012,2013,2014,2015,2016,2017,2018,kw,mark,model
,,,,,7850,8800,15161,57,Fiat,Fiorino Kombi 1.4 8V (225)
,,,,,9050,10150,17624,59,Fiat,Fiorino Kombi 1.3 Multijet 16V
,,,,,9250,10350,18017,59,Fiat,Fiorino Kombi 1.3 Multijet 16V Ecojet Start&Stop
4875,5400,6025,6900,7875,16684,,,70,Fiat,Fiorino Kombi 1.3 JTD Multijet 16V (225)
,,,,,9250,10350,18040,70,Fiat,Fiorino Kombi 1.3 Multijet 16V
,,,,,9450,10600,18433,70,Fiat,Fiorino Kombi 1.3 Multijet 16V Ecojet Start&Stop
4750,5350,5925,6775,17196,,,,51,Fiat,Fiorino Kombi 1.4 8V Natural Power
,,,,,8825,9875,17707,51,Fiat,Fiorino Kombi 1.4 8V Natural Power
,,,6175,6925,7750,13990,,57,Fiat,Qubo 1.4 8V Pop (225)
,,,,,7000,7850,12490,57,Fiat,Qubo 1.4 8V Pop (225)
,,,,,8675,9700,15490,59,Fiat,Qubo 1.3 16V Multijet Pop (225)
,,,,,10550,11800,18090,70,Fiat,"(225)"""
,,,,,8850,9900,15290,51,Fiat,Qubo 1.4 8V Natural Power Pop (225)
,,11400,12750,27390,,,,125,Fiat,Freemont 2.4 16V My Freemont Automatik (JC)
,,14150,15900,35390,,,,206,Fiat,Freemont 3.6 V6 24V Lounge Allrad Automatik (JC)
9100,10150,11700,12850,14650,16450,28690,,103,Fiat,Freemont 2.0 JTD Multijet 16V
9950,11150,12800,29290,,,,,125,Fiat,Freemont 2.0 JTD Multijet 16V Urban (JC)
11000,12250,14100,32790,,,,,125,Fiat,"(JC)"""
4875,5475,16150,,,,,,77,Fiat,Punto EVO 1.4 16V Multiair Start&Stopp Racing (199)
5225,5875,17350,,,,,,99,Fiat,"(199)"""
4925,5575,17700,,,,,,70,Fiat,"(199)"""
5500,6200,20000,,,,,,88,Fiat,Punto EVO 1.6 JTD 16V Multijet Sport (199)
,3250,3625,9490,,,,,51,Fiat,Panda 1.2 8V Classic (169)
,4400,5100,13490,,,,,51,Fiat,Panda 1.2 8V Classic 4x4 (169)
,5175,6000,15990,,,,,55,Fiat,Panda 1.3 JTD Multijet 16V Classic 4x4 (169)
4000,4475,13840,,,,,,51,Fiat,Panda 1.4 8V Natural Power Panda Panda
,,,,,,8800,13490,51,Fiat,Panda Cross 1.2 8V City (312)
,,4025,9090,,,,,51,Fiat,Panda 1.2 8V (312)
,6600,7300,15590,,,,,63,Fiat,Panda 0.9 8V Twinair Start&Stopp 4x4 (312)
,5325,5900,13090,,,,,63,Fiat,Panda 0.9 8V Twinair Start&Stopp Lounge (312)
,,6100,6825,7650,8575,9300,13190,63,Fiat,Panda 0.9 8V Twinair Turbo Start&Stopp Lounge (312)
,,,,,,11250,15990,63,Fiat,Panda 0.9 8V Twinair Turbo Start&Stopp Wild 4x4 (312)
,6800,7600,8525,9550,16990,,,55,Fiat,Panda 1.3 JTD Multijet 16V Start&Stopp 4x4 (312)
,5425,6075,6800,7625,13890,,,55,Fiat,Panda 1.3 JTD Multijet 16V Start&Stopp Lounge (312)
,,,,7800,8750,9800,14890,70,Fiat,Panda 1.3 Multijet 16V Start&Stopp Lounge (312)
,,,,,,11750,17690,70,Fiat,Panda 1.3 Multijet 16V Start&Stopp Wild 4x4 (312)
,,,,5525,6175,6925,10290,51,Fiat,Panda 1.2 8V LPG Easy (312)
,6000,6625,15590,,,,,59,Fiat,Panda 0.9 8V Twinair Natural Power Lounge
3750,4200,12200,,,,,,51,Fiat,Punto 1.2 8V Start&Stopp Active (199)
,4300,4675,5175,11590,,,,51,Fiat,Punto 1.2 8V Pop (199)
3975,4475,12900,,,,,,57,Fiat,Punto 1.4 8V Start&Stopp Active (199)
,4900,5475,12800,,,,,57,Fiat,Punto 1.4 8V Start&Stopp Pop (199)
,5800,15200,,,,,,62,Fiat,Punto 0.9 8V Twinair Start&Stopp Easy (199)
4550,5100,15000,,,,,,77,Fiat,Punto 1.4 16V Multiair Start&Stopp Dynamic (199)
,,6500,7225,15290,,,,77,Fiat,Punto 0.9 8V Twinair Start&Stopp My Punto (199)
,5925,15700,,,,,,77,Fiat,Punto 1.4 16V Multiair Start&Stopp Easy (199)
,6675,7475,17900,,,,,99,Fiat,Punto 1.4 16V Multiair Turbo Start&Stopp Sport (199)
4450,5000,15750,,,,,,55,Fiat,Punto 1.3 JTD 16V Multijet Start&Stopp Dynamic (199)
,5400,6125,6775,7475,14790,,,62,Fiat,Punto 1.3 JTD 16V Multijet Start&Stopp Pop (199)
,6275,7075,17600,,,,,70,Fiat,Punto 1.3 JTD 16V Multijet Start&Stopp Sport (199)
4950,5550,16350,,,,,,51,Fiat,Punto 1.4 8V Natural Power Dynamic (199)
,5725,6425,15300,,,,,51,Fiat,Punto 1.4 8V Natural Power Pop (199)
7775,8475,9500,11200,12300,13550,28441,,94,Fiat,Scudo Kombi 130 Multijet DPF kurz (270)
4925,5425,15790,,,,,,88,Fiat,Sedici 1.6 16V Dynamic 4x2 (FY)
5700,6275,17590,,,,,,88,Fiat,Sedici 1.6 16V Dynamic 4x4 (FY)
6275,6950,21040,,,,,,99,Fiat,Sedici 2.0 JTD Multijet 16V Dynamic 4x4 (FY)
6025,6675,20140,,,,,,99,Fiat,Sedici 2.0 JTD Multijet 16V Emotion 4x2 (FY)
4650,5250,16065,,,,,,62,Fiat,Strada 1.3 JTD Multijet 16V kurze Kabine (278)
4800,5425,16482,,,,,,62,Fiat,Strada 1.3 JTD Multijet 16V lange Kabine (278)
,,,,,16600,18250,31154,70,Fiat,"""Talento Kombi L1H1 1"
,,,,,17500,19250,32820,92,Fiat,"(296)"""
,,,,,17850,19650,33475,92,Fiat,"(296)"""
,,,,,18300,20150,34308,92,Fiat,"(296)"""
,,,,,19000,20850,35557,107,Fiat,"Family (296)"""
,,,,,18500,20350,34665,107,Fiat,"(296)"""
,,,,,18950,20850,35498,107,Fiat,"(296)"""
,,,,,9675,10400,14990,70,Fiat,Tipo 1.4 16V Pop (356)
,,,,,13000,14000,19690,81,Fiat,Tipo 1.6 E-torQ Easy Automatik (356)
,,,,,11800,12700,17690,88,Fiat,Tipo 1.4 T-Jet Start&Stopp Easy (356)
,,,,,10400,11650,17450,70,Fiat,Tipo 1.3 Multijet Start&Stopp Pop (356)
,,,,,11500,12850,19690,88,Fiat,Tipo 1.6 Multijet Start&Stopp Easy (356)
,,,,,9175,9875,13990,70,Fiat,Tipo 1.4 16V Pop (356)
,,,,,12450,13400,18690,81,Fiat,Tipo 1.6 E-torQ Easy (356)
,,,,,10050,11000,16450,70,Fiat,Tipo 1.3 Multijet Pop (356)
,,,,,11400,12750,18650,88,Fiat,Tipo 1.6 Multijet Easy (356)
,,,,,10800,11600,15990,70,Fiat,Tipo Kombi 1.4 16V Pop (356)
,,,,,13800,14850,20690,81,Fiat,Tipo Kombi 1.6 E-torQ Easy Automatik (356)
,,,,,12550,13500,18690,88,Fiat,Tipo Kombi 1.4 T-Jet Start&Stopp Easy (356)
,,,,,11050,12350,18450,70,Fiat,Tipo Kombi 1.3 Multijet Start&Stopp Pop (356)
,,,,,12750,13600,20690,88,Fiat,Tipo Kombi 1.6 Multijet Start&Stopp Easy (356)
,6150,7025,7925,8900,15950,,,66,Ford,B-MAX 1.4 Ambiente (JK8)
,6850,7800,8650,9325,17900,,,74,Ford,B-MAX 1.0 EcoBoost Start/Stopp Trend (JK8)
,6950,7950,8950,10050,19050,,,77,Ford,B-MAX 1.6 Trend Powershift (JK8)
,7175,8175,18350,,,,,88,Ford,B-MAX 1.0 EcoBoost Start/Stopp Trend (JK8)
,,8300,9375,9900,18900,,,92,Ford,B-MAX 1.0 EcoBoost Start/Stopp Trend (JK8)
,,,,,12700,14250,21750,103,Ford,B-MAX 1.0 EcoBoost Start/Stopp Titanium (JK8)
,5650,6550,7400,8275,17450,,,55,Ford,B-MAX 1.5 TDCi Ambiente (JK8)
,6450,7450,8325,9325,19300,,,70,Ford,B-MAX 1.6 TDCi Trend (JK8)
,,,8675,9700,18990,,,63,Ford,B-MAX 1.4 LPG Trend (JK8)
5850,6525,7450,8350,9350,17850,,,63,Ford,C-MAX 1.6 Ti-VCT Ambiente (II)
,,,,9300,10450,11700,18250,63,Ford,C-MAX 1.6 Ti-VCT Ambiente (II)
,7325,8350,9350,10450,18950,,,74,Ford,C-MAX 1.0 EcoBoost Start/Stopp Ambiente (II)
,,,,10200,11400,12750,17900,74,Ford,C-MAX 1.0 EcoBoost Start/Stopp Ambiente (II)
6200,6900,7850,8800,18750,,,,77,Ford,C-MAX 1.6 Ti-VCT Ambiente (II)
7075,7875,9000,10100,21250,,,,88,Ford,C-MAX 1.6 Flexifuel Trend (II)
,8175,9350,10450,11700,21590,,,92,Ford,C-MAX 1.0 EcoBoost Start/Stopp Trend (II)
6550,7275,19850,,,,,,92,Ford,C-MAX 1.6 Flexifuel Ambiente (II)
,,,,11450,12800,14350,22750,92,Ford,C-MAX 1.0 EcoBoost Start/Stopp Trend (II)
7875,8750,9700,10850,12150,22840,,,110,Ford,C-MAX 1.6 EcoBoost Start/Stopp Trend (II)
,,,,12450,13950,15600,24000,110,Ford,C-MAX 1.5 EcoBoost Start/Stopp Trend (II)
6150,6900,7950,8900,10100,21050,,,70,Ford,C-MAX 1.6 TDCi Start/Stopp Ambiente (II)
,,,,10250,11450,12850,21850,70,Ford,C-MAX 1.5 TDCi Start/Stopp Ambiente (II)
,,,,11400,12750,14300,23950,77,Ford,C-MAX 1.5 TDCi ECOnetic Trend (II)
6775,7575,8725,9750,11050,23590,,,85,Ford,C-MAX 1.6 TDCi Start/Stopp Trend (II)
7175,8025,9250,10350,11700,25040,,,85,Ford,C-MAX 2.0 TDCi Trend Powershift (II)
,,,,11750,12650,14150,25000,88,Ford,C-MAX 1.5 TDCi Start/Stopp Trend (II)
7475,8375,9350,10500,11850,24440,,,103,Ford,C-MAX 2.0 TDCi Trend (II)
,,,,12500,14000,15700,26500,110,Ford,C-MAX 2.0 TDCi Start/Stopp Trend (II)
,,,,13850,15500,17350,29250,125,Ford,C-MAX 2.0 TDCi Start/Stopp Trend Powershift (II)
,,10600,11850,13300,25300,,,86,Ford,C-MAX 1.6 Ti-VCT LPG Trend (II)
,8825,10050,11250,12600,23870,,,86,Ford,C-MAX 1.6 LPG Trend (II)
,8050,9150,10250,11500,20450,,,74,Ford,Grand C-MAX 1.0 EcoBoost Start/Stopp Ambiente (II)
,,,,11100,12450,13950,19400,74,Ford,Grand C-MAX 1.0 EcoBoost Start/Stopp Ambiente (II)
6925,7700,8800,9850,20250,,,,77,Ford,Grand C-MAX 1.6 Ti-VCT Ambiente (II)
,8350,9525,10650,11950,21450,,,92,Ford,Grand C-MAX 1.0 EcoBoost Start/Stopp Ambiente (II)
7275,8050,9175,10300,21250,,,,92,Ford,Grand C-MAX 1.6 Ti-VCT Ambiente (II)
,,,,11550,12950,14500,22250,92,Ford,Grand C-MAX 1.0 EcoBoost Start/Stopp Ambiente (II)
8625,9575,10600,11850,13300,24270,,,110,Ford,Grand C-MAX 1.6 EcoBoost Start/Stopp Trend (II)
,,,,13450,15050,16850,25500,110,Ford,Grand C-MAX 1.5 EcoBoost Start/Stopp Trend (II)
,10600,11700,26470,,,,,134,Ford,"Edition (II)"""
,,,,15600,17450,19550,30750,134,Ford,"Automatik (II)"""
6700,7500,8625,9650,10950,22550,,,70,Ford,Grand C-MAX 1.6 TDCi Start/Stopp Ambiente (II)
,,,,11100,12450,13950,23350,70,Ford,Grand C-MAX 1.5 TDCi Start/Stopp Ambiente (II)
7000,7850,9025,10100,11450,23550,,,85,Ford,Grand C-MAX 1.6 TDCi Start/Stopp Ambiente (II)
7750,8675,9975,11200,12650,26470,,,85,Ford,Grand C-MAX 2.0 TDCi Trend Powershift (II)
,,,,12550,13600,15250,26500,88,Ford,Grand C-MAX 1.5 TDCi Start/Stopp Trend (II)
8100,9025,10100,11300,12800,25870,,,103,Ford,Grand C-MAX 2.0 TDCi Trend (II)
,,,,13400,14850,16650,28000,110,Ford,Grand C-MAX 2.0 TDCi Start/Stopp Trend (II)
,,,,14750,16500,18500,30750,125,Ford,Grand C-MAX 2.0 TDCi Start/Stopp Trend Powershift (II) 5
,,8125,9175,10300,11500,20349,,70,Ford,Transit Connect 220 L1 1.6 TDCi
,,8900,10050,11250,12600,22253,,70,Ford,Transit Connect 230 L2 1.6 TDCi
,,,,11200,12550,21926,,74,Ford,Transit Connect 220 L1 1.5 TDCi
,,,,11900,13300,14900,23711,74,Ford,Transit Connect 230 L2 1.5 TDCi
,,8875,10050,11250,12600,22670,,85,Ford,Transit Connect 220 L1 1.6 TDCi Trend (PJ2)
,,,10900,12200,13650,24574,,85,Ford,Transit Connect 230 L2 1.6 TDCi Trend (PJ2)
,,,,13000,14550,16300,26150,88,Ford,"(PJ2)"""
,,,7800,8750,9775,15101,,74,Ford,Transit Courier Kombi 1.0 EcoBoost (JU2)
,,,7175,8025,9000,16053,,55,Ford,Transit Courier Kombi 1.5 TDCi (JU2)
,,,8175,9150,10250,16850,,70,Ford,Transit Courier Kombi 1.6 TDCi (JU2)
,,,,,28350,,53074,77,Ford,"Aufstelldach (FAC/FAD)"""
,,21200,23500,25850,28400,53074,,92,Ford,"Aufstelldach (FAC/FAD)"""
,,,,,29200,,54681,96,Ford,"Aufstelldach (FAC/FAD)"""
,,22000,24400,26850,29500,55097,,114,Ford,"Aufstelldach (FAC/FAD)"""
,,,,,30650,,57299,125,Ford,"Aufstelldach (FAC/FAD)"""
,,,8700,9925,17990,,,82,Ford,EcoSport 1.5 Ti-VCT Trend (JK8)
,,,8650,9850,11250,12400,19390,92,Ford,EcoSport 1.0 EcoBoost Trend (JK8)
,,,,,,11900,19840,92,Ford,EcoSport 1.0 EcoBoost Trend (JK8)
,,,,,12650,14150,21940,103,Ford,EcoSport 1.0 EcoBoost Titanium (JK8)
,,,,,,15150,22990,103,Ford,EcoSport 1.0 EcoBoost Titanium (JK8)
,,,8525,9700,19990,,,66,Ford,EcoSport 1.5 TDCi Trend (JK8)
,,,,9825,11200,12550,20640,70,Ford,EcoSport 1.5 TDCi Trend (JK8)
,,,,,,13750,21090,74,Ford,EcoSport 1.5 EcoBlue Trend (JK8)
,,,,,,16050,24340,92,Ford,EcoSport 1.5 EcoBlue Trend Allrad (JK8)
,,,,21000,23700,25650,41900,132,Ford,Edge 2.0 TDCi Start/Stopp Trend 4x4 (SBF)
,,,,24950,28450,31350,49500,154,Ford,"Powershift (SBF)"""
,4300,4850,5325,5975,10950,,,44,Ford,Fiesta 1.25 Ambiente (VII)
,4600,5150,12220,,,,,48,Ford,Fiesta 1.0 Ambiente (VII)
,4675,5225,5775,6500,12620,,,48,Ford,Fiesta 1.0 Start/Stopp Ambiente (VII)
,5200,5825,6425,7225,14000,,,59,Ford,Fiesta 1.0 Start/Stopp Trend (VII)
,5100,5725,6325,7100,13800,,,59,Ford,Fiesta 1.0 Trend (VII)
,5100,5750,6350,7075,13600,,,60,Ford,Fiesta 1.25 Trend (VII)
,5850,6550,7275,8100,15100,,,74,Ford,Fiesta 1.0 EcoBoost Trend (VII)
,6650,7450,17305,,,,,77,Ford,Fiesta 1.6 Ti-VCT Trend Powershift (VII)
,6950,7800,8575,9500,18000,,,92,Ford,Fiesta 1.0 EcoBoost Start/Stopp Titanium (VII)
,,,9100,10050,18900,,,103,Ford,Fiesta 1.0 EcoBoost Start/Stopp Sport (VII)
4100,4700,13845,,,,,,51,Ford,Fiesta 1.4 TDCi Ambiente (VII)
,5000,5650,6250,6950,14365,,,55,Ford,Fiesta 1.5 TDCi Ambiente (VII)
,,,,6975,7800,8825,14765,55,Ford,Fiesta 1.5 TDCi Start/Stopp Ambiente (VII)
4750,5425,15825,,,,,,70,Ford,Fiesta 1.6 TDCi ECOnetic Trend (VII)
4550,5275,15700,,,,,,70,Ford,Fiesta 1.6 TDCi Trend (VII)
,,,,8075,9050,10150,17195,70,Ford,Fiesta 1.6 TDCi ECOnetic Trend (VII)
,5425,6125,6775,7525,15995,,,70,Ford,Fiesta 1.6 TDCi Trend (VII)
,6325,6975,7650,8375,16290,,,68,Ford,Fiesta 1.4 LPG Trend
,,9550,10500,11400,20390,,,134,Ford,Fiesta ST (VII) ST
,,,,,14550,16450,24840,147,Ford,Fiesta ST200 (VII) ST
,,,,,,9075,12950,52,Ford,Fiesta 1.1 Start/Stopp Trend (VIII)
,,,,,,9825,14000,63,Ford,Fiesta 1.1 Start/Stopp Trend (VIII)
,,,,,,10600,15100,74,Ford,Fiesta 1.0 EcoBoost Start/Stopp Trend (VIII)
,,,,,,14150,20200,92,Ford,Fiesta 1.0 EcoBoost Start/Stopp Titanium (VIII)
,,,,,,14650,20900,103,Ford,Fiesta 1.0 EcoBoost Start/Stopp ST-Line (VIII)
,,,,,,10900,15800,63,Ford,Fiesta 1.5 TDCi Start/Stopp Trend (VIII)
,,,,,,14050,20800,88,Ford,Fiesta 1.5 TDCi Start/Stopp Titanium (VIII)
5800,6300,6825,7425,16450,,,,63,Ford,Focus 1.6 Ti-VCT Ambiente (III)
,,,7725,8300,9075,10150,16450,63,Ford,Focus 1.6 Ti-VCT Ambiente (III)
,,,8900,19870,,,,74,Ford,Focus 1.0 EcoBoost 99g Start/Stopp Trend (III)
,6750,7300,7925,17550,,,,74,Ford,Focus 1.0 EcoBoost Start/Stopp Ambiente (III)
,,,9650,10400,11550,12950,20750,74,Ford,Focus 1.0 EcoBoost 99g Start/Stopp Trend (III)
,,,8550,9100,10150,11350,17960,74,Ford,Focus 1.0 EcoBoost Start/Stopp Ambiente (III)
6100,6625,17850,,,,,,77,Ford,Focus 1.6 Ti-VCT Ambiente (III)
6850,7425,20250,,,,,,88,Ford,Focus 1.6 Ti-VCT Flexifuel Trend (III)
,7725,8350,9075,20520,,,,92,Ford,Focus 1.0 EcoBoost Start/Stopp Trend (III)
7075,7725,8350,9075,21870,,,,92,Ford,Focus 1.6 Ti-VCT Trend (III)
,,,9475,10150,11300,12650,21700,92,Ford,Focus 1.0 EcoBoost Start/Stopp Trend (III)
,,,,,,13100,24600,103,Ford,Focus 1.0 EcoBoost Start/Stopp ST-Line (III)
7625,8225,8875,9750,21770,,,,110,Ford,Focus 1.6 EcoBoost Start/Stopp Trend (III)
,,,9925,22020,,,,110,Ford,Focus 1.6 Flexifuel Trend (III)
,,,,,,14600,24050,110,Ford,Focus 1.5 EcoBoost Start/Stopp Cool & Connect (III)
8625,9375,10150,11050,25120,,,,134,Ford,Focus 1.6 EcoBoost Start/Stopp Titanium (III)
,,,,,14550,15650,26750,134,Ford,Focus 1.5 EcoBoost Start/Stopp ST-Line (III)
,5875,6475,7050,19350,,,,70,Ford,Focus 1.6 TDCi Ambiente (III)
5550,6000,6650,7200,19650,,,,70,Ford,Focus 1.6 TDCi Start/Stopp Ambiente (III)
,,,8200,9125,20800,,,70,Ford,Focus 1.5 TDCi Start/Stopp Ambiente (III)
,6875,7600,8350,23015,,,,77,Ford,Focus 1.6 TDCi ECOnetic 88g Trend (III)
,7425,8200,9000,24820,,,,77,Ford,Focus 1.6 TDCi ECOnetic 99g Trend (III)
,,,9050,10050,10650,11950,23700,77,Ford,Focus 1.5 TDCi ECOnetic Trend (III)
6350,6875,7825,8500,22520,,,,85,Ford,Focus 1.6 TDCi Start/Stopp Trend (III)
,6750,7650,8325,22220,,,,85,Ford,Focus 1.6 TDCi Trend (III)
6725,7275,7925,8700,23970,,,,85,Ford,Focus 2.0 TDCi Trend Powershift (III)
,,,9250,10350,10900,12200,23950,88,Ford,Focus 1.5 TDCi Start/Stopp Trend (III)
6675,7275,8175,8950,23370,,,,103,Ford,Focus 2.0 TDCi Trend (III)
,,,,,,14750,26650,110,Ford,Focus 2.0 TDCi Start/Stopp Cool & Connect (III)
7500,8225,9125,9950,26470,,,,120,Ford,Focus 2.0 TDCi Titanium (III)
,,13900,15200,16700,39990,,,107,Ford,Focus Electric (III)
,,,,,,23000,34900,107,Ford,Focus Electric (III)
,8125,8925,9750,23070,,,,86,Ford,Focus 1.6 Ti-VCT LPG Trend
,,,10400,11500,12700,14200,23650,86,Ford,Focus 1.6 LPG Trend (III)
,6450,7000,7625,16950,,,,63,Ford,Focus 1.6 Ti-VCT Ambiente (III)
,,,7900,8500,9475,10600,17360,63,Ford,Focus 1.6 Ti-VCT Ambiente (III)
,6700,7275,7925,18050,,,,74,Ford,Focus 1.0 EcoBoost Start/Stopp Ambiente (III)
,,,8675,9250,10300,11500,18460,74,Ford,Focus 1.0 EcoBoost Start/Stopp Ambiente (III)
6100,6625,18350,,,,,,77,Ford,Focus 1.6 Ti-VCT Ambiente (III)
6825,7400,20750,,,,,,88,Ford,Focus 1.6 Ti-VCT Flexifuel Trend (III)
,7700,8325,9025,21020,,,,92,Ford,Focus 1.0 EcoBoost Start/Stopp Trend (III)
7050,7675,8275,9000,22370,,,,92,Ford,Focus 1.6 Ti-VCT Trend (III)
,,,9550,10250,11350,12750,21900,92,Ford,Focus 1.0 EcoBoost Start/Stopp Trend (III)
7600,8200,8800,9675,22270,,,,110,Ford,Focus 1.6 EcoBoost Start/Stopp Trend (III)
,,,9950,22520,,,,110,Ford,Focus 1.6 Flexifuel Trend (III)
,,,11200,12050,13300,14850,24500,110,Ford,Focus 1.5 EcoBoost Start/Stopp Business Edition (III)
8575,9325,10100,11000,25620,,,,134,Ford,Focus 1.6 EcoBoost Start/Stopp Titanium (III)
,,,12600,13550,14800,15900,26950,134,Ford,Focus 1.5 EcoBoost Start/Stopp Titanium (III)
,5850,6475,6975,19850,,,,70,Ford,Focus 1.6 TDCi Ambiente (III)
5525,6000,6625,7150,20150,,,,70,Ford,Focus 1.6 TDCi Start/Stopp Ambiente (III)
,,,8400,9300,9825,11000,21710,70,Ford,Focus 1.5 TDCi Start/Stopp Ambiente (III)
,,,8250,9225,21300,,,70,Ford,Focus 1.6 TDCi Start/Stopp Ambiente (III)
6325,6850,7775,8525,23020,,,,85,Ford,Focus 1.6 TDCi Start/Stopp Trend (III)
,6700,7625,8325,22720,,,,85,Ford,Focus 1.6 TDCi Trend (III)
6675,7225,7900,8650,24470,,,,85,Ford,Focus 2.0 TDCi Trend Powershift (III)
,,,9050,10100,22950,,,85,Ford,Focus 1.6 TDCi Start/Stopp Trend (III)
,,,9300,10400,10950,12300,24150,88,Ford,Focus 1.5 TDCi Start/Stopp Trend (III)
6725,7325,8075,8875,23870,,,,103,Ford,Focus 2.0 TDCi Trend (III)
,,,10850,12150,13350,14950,27100,110,Ford,Focus 2.0 TDCi Start/Stopp Business Edition (III)
7450,8175,9050,9875,26970,,,,120,Ford,Focus 2.0 TDCi Titanium (III)
,6775,7350,8025,17250,,,,63,Ford,Focus Turnier 1.6 Ti-VCT Ambiente (III)
,,,8400,8975,10000,11200,17660,63,Ford,Focus Turnier 1.6 Ti-VCT Ambiente (III)
,7200,7800,8475,18350,,,,74,Ford,Focus Turnier 1.0 EcoBoost Start/Stopp Ambiente (III)
,,,9225,9775,10600,11400,18760,74,Ford,Focus Turnier 1.0 EcoBoost Start/Stopp Ambiente (III)
6400,6950,18650,,,,,,77,Ford,Focus Turnier 1.6 Ti-VCT Ambiente (III)
7325,7925,21050,,,,,,88,Ford,Focus Turnier 1.6 Ti-VCT Flexifuel Trend (III)
,8175,8850,9625,21320,,,,92,Ford,Focus Turnier 1.0 EcoBoost Start/Stopp Trend (III)
7550,8250,8875,9650,22670,,,,92,Ford,Focus Turnier 1.6 Ti-VCT Trend (III)
,,,9825,10500,12050,13500,22200,92,Ford,Focus Turnier 1.0 EcoBoost Start/Stopp Trend (III)
,,,,,,13950,25400,103,Ford,Focus Turnier 1.0 EcoBoost Start/Stopp ST-Line (III)
8100,8750,9425,10350,22570,,,,110,Ford,Focus Turnier 1.6 EcoBoost Start/Stopp Trend (III)
,,,10550,22820,,,,110,Ford,Focus Turnier 1.6 Flexifuel Trend (III)
,,,,,,14500,24850,110,Ford,"Connect (III)"""
9150,9950,10850,11750,25920,,,,134,Ford,Focus Turnier 1.6 EcoBoost Start/Stopp Titanium (III)
,,,,,15400,16550,27550,134,Ford,Focus Turnier 1.5 EcoBoost Start/Stopp ST-Line (III)
,6150,6850,7450,20150,,,,70,Ford,Focus Turnier 1.6 TDCi Ambiente (III)
5800,6300,7000,7625,20450,,,,70,Ford,Focus Turnier 1.6 TDCi Start/Stopp Ambiente (III)
,,,8300,9175,10100,11350,22010,70,Ford,Focus Turnier 1.5 TDCi Start/Stopp Ambiente (III)
,7325,8025,8800,23815,,,,77,Ford,Focus Turnier 1.6 TDCi ECOnetic 88g Trend (III)
,7150,7850,8625,23315,,,,77,Ford,Focus Turnier 1.6 TDCi ECOnetic 99g Trend (III)
,,,9175,10200,10800,12100,24500,77,Ford,Focus Turnier 1.5 TDCi ECOnetic Trend (III)
6825,7400,8200,8950,23320,,,,85,Ford,Focus Turnier 1.6 TDCi Start/Stopp Trend (III)
,7225,8025,8750,23020,,,,85,Ford,Focus Turnier 1.6 TDCi Trend (III)
7125,7725,8500,9275,24770,,,,85,Ford,Focus Turnier 2.0 TDCi Trend Powershift (III)
,,,9150,10150,23250,,,85,Ford,Focus Turnier 1.6 TDCi Start/Stopp Trend (III)
,,,9375,10450,11050,12350,24750,88,Ford,Focus Turnier 1.5 TDCi Start/Stopp Trend (III)
7175,7825,8575,9400,24170,,,,103,Ford,Focus Turnier 2.0 TDCi Trend (III)
,,,,,,14900,27450,110,Ford,Focus Turnier 2.0 TDCi Start/Stopp Cool & Connect (III)
7950,8700,9650,10500,27270,,,,120,Ford,Focus Turnier 2.0 TDCi Titanium (III)
,8650,9425,10300,23870,,,,86,Ford,Focus Turnier 1.6 Ti-VCT LPG Trend
,,,11100,12250,13500,15150,24450,86,Ford,Focus Turnier 1.6 LPG Trend
,,,,26550,29900,32150,40975,257,Ford,Focus RS (III) RS
,13250,14250,15350,28250,,,,184,Ford,Focus ST (III) ST
,,,14300,15750,17250,19300,30700,136,Ford,Focus ST 2.0 TDCi Start/Stopp
,13700,14750,15900,29200,,,,184,Ford,Focus Turnier ST (III) ST
,,,16250,17700,19000,20400,30850,184,Ford,Focus Turnier ST 2.0 EcoBoost Start/Stopp
,,,14800,16250,17800,19500,31650,136,Ford,Focus Turnier ST 2.0 TDCi Start/Stopp
8400,9400,10850,30950,,,,,85,Ford,Galaxy 1.6 TDCi Ambiente (II)
9725,10850,12550,14200,15900,33550,,,120,Ford,Galaxy 2.0 TDCi Trend (II)
,,,,16600,18600,20850,33300,118,Ford,Galaxy 1.5 EcoBoost Start/Stopp Trend (III)
,,,,18450,20650,36810,,177,Ford,Galaxy 2.0 EcoBoost Start/Stopp Trend Automatik (III)
,,,,16700,18700,20950,34800,88,Ford,Galaxy 2.0 TDCi Start/Stopp Trend (III)
,,,,17250,18950,21200,36300,110,Ford,Galaxy 2.0 TDCi Start/Stopp Trend (III)
,,,,17800,19550,37360,,110,Ford,Galaxy 2.0 TDCi Start/Stopp Trend Allrad (III)
,,,,18000,19750,22100,37800,132,Ford,Galaxy 2.0 TDCi Start/Stopp Trend (III)
,,,,19650,21600,40860,,132,Ford,Galaxy 2.0 TDCi Start/Stopp Trend Allrad Powershift (III)
,,,,22150,24300,27250,45250,154,Ford,"Powershift (III)"""
3900,4250,4825,11600,,,,,55,Ford,Ka 1.3 TDCi Start/Stopp Trend (II)
,,,,,6425,7200,9990,51,Ford,Ka+ 1.2 Ti-VCT (KAF)
,,,,,7325,8225,11600,63,Ford,Ka+ 1.2 Ti-VCT Cool&Sound (KAF)
8500,9350,10350,27700,,,,,103,Ford,Kuga 2.0 TDCi DPF Trend 2x4 (I)
9000,9900,10950,29700,,,,,103,Ford,Kuga 2.0 TDCi DPF Trend 4x4 (I)
