,model,kw,mark,new,2018,2017,2016,2015,2014,2013,2012
49,MiTo 1.4 8V Impression (955),51,Alfa Romeo,14100,,,,,6350,5675,
50,MiTo 1.4 8V Impression (955),57,Alfa Romeo,14400,,,8300,6975,6550,,
51,MiTo 1.4 8V Urban (955),57,Alfa Romeo,15500,10600,,,,,,
52,MiTo 1.4 8V Junior (955),58,Alfa Romeo,15200,,,,,6875,6200,
53,MiTo 0.9 8V MultiAir Turismo (955),62,Alfa Romeo,16950,,,,,,6700,5950
54,MiTo 0.9 8V TwinAir Junior (955),77,Alfa Romeo,16450,,,,,7150,6525,
55,MiTo 0.9 8V TwinAir Impression (955),77,Alfa Romeo,16000,,,,7700,6950,,
56,MiTo 0.9 8V Turbo TwinAir Urban (955),77,Alfa Romeo,17500,11900,,,,,,
57,MiTo 1.4 TB 16V MultiAir Turismo TCT (955),103,Alfa Romeo,21500,,,,10150,9075,,
58,MiTo 1.4 TB 16V MultiAir Urban TCT (955),103,Alfa Romeo,21000,13800,,,,,,
59,MiTo 1.4 TB 16V MultiAir Veloce TCT (955),125,Alfa Romeo,24000,15800,14150,12600,,,,
60,MiTo 1.3 JTDM 16V Eco  (955),62,Alfa Romeo,16950,,,,,,6175,5350
61,MiTo 1.3 JTDM 16V Eco Impression (955),62,Alfa Romeo,17500,,,,7975,7125,,
62,MiTo 1.3 JTDM 16V Urban (955),70,Alfa Romeo,17500,11400,,,,,,
63,MiTo 1.6 JTDM 16V Turismo (955),88,Alfa Romeo,21000,,,,8875,7925,6900,6075
64,MiTo Quadrifoglio  (955),125,Alfa Romeo,21800,,,,,9025,8050,7050
65,Stelvio 2.0 Turbo 16V Q4 AT8 (949),147,Alfa Romeo,42200,27850,24850,,,,,
66,Stelvio 2.0 Turbo 16V Super Q4 AT8 (949),206,Alfa Romeo,50000,33850,30200,,,,,
67,Stelvio 2.2 Diesel AT8 (949),110,Alfa Romeo,39800,27000,23800,,,,,
68,Stelvio 2.2 Diesel AT8 (949),118,Alfa Romeo,41000,27800,,,,,,
69,Stelvio 2.2 Diesel Super AT8 (949),132,Alfa Romeo,44200,29500,26300,,,,,
70,Stelvio 2.2 Diesel Super Q4 AT8 (949),132,Alfa Romeo,47000,31350,28000,,,,,
71,Stelvio 2.2 Diesel Super AT8 (949),140,Alfa Romeo,46000,30750,,,,,,
72,Stelvio 2.2 Diesel Super Q4 AT8 (949),140,Alfa Romeo,48500,32400,,,,,,
73,Stelvio 2.2 Diesel Super Q4 AT8 (949),154,Alfa Romeo,48500,31650,28850,,,,,
74,Stelvio Quadrifoglio Q4 AT8 (949),375,Alfa Romeo,89000,61950,52750,,,,,
75,B3 Bi-Turbo Allrad Switch-Tronic (F30),301,ALPINA,69200,,,,39550,35350,31250,
76,B3 Bi-Turbo Switch-Tronic (F30),301,ALPINA,66300,,,,37900,33850,29900,
77,B3 Bi-Turbo Allrad Switch-Tronic (F30),301,ALPINA,70800,,53750,47950,42850,,,
78,B3 Bi-Turbo Switch-Tronic (F30),301,ALPINA,67900,,51500,45950,41050,,,
79,B3 S Bi-Turbo Allrad Switch-Tronic (F30),324,ALPINA,75800,64350,57450,,,,,
80,B3 S Bi-Turbo Switch-Tronic (F30),324,ALPINA,72900,61900,55250,,,,,
81,D3 Bi-Turbo Switch-Tronic (F30),257,ALPINA,56300,,,,33300,29400,26000,
82,D3 Bi-Turbo Switch-Tronic (F30),257,ALPINA,58600,48300,42250,37750,33700,,,
83,B3 Bi-Turbo Touring Allrad Switch-Tronic (F31),301,ALPINA,71000,,,,40600,36250,32100,
84,B3 Bi-Turbo Touring Switch-Tronic (F31),301,ALPINA,68100,,,,38950,34750,30750,
85,B3 Bi-Turbo Touring Allrad Switch-Tronic (F31),301,ALPINA,72600,,55100,49200,43950,,,
86,B3 Bi-Turbo Touring Switch-Tronic (F31),301,ALPINA,69700,,52900,47250,42200,,,
87,B3 S Bi-Turbo Touring Allrad Switch-Tronic (F31),324,ALPINA,77600,65900,58850,,,,,
88,B3 S Bi-Turbo Touring Switch-Tronic (F31),324,ALPINA,74700,63450,56650,,,,,
89,D3 Bi-Turbo Touring Allrad Switch-Tronic (F31),257,ALPINA,61600,,,,36450,32200,28450,
90,D3 Bi-Turbo Touring Switch-Tronic (F31),257,ALPINA,58100,,,,34400,30400,26850,
91,D3 Bi-Turbo Touring Allrad Switch-Tronic (F31),257,ALPINA,63900,56500,46100,41200,36750,,,
92,D3 Bi-Turbo Touring Switch-Tronic (F31),257,ALPINA,60400,53400,43600,38950,34750,,,
93,B4 Bi-Turbo Coupé Allrad Switch-Tronic (F32),301,ALPINA,72700,52250,47550,42200,38450,34700,,
94,B4 Bi-Turbo Coupé Switch-Tronic (F32),301,ALPINA,69800,50500,46000,40800,37200,33550,,
95,B4 S Bi-Turbo Coupé Allrad Switch-Tronic (F32),324,ALPINA,78200,57350,52200,,,,,
96,B4 S Bi-Turbo Coupé Switch-Tronic (F32),324,ALPINA,75300,55650,50650,,,,,
97,D4 Bi-Turbo Coupé Switch-Tronic (F32),257,ALPINA,61200,40000,36100,32650,29150,26000,,
98,B4 Bi-Turbo Cabrio Switch-Tronic (F33),301,ALPINA,75900,54150,49300,44000,40100,36300,,
99,B4 S Bi-Turbo Cabrio Switch-Tronic (F33),324,ALPINA,81400,59050,53750,,,,,
100,D4 Bi-Turbo Cabrio Switch-Tronic (F33),257,ALPINA,69500,45450,41000,35750,31900,28850,,
101,B5 Bi-Turbo Switch-Tronic (F10),397,ALPINA,99200,,,,,,30550,26900
102,B5 Bi-Turbo Switch-Tronic (F10),441,ALPINA,108600,,60700,53650,47900,,,
103,D5 Bi-Turbo Switch-Tronic (F10),257,ALPINA,70950,,,,,26350,22500,
104,B5 Bi-Turbo Touring Switch-Tronic (F11),397,ALPINA,102520,,,,,36950,32200,
105,B5 Bi-Turbo Touring Switch-Tronic (F11),441,ALPINA,111900,,62500,55250,49350,,,
106,D5 Bi-Turbo Touring Switch-Tronic (F11),257,ALPINA,74350,,,,,27600,23600,
107,B5 Bi-Turbo Allrad Switch-Tronic (G30),447,ALPINA,112000,82000,76400,,,,,
108,D5 S Allrad Switch-Tronic (G30),285,ALPINA,87900,63200,55850,,,,,
109,B5 Bi-Turbo Touring Allrad Switch-Tronic (G31),447,ALPINA,115300,84400,78650,,,,,
110,D5 S Touring Allrad Switch-Tronic (G31),285,ALPINA,90400,65900,58250,,,,,
111,B6 Bi-Turbo Gran Coupé Allrad Switch-Tronic (F06),397,ALPINA,126500,,,,54550,48900,,
112,B6 Bi-Turbo Gran Coupé Allrad Switch-Tronic (F06),441,ALPINA,135800,85250,79200,70700,60650,,,
113,B6 Bi-Turbo Cabriolet Switch-Tronic (F12),397,ALPINA,130800,,,,,51950,45350,39950
114,B6 Bi-Turbo Cabriolet Edition 50 Switch-Tronic (F12),441,ALPINA,142400,,,76850,68600,,,
115,B6 Bi-Turbo Coupé Switch-Tronic (F13),397,ALPINA,122800,,,,,47600,40950,35900
116,B6 Bi-Turbo Coupé Edition 50 Switch-Tronic (F13),441,ALPINA,133800,,,71500,63850,,,
117,B7 Bi-Turbo Allrad Switch-Tronic (F01/F02),397,ALPINA,134600,,,,,45650,38450,32850
118,B7 Bi-Turbo Switch-Tronic (F01/F02),397,ALPINA,130000,,,,,44100,37100,31750
119,B7 Bi-Turbo Langversion Allrad Switch-Tronic (G12),447,ALPINA,149400,90500,79150,70050,,,,
120,XD3 Bi-Turbo Switch-Tronic (F25),257,ALPINA,69100,,,,39650,35650,30550,
121,A1 1.0 TFSI ultra  (8X),60,Audi,16250,11850,10600,9450,,,,
122,A1 1.2 TFSI Attraction (8X),63,Audi,16750,,,,,9200,8150,7475
123,A1 1.0 TFSI ultra  (8X),70,Audi,17750,12700,11350,10650,9525,,,
124,A1 1.4 TFSI 119g Attraction S tronic  (8X),90,Audi,20800,,,,,10700,9575,8800
125,A1 1.4 TFSI Attraction (8X),90,Audi,19200,,,,,9850,8825,8100
126,A1 1.4 TFSI  (8X),92,Audi,20050,14600,13050,11650,10100,8975,,
127,A1 1.4 TFSI cod Attraction (8X),103,Audi,20400,,,,,10450,9350,
128,A1 1.4 TFSI cod  (8X),110,Audi,23500,16250,14550,12950,11250,10000,,
129,A1 1.4 TFSI Ambition S tronic  (8X),136,Audi,24950,,,,,12900,11350,10400
130,A1 1.8 TFSI sport S tronic (8X),141,Audi,26650,19000,16950,15750,14050,12550,,
131,A1 1.6 TDI Attraction (8X),66,Audi,18900,,,,,8625,7625,6900
132,A1 1.4 TDI  (8X),66,Audi,19950,12700,11350,10150,9050,8025,,
133,A1 1.6 TDI Attraction (8X),77,Audi,19800,,,,,8850,7825,7100
134,A1 1.6 TDI  (8X),85,Audi,21050,13550,12100,10800,9650,8575,,
135,A1 2.0 TDI Ambition (8X),105,Audi,22900,,,,,10450,9250,8400
136,A1 Sportback 1.0 TFSI ultra  (8X),60,Audi,17100,12450,11150,9950,,,,
137,A1 Sportback 1.2 TFSI Attraction (8X),63,Audi,17600,,,,,9675,8575,7875
138,A1 Sportback 1.0 TFSI ultra  (8X),70,Audi,18600,13350,11900,11200,10000,,,
139,A1 Sportback 1.4 TFSI Attraction (8X),90,Audi,20050,,,,,10300,9225,8475
140,A1 Sportback 1.4 TFSI  (8X),92,Audi,20900,15250,13600,12150,10550,9375,,
141,A1 Sportback 1.4 TFSI cod Attraction (8X),103,Audi,21250,,,,,10900,9725,
142,A1 Sportback 1.4 TFSI cod  (8X),110,Audi,24350,16900,15100,13500,11700,10400,,
143,A1 Sportback 1.4 TFSI Ambition S tronic  (8X),136,Audi,25800,,,,,13350,11800,10800
144,A1 Sportback 1.8 TFSI sport S tronic (8X),141,Audi,27500,19800,17700,16300,14550,12950,,
145,A1 Sportback 1.6 TDI Attraction (8X),66,Audi,19750,,,,,9000,7950,7200
146,A1 Sportback 1.4 TDI  (8X),66,Audi,20800,13250,11850,10600,9450,8375,,
147,A1 Sportback 1.6 TDI Attraction (8X),77,Audi,20650,,,,,9225,8150,7400
148,A1 Sportback 1.6 TDI  (8X),85,Audi,21900,14150,12600,11250,10050,8950,,
149,A1 Sportback 2.0 TDI Ambition (8X),105,Audi,23750,,,,,10850,9600,8700
150,A1 Sportback 30 TFSI  (GB),85,Audi,21150,15300,,,,,,
151,A1 Sportback 35 TFSI S tronic (GB),110,Audi,25050,18100,,,,,,
152,A1 Sportback 40 TFSI S line S tronic (GB),147,Audi,29100,21050,,,,,,
153,S1  (8X),170,Audi,30700,23650,21100,18850,16850,15000,,
154,S1 Sportback  (8X),170,Audi,31550,24300,21700,19400,17300,15450,,
155,A3 Cabriolet 1.2 TFSI Attraction (8P),77,Audi,25500,,,,,,11000,10050
156,A3 Cabriolet 1.4 TFSI Attraction (8P),92,Audi,27150,,,,,,11400,10450
157,A3 Cabriolet 1.6 TDI Attraction (8P),77,Audi,29000,,,,,,9750,8650
158,A3 1.2 TFSI Attraction (8V),77,Audi,21900,,,,,10900,10300,
159,A3 1.2 TFSI Attraction (8V),81,Audi,22800,,,12350,11550,10950,,
160,A3 1.0 TFSI  (8V),85,Audi,23750,,13350,12150,,,,
161,A3 1.4 TFSI Attraction (8V),90,Audi,22800,,,,,11650,10950,10200
162,A3 1.4 TFSI Attraction (8V),92,Audi,23700,,,13350,12150,11350,,
163,A3 1.4 TFSI cod ultra Attraction (8V),110,Audi,24950,,,13900,12750,11900,,
164,A3 1.4 TFSI cod ultra  (8V),110,Audi,25000,,15400,13900,,,,
165,A3 1.5 TFSI cod  (8V),110,Audi,25700,,15800,,,,,
166,A3 1.8 TFSI Attraction (8V),132,Audi,25900,,,,,,12000,11100
167,A3 1.8 TFSI Attraction quattro S tronic (8V),132,Audi,29750,,,,,,13600,12550
168,A3 2.0 TFSI sport quattro S tronic  (8V),140,Audi,34250,,20850,18600,,,,
169,A3 1.6 TDI Attraction (8V),77,Audi,24800,,,,,9825,8975,8025
170,A3 1.6 TDI Attraction (8V),81,Audi,25700,,,11500,10500,9725,,
171,A3 1.6 TDI  (8V),81,Audi,25950,,13550,12200,,,,
172,A3 1.6 TDI  (8V),85,Audi,26650,,13900,,,,,
173,A3 2.0 TDI Attraction (8V),110,Audi,26600,,,,,11050,9875,8950
174,A3 2.0 TDI Attraction quattro (8V),110,Audi,28550,,,,,11700,10450,9475
175,A3 2.0 TDI  (8V),110,Audi,28850,,15850,14150,,,,
176,A3 2.0 TDI quattro (8V),110,Audi,30850,,16800,15000,,,,
177,A3 2.0 TDI Attraction (8V),135,Audi,29800,,,14650,13400,12550,11550,
178,A3 2.0 TDI Attraction quattro S tronic (8V),135,Audi,33650,,,16350,14950,14000,12900,
179,A3 2.0 TDI sport quattro S tronic (8V),135,Audi,36600,,21150,18500,,,,
180,A3 Sportback 1.2 TFSI Attraction (8V),77,Audi,22800,,,,,11600,11000,
181,A3 Sportback 1.2 TFSI Attraction (8V),81,Audi,23700,,,13250,12400,11750,,
182,A3 Sportback 1.0 TFSI  (8V),85,Audi,25350,16000,14250,13000,,,,
183,A3 Sportback 30 TFSI  (8V),85,Audi,26700,16650,,,,,,
184,A3 Sportback 1.4 TFSI Attraction (8V),90,Audi,23700,,,,,12000,11250,10500
185,A3 Sportback 1.4 TFSI Attraction (8V),92,Audi,24600,,,14300,13000,12150,,
186,A3 Sportback 1.4 TFSI cod ultra Attraction (8V),110,Audi,25850,,,15350,14050,13050,,
187,A3 Sportback 1.4 TFSI cod ultra  (8V),110,Audi,25900,,16900,15550,,,,
188,A3 Sportback 1.5 TFSI cod  (8V),110,Audi,27300,18300,16650,,,,,
189,A3 Sportback 35 TFSI  (8V),110,Audi,27800,18650,,,,,,
190,A3 Sportback 1.8 TFSI Attraction quattro S tronic (8V),132,Audi,31900,,,18150,16700,15650,14050,
191,A3 Sportback 1.8 TFSI Attraction S tronic  (8V),132,Audi,28700,,,,,,13600,12250
192,A3 Sportback 2.0 TFSI sport quattro S tronic  (8V),140,Audi,35850,25200,22500,20100,,,,
193,A3 Sportback 1.6 TDI Attraction (8V),77,Audi,25700,,,,,10800,10050,9050
194,A3 Sportback 1.6 TDI Attraction (8V),81,Audi,26600,,,12400,11300,10450,,
195,A3 Sportback 1.6 TDI  (8V),81,Audi,26850,,14600,13150,,,,
196,A3 Sportback 1.6 TDI  (8V),85,Audi,28350,16450,14950,,,,,
197,A3 Sportback 30 TDI  (8V),85,Audi,29800,17000,,,,,,
198,A3 Sportback 2.0 TDI Attraction (8V),110,Audi,27500,,,,,11850,10550,9575
199,A3 Sportback 2.0 TDI Attraction quattro (8V),110,Audi,29450,,,,,12500,11150,10100
200,A3 Sportback 2.0 TDI  (8V),110,Audi,32550,18300,16650,15150,,,,
201,A3 Sportback 2.0 TDI quattro (8V),110,Audi,31750,19300,17550,16000,,,,
202,A3 Sportback 35 TDI  (8V),110,Audi,31100,18650,,,,,,
203,A3 Sportback 2.0 TDI Attraction (8V),135,Audi,30700,,,15900,14550,13600,12500,
204,A3 Sportback 2.0 TDI Attraction quattro (8V),135,Audi,34550,,,17650,16200,15100,13900,
205,A3 Sportback 2.0 TDI sport quattro S tronic (8V),135,Audi,38300,25550,22800,19950,,,,
206,A3 Sportback g-tron Attraction  (8V),81,Audi,26800,,,15100,13850,12800,,
207,A3 Sportback g-tron  (8V),81,Audi,27550,20100,17950,16000,,,,
208,A3 Sportback e-tron Attraction S tronic (8V),150,Audi,38400,,,20650,18850,17450,,
209,A3 Sportback e-tron S tronic (8V),150,Audi,37900,25350,22600,20200,,,,
210,A3 Limousine 1.0 TFSI  (8V),85,Audi,26250,16300,14550,13300,,,,
211,A3 Limousine 1.4 TFSI Attraction (8V),92,Audi,25500,,,14150,13000,12150,11350,
212,A3 Limousine 1.4 TFSI cod Attraction (8V),103,Audi,25500,,,,,12800,11900,
213,A3 Limousine 1.4 TFSI cod ultra Attraction (8V),110,Audi,32650,,,18350,16750,15050,,
214,A3 Limousine 1.4 TFSI cod ultra  (8V),110,Audi,26800,,17150,15650,,,,
215,A3 Limousine 1.5 TFSI cod  (8V),110,Audi,28200,18400,16750,,,,,
216,A3 Limousine 35 TFSI  (8V),110,Audi,28700,18750,,,,,,
217,A3 Limousine 1.8 TFSI Attraction (8V),132,Audi,28950,,,16400,15050,14050,13200,
218,A3 Limousine 1.8 TFSI Attraction quattro S tronic (8V),132,Audi,32800,,,18400,16900,15800,14750,
219,A3 Limousine 2.0 TFSI sport quattro S tronic  (8V),140,Audi,36750,25000,22350,19950,,,,
220,A3 Limousine 1.6 TDI Attraction (8V),77,Audi,26300,,,,,10950,10200,
221,A3 Limousine 1.6 TDI Attraction (8V),81,Audi,27500,,,12550,11450,10600,,
222,A3 Limousine 1.6 TDI ultra Attraction (8V),81,Audi,27550,,,12700,11550,10700,,
223,A3 Limousine 1.6 TDI  (8V),81,Audi,27750,,14500,13050,,,,
224,A3 Limousine 1.6 TDI  (8V),85,Audi,29250,16650,14850,,,,,
225,A3 Limousine 2.0 TDI Attraction (8V),110,Audi,28100,,,,,12000,10800,
226,A3 Limousine 2.0 TDI Attraction quattro (8V),110,Audi,30050,,,,,12650,11350,
227,A3 Limousine 2.0 TDI  (8V),110,Audi,33450,19050,17000,15500,,,,
228,A3 Limousine 2.0 TDI quattro (8V),110,Audi,32650,20100,17950,16350,,,,
229,A3 Limousine 35 TDI  (8V),110,Audi,32000,19050,,,,,,
230,A3 Limousine 2.0 TDI Attraction (8V),135,Audi,31600,,,16200,14800,13800,,
231,A3 Limousine 2.0 TDI Attraction quattro S Tronic (8V),135,Audi,35450,,,17950,16450,15300,,
232,A3 Limousine 2.0 TDI sport quattro S tronic (8V),135,Audi,39200,25900,23150,20250,,,,
233,A3 Cabriolet 1.4 TFSI Attraction (8V),85,Audi,29900,,,17300,,,,
234,A3 Cabriolet 1.4 TFSI  (8V),85,Audi,32150,22250,19850,17750,,,,
235,A3 Cabriolet 1.4 TFSI Attraction (8V),92,Audi,31400,,,17600,15750,14500,12950,
236,A3 Cabriolet 1.4 TFSI cod Attraction (8V),103,Audi,31700,,,,,14800,13400,
237,A3 Cabriolet 1.4 TFSI cod ultra  (8V),110,Audi,32700,,21650,18750,,,,
238,A3 Cabriolet 1.5 TFSI cod  (8V),110,Audi,34100,24000,21450,,,,,
239,A3 Cabriolet 35 TFSI cod  (8V),110,Audi,34600,24050,,,,,,
240,A3 Cabriolet 1.8 TFSI Attraction (8V),132,Audi,34850,,,19950,17650,16250,14800,
241,A3 Cabriolet 1.8 TFSI Attraction quattro S tronic (8V),132,Audi,38700,,,21850,19350,17850,,
242,A3 Cabriolet 2.0 TFSI sport quattro S tronic  (8V),140,Audi,42650,30350,27100,24200,,,,
243,A3 Cabriolet 1.6 TDI Attraction (8V),81,Audi,33400,,,16850,15200,13850,,
244,A3 Cabriolet 2.0 TDI Attraction (8V),110,Audi,35750,,,17850,15950,14500,13000,
245,A3 Cabriolet 2.0 TDI Attraction quattro (8V),110,Audi,37700,,,18600,16600,15100,,
246,A3 Cabriolet 2.0 TDI  (8V),110,Audi,37250,23000,20550,18750,,,,
247,A3 Cabriolet 2.0 TDI quattro (8V),110,Audi,38550,24000,21400,19500,,,,
248,A3 Cabriolet 2.0 TDI Attraction (8V),135,Audi,37500,,,19050,17150,15650,,
249,A3 Cabriolet 2.0 TDI Attraction quattro S tronic (8V),135,Audi,41350,,,20750,18700,17050,,
250,A3 Cabriolet 2.0 TDI sport quattro S tronic (8V),135,Audi,45000,27550,24600,21950,,,,
251,RS3 Sportback S tronic (8V),270,Audi,53500,,,37050,33650,,,
252,RS3 Sportback S tronic (8V),294,Audi,55900,44850,40050,,,,,
253,RS3 Limousine S tronic (8V),294,Audi,57200,45350,40500,,,,,
254,S3  (8V),221,Audi,40050,,,24900,23400,21900,20250,18850
255,S3  (8V),228,Audi,41450,,27600,24650,,,,
256,S3 Sportback  (8V),221,Audi,40950,,,26250,24700,23050,21500,
257,S3 Sportback S tronic (8V),221,Audi,45500,34050,,,,,,
258,S3 Sportback  (8V),228,Audi,43050,32550,29050,25950,,,,
259,S3 Limousine  (8V),221,Audi,41550,,,26150,24550,22950,21300,
260,S3 Limousine S tronic (8V),221,Audi,46400,34100,,,,,,
261,S3 Limousine  (8V),228,Audi,43950,32600,29100,26000,,,,
262,S3 Cabriolet S tronic (8V),221,Audi,49350,,,28950,25700,24000,,
263,S3 Cabriolet S tronic (8V),221,Audi,52300,36600,,,,,,
264,S3 Cabriolet S tronic (8V),228,Audi,51850,36600,32650,29150,,,,
265,A4 1.8 TFSI Attraction (B8),88,Audi,28850,,,,14250,13000,11450,9900
266,A4 1.8 TFSI Attraction (B8),125,Audi,31150,,,,,,12300,11050
267,A4 1.8 TFSI Attraction quattro (B8),125,Audi,33500,,,,,,13200,11450
268,A4 2.0 TFSI flexible fuel Attraction,132,Audi,34200,,,,15950,14250,12550,10850
269,A4 2.0 TFSI flexible fuel Attraction quattro,132,Audi,36550,,,,17050,15250,13450,11650
270,A4 2.0 TFSI Attraction (B8),155,Audi,35450,,,,,,12650,10950
271,A4 2.0 TFSI Attraction quattro (B8),155,Audi,37800,,,,,,13500,11700
272,A4 2.0 TFSI Attraction (B8),165,Audi,37700,,,,16350,14600,12900,
273,A4 2.0 TFSI Attraction quattro (B8),165,Audi,40050,,,,17400,15550,13700,
274,A4 3.0 TFSI Attraction quattro S tronic (B8),200,Audi,44950,,,,,18500,16300,15300
275,A4 2.0 TDI Attraction (B8),88,Audi,31250,,,,13600,12000,10500,9625
276,A4 2.0 TDI 112g Attraction (B8),100,Audi,32600,,,,,12100,10550,9125
277,A4 2.0 TDI ultra Attraction (B8),100,Audi,34450,,,,14950,13200,,
278,A4 2.0 TDI Attraction (B8),105,Audi,32250,,,,,,11300,9775
279,A4 2.0 TDI Attraction quattro (B8),105,Audi,34600,,,,,,12100,10500
280,A4 2.0 TDI Attraction (B8),110,Audi,33350,,,,13800,12150,10650,
281,A4 2.0 TDI Attraction quattro (B8),110,Audi,35700,,,,14800,13050,11400,
282,A4 2.0 TDI 115g Attraction (B8),120,Audi,34700,,,,,,11550,10000
283,A4 2.0 TDI ultra Attraction (B8),120,Audi,35850,,,,14600,12850,,
284,A4 2.0 TDI Attraction (B8),130,Audi,35450,,,,14650,12900,11300,9800
285,A4 2.0 TDI Attraction quattro (B8),130,Audi,37800,,,,15650,13850,12050,10500
286,A4 2.0 TDI Attraction (B8),140,Audi,36950,,,,14900,13150,,
287,A4 2.0 TDI Attraction quattro (B8),140,Audi,39300,,,,15250,13500,,
288,A4 3.0 TDI Attraction (B8),150,Audi,38250,,,,15600,14600,12750,11050
289,A4 3.0 TDI Attraction quattro (B8),180,Audi,44250,,,,17900,15800,13800,11950
290,A4 Avant 1.8 TFSI Attraction (B8),88,Audi,30600,,,,14850,13250,11650,10100
291,A4 Avant 1.8 TFSI Attraction (B8),125,Audi,32800,,,,,,13200,11450
292,A4 Avant 1.8 TFSI Attraction quattro (B8),125,Audi,35150,,,,,,14150,12250
293,A4 Avant 2.0 TFSI flexible fuel Attraction  (B8),132,Audi,35950,,,,17450,15600,13700,11900
294,A4 Avant 2.0 TFSI flexible fuel Attraction quattro  (B8),132,Audi,38300,,,,18600,16600,14600,12700
295,A4 allroad 2.0 TFSI quattro (B8),155,Audi,41200,,,,,,17650,15300
296,A4 Avant 2.0 TFSI Attraction (B8),155,Audi,37100,,,,,,13700,11850
297,A4 Avant 2.0 TFSI Attraction quattro (B8),155,Audi,39450,,,,,,14550,12600
