,model,kw,mark,new,2018,2017,2016,2015,2014,2013,2012
0,124 Spider  (NF ),125,Abarth,33000,24150,23000,21400,,,,
1,595 Custom (312),103,Abarth,21490,,,,13150,11900,10900,
2,595 Competizione (312),132,Abarth,24250,,,14400,12900,,,
3,695 Biposto (312),139,Abarth,39900,30050,26850,23950,21400,19100,,
4,595C Custom (312),99,Abarth,20190,,,,12350,11200,10200,
5,595  (312),107,Abarth,18490,13850,12350,11050,,,,
6,595 Pista (312),118,Abarth,21190,16250,14100,,,,,
7,595 Turismo (312),121,Abarth,22490,17050,15250,13600,,,,
8,695 XSR Yamaha (312),121,Abarth,24890,18600,16600,,,,,
9,595 Competizione (312),132,Abarth,25190,18800,16750,15000,,,,
10,695 Rivale (312),132,Abarth,28000,20500,18300,,,,,
11,595C  (312),107,Abarth,21090,15500,13850,12100,,,,
12,595C Pista (312),118,Abarth,23790,17400,15550,,,,,
13,595C Turismo (312),121,Abarth,25090,18400,16450,14400,,,,
14,695C XSR Yamaha (312),121,Abarth,27490,20200,18000,,,,,
15,595C Competizione (312),132,Abarth,27790,20550,18350,16050,,,,
16,695C Rivale (312),132,Abarth,30000,22200,19800,,,,,
17,4C  (960),177,Alfa Romeo,63500,46450,43150,37900,34800,31600,28700,
18,4C Spider  (960),177,Alfa Romeo,72000,52650,48900,43050,39250,,,
19,Giulia 2.0 Turbo 16V AT8 (952),147,Alfa Romeo,37000,25750,,,,,,
20,Giulia 2.0 Turbo 16V Veloce Q4 AT8 (952),206,Alfa Romeo,47800,34100,30450,27200,,,,
21,Giulia 2.2 Diesel,100,Alfa Romeo,33100,,19500,17450,,,,
22,Giulia 2.2 Diesel,110,Alfa Romeo,34100,22700,19650,18500,,,,
23,Giulia 2.2 Diesel AT8 (952),118,Alfa Romeo,37000,25600,,,,,,
24,Giulia 2.2 Diesel Advanced Efficiency AT8 (952),132,Alfa Romeo,39000,26000,22300,20100,,,,
25,Giulia 2.2 Diesel Super (952),132,Alfa Romeo,37600,25100,21500,19400,,,,
26,Giulia 2.2 Diesel Super Q4 AT8 (952),132,Alfa Romeo,43300,28050,25050,,,,,
27,Giulia 2.2 Diesel Super AT8 (952),140,Alfa Romeo,42000,29300,,,,,,
28,Giulia 2.2 Diesel Super Q4 AT8 (952),140,Alfa Romeo,44500,31050,,,,,,
29,Giulia 2.2 Diesel Veloce Q4 AT8 (952),154,Alfa Romeo,46800,30250,27600,24650,,,,
30,Giulia Quadrifoglio,375,Alfa Romeo,79000,56100,48250,43500,,,,
31,Giulia Quadrifoglio OPF AT8 (952),375,Alfa Romeo,79000,56100,,,,,,
32,Giulietta 1.4 TB 16V  (940),77,Alfa Romeo,19250,,,,,,7700,6950
33,Giulietta 1.4 TB 16V  (940),88,Alfa Romeo,19950,,,,,,8025,7250
34,Giulietta 1.4 TB 16V  (940),88,Alfa Romeo,21500,14450,12900,11500,,,,
35,Giulietta 1.4 TB 16V Sprint (940),110,Alfa Romeo,25200,,,13000,11800,10650,,
36,Giulietta 1.4 TB 16V Super (940),110,Alfa Romeo,25500,16950,14700,13100,,,,
37,Giulietta 1.4 TB 16V MultiAir Super TCT (940),125,Alfa Romeo,28600,18150,16200,14450,,,,
38,Giulietta 1.8 TBi 16V Veloce (940),177,Alfa Romeo,35550,23700,21150,18900,,,,
39,Giulietta 1.6 JTDM 16V  (940),77,Alfa Romeo,21650,,,,,,7525,6725
40,Giulietta 1.6 JTDM 16V Impression (940),88,Alfa Romeo,23150,,,10750,9825,,,
41,Giulietta 1.6 JTDM 16V  (940),88,Alfa Romeo,23500,14400,12850,11050,,,,
42,Giulietta 2.0 JTDM 16V Veloce (940),110,Alfa Romeo,25900,,,,,10150,9300,
43,Giulietta 2.0 JTDM 16V Super (940),110,Alfa Romeo,27500,17550,15650,13450,,,,
44,Giulietta 2.0 JTDM 16V Turismo TCT (940),129,Alfa Romeo,30400,,,13700,12400,11150,,
45,Giulietta 2.0 JTDM 16V Super TCT (940),129,Alfa Romeo,30800,18550,16600,14200,,,,
46,Giulietta Quadrifoglio,173,Alfa Romeo,29950,,,,,13500,12150,10950
47,Giulietta Quadrifoglio,177,Alfa Romeo,32500,,,17950,16300,14950,,
48,MiTo 1.4 8V  (955),51,Alfa Romeo,13950,,,,,,5575,4975
