Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
C-Elysee BlueHDi 100 Selection (D),4,73  (99),,V,15990,,,9000,8025,7075,,,,
C-Zero  (C-Zero),5,49  (67),,III,21250,12800,11200,9600,8750,7925,7325,6100,,
DS 4 VTi 120 Chic (N),5,88  (120),,III,21840,,,,,,8925,8250,,
DS 4 PureTech 130 Stop&Start Chic (N),5,96  (130),,III,24240,,,,,,10200,8900,,
DS 4 THP 160 So Chic EGS6 (N),5,120  (163),,III,27100,,,,,,11050,10250,,
DS 4 THP 165 Stop&Start So Chic EAT6 (N),5,121,-165,III,27850,,,,,,11300,,,
DS 4 THP 200 Sport Chic (N),5,147  (200),,III,29800,,,,,,11650,10800,,
DS 4 e-HDi 115 Chic (N),5,84  (115),,V,24200,,,,,,8450,7600,,
DS 4 BlueHDi 120 Stop&Start Chic (N),5,88  (120),,V,25950,,,,,,8725,7725,,
DS 4 BlueHDi 120 Urban Show (N),5,88  (120),,V,27250,,,,,,9250,8500,,
DS 4 BlueHDi 150 Stop&Start So Chic (N),5,110  (150),,V,28900,,,,,,9725,,,
DS 4 HDi 165 So Chic (N),5,120  (163),,V,28200,,,,,,9425,8575,,
DS 4 BlueHDi 180 Stop&Start So Chic EAT6 (N),5,133  (180),,V,31450,,,,,,11050,,,
DS 5 THP 155 Chic Automatik (K/KF),5,115,-156,IV,30590,,,,,,12400,11000,,
DS 5 BlueHDi 120 Chic (K/KF),5,88  (120),,VI,30240,,,,,,10100,8875,,
DS 5 BlueHDi 150 Chic (K/KF),5,110  (150),,VI,32230,,,,,,10450,9150,,
DS 5 BlueHDi 180 Chic EAT6 (K/KF),5,133  (180),,VI,34880,,,,,,11150,9675,,
Jumper Kombi L1H1 30 BlueHDi 110 Live (II),4,81  (110),,VII,33467,,16450,14550,13000,11600,10350,,,
Jumper Kombi L1H1 30 HDi 110 Live (II),4,81  (110),,VII,31564,,,,,,9925,8925,,
Jumper Kombi L1H1 30 BlueHDi 130 Shine (II),4,96  (130),,VII,35312,,17200,15200,13600,12000,10750,,,
Jumper Kombi L1H1 30 BlueHDi 130 Stop&Start Shine,4,96  (130),,VII,35669,,17400,15400,13750,12150,10850,,,
(II),,,,,,,,,,,,,,
Jumper Kombi L1H1 30 e-HDi 130 Shine (II),4,96  (130),,VII,33766,,,,,,10400,9375,,
Jumper Kombi L2H2 33 BlueHDi 130 Live (II),4,,96  (130) VIII,,38465,,18800,16600,14800,13100,11700,,,
Jumper Kombi L2H2 33 BlueHDi 130 Stop&Start Live,4,,96  (130) VIII,,38822,,18950,16750,14950,13250,11800,,,
(II),,,,,,,,,,,,,,
Jumper Kombi L2H2 33 e-HDi 130 Live (II),4,,96  (130) VIII,,36919,,,,,,11400,10250,,
Jumper Kombi L2H2 35 Heavy BlueHDi 130 Live (II),4,,96  (130) VIII,,40131,,19600,17350,15450,13700,12200,,,
Jumper Kombi L2H2 35 Heavy HDi 130 Live (II),4,,96  (130) VIII,,38228,,,,,,11800,10650,,
Jumper Kombi L1H1 30 e-HDi 150 Shine (II),4,110  (150),,VII,34480,,,,,,10700,9675,,
Jumper Kombi L1H1 30 HDi 150 Shine (II),4,110  (150),,VII,34123,,,,,,10600,9575,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 42 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,,
Citroen,,,,,,,,,,,,,,
Jumper Kombi L2H2 33 e-HDi 150 Shine (II),4,110  (150) VIII,,38169,,,,,,11900,10750,,,
Jumper Kombi L2H2 33 HDi 150 Live (II),4,110  (150) VIII,,38942,,,,,,12100,10950,,,
Jumper Kombi L1H1 30 BlueHDi 160 Shine (II),4,120  (163),VII,36502,,18000,15900,14200,12550,11200,,,,
Jumper Kombi L1H1 30 BlueHDi 160 Stop&Start Shine,4,120  (163),VII,36859,,18150,16050,14350,12700,11300,,,,
(II),,,,,,,,,,,,,,
Jumper Kombi L2H2 33 BlueHDi 160 Live (II),4,120  (163) VIII,,39655,,19550,17300,15450,13650,12200,,,,
Jumper Kombi L2H2 33 BlueHDi 160 Stop&Start Shine,4,120  (163) VIII,,40548,,20000,17700,15800,13950,12450,,,,
(II),,,,,,,,,,,,,,
Jumper Kombi L2H2 35 Heavy BlueHDi 160 Live (II),4,120  (163) VIII,,41321,,20400,18050,16100,14250,12700,,,,
Jumper Kombi L2H2 33 HDi 180 Live (II),4,130  (177) VIII,,38349,,,,,,11950,10900,,,
Jumper Kombi L2H2 35 Heavy HDi 180 Live (II),4,130  (177) VIII,,40015,,,,,,12450,11400,,,
Jumper Kastenwagen L1H1 28 2.2 BlueHDi Control (II),4,88  (120),VII,36003,17800,,,,,,,,,
Jumper Kastenwagen L1H1 30 2.2 BlueHDi Control (II),4,88  (120),VII,36717,18150,,,,,,,,,
Jumper Kastenwagen L1H1 33 2.2 BlueHDi Control (II),4,88  (120),VII,38026,18800,,,,,,,,,
Jumper Kastenwagen L1H2 30 2.2 BlueHDi Control (II),4,88  (120),X,37967,17350,,,,,,,,,
Jumper Kastenwagen L2H1 30 2.2 BlueHDi Control (II),4,88  (120),VII,37967,18850,,,,,,,,,
Jumper Kastenwagen L2H1 33 2.2 BlueHDi Control (II),4,88  (120),VII,39157,19450,,,,,,,,,
Jumper Kastenwagen L2H2 30 2.2 BlueHDi Control (II),4,88  (120),X,39216,17950,,,,,,,,,
Jumper Kastenwagen L2H2 33 2.2 BlueHDi Control (II),4,88  (120),X,40406,18550,,,,,,,,,
Jumper Kastenwagen L3H2 33 2.2 BlueHDi Control (II),4,88  (120),X,41656,19150,,,,,,,,,
Jumper Kastenwagen L1H1 30 2.2 BlueHDi Control (II),4,103  (140),VII,38026,19600,,,,,,,,,
Jumper Kastenwagen L1H1 33 2.2 BlueHDi Control (II),4,103  (140),VII,39216,20300,,,,,,,,,
Jumper Kastenwagen L1H2 30 2.2 BlueHDi Control (II),4,103  (140),X,39276,18500,,,,,,,,,
Jumper Kastenwagen L1H2 33 2.2 BlueHDi Control (II),4,103  (140),X,40466,19150,,,,,,,,,
Jumper Kastenwagen L2H1 30 2.2 BlueHDi Control (II),4,103  (140),VII,39276,20300,,,,,,,,,
Jumper Kastenwagen L2H1 33 2.2 BlueHDi Control (II),4,103  (140),VII,40466,21000,,,,,,,,,
Jumper Kastenwagen L2H1 35 2.2 BlueHDi Control (II),4,103  (140),VII,41656,22300,,,,,,,,,
Jumper Kastenwagen L2H1 35 Heavy 2.2 BlueHDi,4,103  (140),VII,42251,22650,,,,,,,,,
Control (II),,,,,,,,,,,,,,
Jumper Kastenwagen L2H2 30 2.2 BlueHDi Control (II),4,103  (140),X,40525,19150,,,,,,,,,
Jumper Kastenwagen L2H2 33 2.2 BlueHDi Control (II),4,103  (140),X,41715,19750,,,,,,,,,
Jumper Kastenwagen L2H2 35 2.2 BlueHDi Control (II),4,103  (140),X,42905,20350,,,,,,,,,
Jumper Kastenwagen L2H2 35 Heavy 2.2 BlueHDi,4,103  (140),X,43500,21300,,,,,,,,,
Control (II),,,,,,,,,,,,,,
Jumper Kastenwagen L3H2 33 2.2 BlueHDi Control (II),4,103  (140),X,42965,20400,,,,,,,,,
Jumper Kastenwagen L3H2 35 2.2 BlueHDi Control (II),4,103  (140),X,44155,21000,,,,,,,,,
Jumper Kastenwagen L3H2 35 Heavy 2.2 BlueHDi,4,103  (140),X,44750,21950,,,,,,,,,
Control (II),,,,,,,,,,,,,,
Jumper Kastenwagen L3H3 35 2.2 BlueHDi Control (II),4,103  (140),X,41528,21650,19300,,,,,,,,
Jumper Kastenwagen L3H3 35 Heavy 2.2 BlueHDi,4,103  (140),X,45999,22600,,,,,,,,,
Control (II),,,,,,,,,,,,,,
Jumper Kastenwagen L4H2 35 Heavy 2.2 BlueHDi,4,103  (140),X,45999,22600,,,,,,,,,
Control (II),,,,,,,,,,,,,,
Jumper Kastenwagen L4H3 35 Heavy 2.2 BlueHDi,4,103  (140),X,47249,23250,,,,,,,,,
Control (II),,,,,,,,,,,,,,
e-Jumpy Kombi M (50 kWh)  (III),4,100  (136),IV,50190,25450,,,,,,,,,
e-Jumpy Kombi M (75 kWh)  (III),4,100  (136),IV,56190,28500,,,,,,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 43 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
Citroen,,,,,,,,,,,,,,
e-Jumpy Kombi XL (50 kWh)  (III),4,100  (136),,IV,50980,25850,,,,,,,,
e-Jumpy Kombi XL (75 kWh)  (III),4,100  (136),,IV,56980,28900,,,,,,,,
e-Jumpy Kombi XS (50 kWh)  (III),4,100  (136),,IV,49080,24900,,,,,,,,
e-Jumpy Kastenwagen M (50 kWh) Control (III),4,100  (136),,IV,41948,23250,,,,,,,,
e-Jumpy Kastenwagen M (75 kWh) Control (III),4,100  (136),,IV,47898,26550,,,,,,,,
e-Jumpy Kastenwagen XL (50 kWh) Control (III),4,100  (136),,IV,43233,23950,,,,,,,,
e-Jumpy Kastenwagen XL (75 kWh) Control (III),4,100  (136),,IV,48647,26950,,,,,,,,
Jumpy Multispace L1 HDi 95 Attraction (II),4,72  (98),,VII,27730,,,,,,9125,8150,,
Jumpy Multispace L1 HDi 125 Attraction (II),4,94  (128),,VII,30940,,,,,,10200,8700,,
Jumpy Multispace L2 HDi 125 Attraction (II),4,94  (128),,VII,31790,,,,,,10450,8950,,
Jumpy Multispace L1 HDi 165 Attraction (II),4,120,-163,VII,30880,,,,,,10150,9075,,
Jumpy Multispace L2 HDi 165 Attraction (II),4,120,-163,VII,31730,,,,,,10450,9325,,
Jumpy by Westfalia L2 HDi 125  (II),4,94  (128),,VII,47190,,,,,,19900,18450,,
Jumpy by Westfalia L2 HDi 165  (II),4,120,-163,VII,52190,,,,,,22000,20400,,
Jumpy Kombi M BlueHDi 95  (III),4,70  (95),,VI,30650,,,14500,13150,12000,,,,
Jumpy Kombi M BlueHDi 95 Start&Stop ETG6 (III),4,70  (95),,VI,30650,,,14500,13150,12000,,,,
Jumpy Kombi XS BlueHDi 95  (III),4,70  (95),,VI,30090,,,14200,12950,11750,,,,
Jumpy Kombi XS BlueHDi 95 Start&Stop ETG6 (III),4,70  (95),,VI,30090,,,14200,12950,11750,,,,
Jumpy Kombi M BlueHDi 100  (III),4,75,-102,VI,31010,17550,15950,14500,,,,,,
Jumpy Kombi XS BlueHDi 100  (III),4,75,-102,VI,30450,17200,15650,14200,,,,,,
Jumpy Kombi M BlueHDi 115 Start&Stop  (III),4,85  (115),,VI,32100,,,15200,13800,12550,,,,
Jumpy Kombi XL BlueHDi 115 Start&Stop  (III),4,85  (115),,VI,32890,,,15550,14150,12850,,,,
Jumpy Kombi XS BlueHDi 115 Start&Stop  (III),4,85  (115),,VI,31540,,,14900,13550,12350,,,,
Jumpy Kombi M BlueHDi 120 Start&Stop  (III),4,88  (120),,VI,32460,,17400,15500,,,,,,
Jumpy Kombi XL BlueHDi 120 Start&Stop  (III),4,88  (120),,VI,33250,,17850,15900,,,,,,
Jumpy Kombi XS BlueHDi 120 Start&Stop  (III),4,88  (120),,VI,31900,,17100,15200,,,,,,
Jumpy Kombi M BlueHDi 145 Start&Stop  (III),4,106  (145),,VI,41740,20100,,,,,,,,
Jumpy Kombi XL BlueHDi 145 Start&Stop  (III),4,106  (145),,VI,42530,20550,,,,,,,,
Jumpy Kombi M BlueHDi 150 Start&Stop  (III),4,110,-150,VI,33850,,,16550,15050,13650,,,,
Jumpy Kombi XL BlueHDi 150 Start&Stop  (III),4,110,-150,VI,34640,,,16900,15400,14000,,,,
Jumpy Kombi XS BlueHDi 150 Start&Stop  (III),4,110,-150,VI,33290,,,16250,14750,13450,,,,
Jumpy Kombi M BlueHDi 180 Start&Stop EAT6 (III),4,130  (177),,VI,36900,,,18000,16400,14900,,,,
Jumpy Kombi XL BlueHDi 180 Start&Stop EAT6 (III),4,130  (177),,VI,37690,,,18400,16750,15200,,,,
Jumpy Kombi XS BlueHDi 180 Start&Stop EAT6 (III),4,130  (177),,VI,36340,,,17750,16150,14650,,,,
Jumpy Kastenwagen M BlueHDi 100 Start&Stop,4,75,-102,VI,32219,17600,,,,,,,,
Control (III),,,,,,,,,,,,,,
Jumpy Kastenwagen XS BlueHDi 100 Start&Stop,4,75  (102),,VI,31553,17200,,,,,,,,
Control (III),,,,,,,,,,,,,,
e-Spacetourer M (50 kWh) Feel (V),5,100  (136),,IV,56200,33300,,,,,,,,
e-Spacetourer M (75 kWh) Feel (V),5,100  (136),,IV,62200,36850,,,,,,,,
e-Spacetourer XL (50 kWh) Feel (V),5,100  (136),,IV,56990,33750,,,,,,,,
e-Spacetourer XL (75 kWh) Feel (V),5,100  (136),,IV,62990,37300,,,,,,,,
e-Spacetourer XS (50 kWh) Business (V),5,100  (136),,IV,50880,30300,,,,,,,,
Spacetourer M BlueHDi 95 Feel (V),4,70  (95),,VII,36250,,,19350,17600,16000,,,,
Spacetourer M BlueHDi 100 Feel (V),4,75  (102),,VII,36250,,,19400,,,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 44 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,,
Citroen,,,,,,,,,,,,,,
Spacetourer M BlueHDi 115 Start&Stop Feel (V),4,85  (115),VII,37700,,,20150,18350,16650,,,,,
Spacetourer XS BlueHDi 115 Start&Stop Business (V),4,85  (115),VII,34530,,,18700,17000,15450,,,,,
Spacetourer XS BlueHDi 120 Start&Stop Business (V),4,88  (120),VII,34880,,23150,20850,,,,,,,
Spacetourer M BlueHDi 145 Start&Stop Business (V),4,106  (145),VII,45140,26600,,,,,,,,,
Spacetourer XL BlueHDi 145 Start&Stop Business (V),4,106  (145),VII,45930,27100,,,,,,,,,
Spacetourer M BlueHDi 150 Start&Stop Business (V),4,110  (150),VII,36840,,,21600,19650,17850,,,,,
Spacetourer XL BlueHDi 150 Start&Stop Business (V),4,110  (150),VII,37630,,,22050,20050,,,,,,
Spacetourer XS BlueHDi 150 Start&Stop Business (V),4,110  (150),VII,36280,,,21250,19350,17600,,,,,
Spacetourer M BlueHDi 180 Start&Stop Business,4,130  (177),VII,39890,,,24500,22300,20250,,,,,
EAT6 (V),,,,,,,,,,,,,,
Spacetourer XL BlueHDi 180 Start&Stop Business,4,130  (177),VII,40680,,,25000,22750,,,,,,
EAT6 (V),,,,,,,,,,,,,,
Spacetourer XS BlueHDi 180 Start&Stop Business,4,130  (177),VII,39330,,,24150,21950,19950,,,,,
EAT6 (V),,,,,,,,,,,,,,
CUPRA,,,,,,,,,,,,,,
Ateca 2.0 TSI 4Drive DSG (5FP),5,221  (300),III,43027,36300,34350,31450,,,,,,,
Ateca 2.0 TSI 4Drive DSG (5FP),5,221  (300),III,44382,36850,,,,,,,,,
Formentor 1.5 TSI  (KM),5,110  (150),III,33650,25500,,,,,,,,,
Formentor VZ 2.0 TSI 4Drive DSG (KM),5,228  (310),III,48090,37350,,,,,,,,,
Leon VZ 1.4 e-HYBRID DSG (KL),5,180  (245),III,38795,28050,,,,,,,,,
Leon Sportstourer VZ 1.4 e-HYBRID DSG (KL),5,180  (245),III,40095,29450,,,,,,,,,
Dacia,,,,,,,,,,,,,,
Dokker Express 1.6 MPI 85 Essentiel (SD),4,61  (83),V,8318,,,,,,4175,,,,
Dokker Express SCe 100 Start&Stop Essentiel (SD),4,75  (102),IV,8556,,,6225,5550,4950,4425,,,,
Dokker Express SCe 100 Access (SD),4,75  (102),IV,8794,,7050,6225,,,,,,,
Dokker Express TCe 100 GPF Comfort (SD),4,75  (102),IV,12840,12300,11200,,,,,,,,
Dokker Express TCe 115 Ambiance (SD),4,85  (115),IV,11067,,,,7100,6350,,,,,
Dokker Express TCe 115 Comfort (SD),4,85  (115),IV,12614,,10650,9425,,,,,,,
Dokker Express TCe 130 GPF Comfort (SD),4,96  (131),IV,13197,12650,11550,,,,,,,,
Dokker Express dCi 75 Ambiance (SD),4,55  (75),V,11531,,,,,6425,5750,5125,,,
Dokker Express dCi 75 Start&Stop Ambiance (SD),4,55  (75),V,11127,,,8075,7200,6425,,,,,
Dokker Express Blue dCi 75 Essential (SD),4,55  (75),V,11888,10650,9500,,,,,,,,
Dokker Express dCi 75 Essential (SD),4,55  (75),V,11484,,9075,8125,,,,,,,
Dokker Express dCi 90 Ambiance (SD),4,66  (90),V,12007,,,,,6475,5775,5150,,,
Dokker Express dCi 90 Start&Stop Ambiance (SD),4,66  (90),V,11722,,,8100,7225,6450,,,,,
Dokker Express dCi 90 Essential (SD),4,66  (90),V,12079,,9100,8125,,,,,,,
Dokker Express Blue dCi 95 Essential (SD),4,70  (95),V,12483,11200,9975,,,,,,,,
Dokker Express 1.6 MPI LPG 85 Ambiance  (SD),4,59  (80),V,9984,,,,,5550,4950,4425,,,
Dokker Express SCe 100 LPG Start&Stop Ambiance,4,75  (102),IV,11008,,,7875,7025,6275,,,,,
(SD),,,,,,,,,,,,,,
Dokker Express SCe 100 LPG Essential  (SD),4,75  (102),IV,11186,,8925,7900,,,,,,,
Dokker SCe 100 Start&Stop Essential (SD),4,75  (102),IV,8990,,,7400,6575,5825,5100,,,,
Dokker SCe 100 Start&Stop Access (SD),4,75  (102),IV,8990,,8350,7400,,,,,,,
Dokker TCe 100 GPF Start (SD),4,75  (102),IV,11102,11300,10050,,,,,,,,
Dokker Stepway SCe 100 Start&Stop  (SD),5,75  (102),IV,12500,,11600,10300,,,,,,,
Dokker Stepway TCe 115  (SD),5,85  (115),IV,13390,,,,,,6950,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 45 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
,Fahrzeug/Modell (Generation**),Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
Dacia,,,,,,,,,,,,,,
,Dokker Stepway TCe 115 Start&Stop  (SD),5,85  (115),IV,13390,,,,8975,7950,6950,,,
,Dokker Stepway TCe 115 Start&Stop Celebration (SD),5,85  (115),IV,13700,,11450,10100,9025,,,,,
Dokker TCe 115 Ambiance (SD),,5,85  (115),IV,11390,,,,,,6100,5450,,
,Dokker TCe 115 Start&Stop Ambiance (SD),5,85  (115),IV,11390,,,,,6775,5925,,,
,Dokker TCe 115 Start&Stop Comfort (SD),5,85  (115),IV,12800,,11950,10600,,,,,,
Dokker Stepway TCe 130 GPF  (SD),,5,96  (131),IV,14600,,13900,,,,,,,
Dokker TCe 130 GPF Comfort (SD),,5,96  (131),IV,13832,14100,12550,,,,,,,
Dokker dCi 75 Ambiance (SD),,5,55  (75),V,11890,,,,,,6275,5525,,
,Dokker dCi 75 Start&Stop Ambiance (SD),5,55  (75),V,11750,,,8425,7575,6725,5825,,,
,Dokker dCi 75 Start&Stop Essential (SD),5,55  (75),V,11750,,,8425,,,,,,
Dokker Stepway dCi 90  (SD),,5,66  (90),V,14390,,,,,,7350,,,
,Dokker Stepway dCi 90 Start&Stop  (SD),5,66  (90),V,13990,,,,9300,8250,7150,,,
,Dokker Stepway dCi 90 Start&Stop Celebration (SD),5,66  (90),V,14250,,,10650,9300,,,,,
Dokker dCi 90 Lauréate (SD),,5,66  (90),V,13590,,,,,,7000,6150,,
,Dokker dCi 90 Start&Stop Lauréate (SD),5,66  (90),V,13350,,,10000,8775,7775,6725,,,
,Dokker dCi 90 Start&Stop Comfort (SD),5,66  (90),V,13350,,,10000,,,,,,
,Dokker Stepway Blue dCi 95 Plus (SD),5,70  (95),V,14807,14750,13100,,,,,,,
,Dokker Stepway Blue dCi 95 Start&Stop  (SD),5,70  (95),V,14600,,12900,11350,,,,,,
Dokker Blue dCi 95 Comfort (SD),,5,70  (95),V,13637,13600,12100,10650,,,,,,
,Dokker 1.6 MPI LPG 85 Ambiance  (SD),5,59  (80),IV,10290,,,,,,5950,5300,,
,Dokker SCe 100 LPG Start&Stop Ambiance  (SD),5,72  (98),IV,11600,,,8200,7225,6425,5300,,,
,Dokker Stepway SCe 100 LPG Start&Stop  (SD),5,75  (102),IV,13500,,,9550,,,,,,
,Dokker SCe 100 LPG Start&Stop Essential  (SD),5,75  (102),IV,11600,,,8200,,,,,,
,Dokker Stepway SCe 100 LPG Start&Stop  (SD),5,79  (107),IV,13500,,10800,9550,,,,,,
,Dokker SCe 100 LPG Start&Stop Essential  (SD),5,79  (107),IV,11600,,9250,8200,,,,,,
Duster,1.6 16V 105 Essentiel 4x2 (I),5,77  (105),III,10690,,,,,,6375,5600,,
Duster,1.6 16V 105 Lauréate 4x4 (I),5,77  (105),III,15690,,,,,,9350,8225,,
,Duster SCe 115 Start&Stop Essentiel 4x2 (I),5,84  (114),III,10690,,,9025,8100,7125,6475,,,
,Duster SCe 115 Start&Stop Lauréate 4x4 (I),5,84  (114),III,15400,,,13000,11650,10250,9325,,,
Duster TCe 125 Lauréate 4x2 (I),,5,92  (125),III,15090,,,,,,9175,8100,,
,Duster TCe 125 Start&Stop Lauréate 4x2 (I),5,92  (125),III,14500,,,12250,10800,10050,8825,,,
,Duster TCe 125 Start&Stop Lauréate 4x4 (I),5,92  (125),III,16400,,,13850,12200,11400,9975,,,
Duster dCi 90 FAP Ice 4x2 (I),,5,66  (90),IV,13990,,,,,,7600,6625,,
,Duster dCi 90 Start&Stop Ambiance 4x2 (I),5,66  (90),IV,13850,,,10800,9925,8550,,,,
Duster dCi 110 FAP Lauréate 4x2 (I),,5,80  (109),IV,15990,,,,,,8575,7525,,
Duster,1.6 16V LPG 105 Lauréate 4x2  (I),5,74  (101),III,14590,,,,,,9500,8425,,
,Duster SCe 115 LPG Start&Stop Lauréate 4x2  (I),5,80  (109),III,14500,,,12100,10050,9000,8075,,,
Duster TCe 90 Access 2WD (II),,5,67  (91),III,11990,10700,,,,,,,,
Duster TCe 100 Access 2WD (II),,5,74  (101),III,11493,10600,9725,,,,,,,
Duster SCe 115 Access 2WD (II),,5,84  (114),III,11490,,9875,9400,7800,,,,,
Duster SCe 115 Comfort 4WD (II),,5,84  (114),III,15600,,13400,12750,10600,,,,,
Duster TCe 125 Comfort 2WD (II),,5,92  (125),III,14950,,,11950,9925,,,,,
Duster TCe 125 Comfort 4WD (II),,5,92  (125),III,16850,,,13500,11200,,,,,
,Duster TCe 130 GPF Comfort 2WD (II),5,96  (131),III,15791,14500,13300,,,,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 46 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,,
Dacia,,,,,,,,,,,,,,
Duster TCe 150 GPF Adventure 2WD (II),5,110  (150),III,18900,17600,16150,,,,,,,,
Duster dCi 90 Essential 2WD (II),5,66  (90),IV,13500,,,10300,9075,,,,,,
Duster dCi 110 Comfort 2WD (II),5,80  (109),IV,15700,,,11950,10550,,,,,,
Duster dCi 110 Comfort 4WD (II),5,80  (109),IV,17600,,,13400,11850,,,,,,
Duster Blue dCi 115 Deal 2WD (II),5,85  (116),IV,14890,13750,,,,,,,,,
Duster Blue dCi 115 Deal 4WD (II),5,85  (116),IV,17090,15750,,,,,,,,,
Duster TCe 100 ECO-G Deal 2WD  (II),5,67  (91),III,13290,11900,,,,,,,,,
Duster SCe 115 LPG Comfort 2WD  (II),5,80  (109),III,14700,,,11350,9975,,,,,,
Lodgy Stepway SCe 100 Start&Stop (5-Sitzer) (SD),5,75  (102),IV,13100,,12050,10900,,,,,,,
Lodgy SCe 100 Start&Stop Essential (SD),5,75  (102),IV,9990,,,8425,7600,6550,5725,,,,
Lodgy SCe 100 Start&Stop Access (5-Sitzer) (SD),5,75  (102),IV,9990,,9200,8425,,,,,,,
Lodgy TCe 100 GPF Start (5-Sitzer) (SD),5,75  (102),IV,11688,11650,10500,,,,,,,,
Lodgy Stepway 1.2 TCe 115  (SD),5,85  (115),IV,14290,,,,,,7850,,,,
Lodgy Stepway TCe 115 Start&Stop  (SD),5,85  (115),IV,14300,,,11700,10550,9350,7850,,,,
Lodgy Stepway TCe 115 Start&Stop Celebration (5-,5,85  (115),IV,14200,,,11600,10450,,,,,,
Sitzer) (SD),,,,,,,,,,,,,,
Lodgy 1.2 TCe 115 Lauréate (SD),5,85  (115),IV,13690,,,,,,7500,6600,,,
Lodgy TCe 115 Start&Stop Lauréate (SD),5,85  (115),IV,13400,,,10900,9800,8700,7300,,,,
Lodgy TCe 115 Start&Stop Comfort (5-Sitzer) (SD),5,85  (115),IV,13500,,,10950,,,,,,,
Lodgy Stepway TCe 130 GPF (5-Sitzer) (SD),5,96  (131),IV,15200,,13850,,,,,,,,
Lodgy TCe 130 GPF Comfort (5-Sitzer) (SD),5,96  (131),IV,14807,14500,13150,,,,,,,,
Lodgy dCi 90 Start&Stop Ambiance (SD),5,66  (90),V,12950,,,8950,8075,7000,,,,,
Lodgy dCi 90 Start&Stop Essential (5-Sitzer) (SD),5,66  (90),V,12950,,,8950,,,,,,,
Lodgy Stepway 1.5 dCi 110 FAP  (SD),5,79  (107),V,16090,,,,,,7350,,,,
Lodgy 1.5 dCi 110 Lauréate (SD),5,79  (107),V,15490,,,,,,7025,6075,,,
Lodgy Stepway dCi 110 Start&Stop  (SD),5,80  (109),V,16090,,,,,,7350,,,,
Lodgy Stepway dCi 110 Start&Stop Celebration (5-,5,80  (109),V,15750,,,11150,9700,,,,,,
Sitzer) (SD),,,,,,,,,,,,,,
Lodgy dCi 110 Start&Stop Lauréate (SD),5,80  (109),V,14950,,,10600,9200,7950,6750,,,,
Lodgy dCi 110 Start&Stop Comfort (5-Sitzer) (SD),5,80  (109),V,14950,,,10600,,,,,,,
Lodgy Stepway Blue dCi 115 Plus (5-Sitzer) (SD),5,85  (116),V,15977,15850,14800,,,,,,,,
Lodgy 1.6 MPI LPG 85 Picknick  (SD),5,59  (80),IV,11490,,,,,,6350,5675,,,
