Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
Stelvio 2.2 Diesel Business Q4 AT8 (949),5,140  (190),V,46790,36100,,,,,,,,,
Stelvio 2.2 Diesel Super AT8 (949),5,140  (190),V,44840,34250,30700,27200,,,,,,,
Stelvio 2.2 Diesel Super Q4 AT8 (949),5,154  (210),V,48500,,,28600,26300,,,,,,
ALPINA,,,,,,,,,,,,,,
B3 Bi-Turbo Allrad Switch-Tronic (F30),4,301  (410),IV,69200,,,,,,35050,31000,,,
B3 Bi-Turbo Switch-Tronic (F30),4,301  (410),IV,66300,,,,,,33550,29700,,,
B3 Bi-Turbo Allrad Switch-Tronic (F30),4,301  (410),IV,70800,,,,48900,43700,37900,,,,
B3 Bi-Turbo Switch-Tronic (F30),4,301  (410),IV,67900,,,,46850,41850,36350,,,,
B3 S Bi-Turbo Allrad Switch-Tronic (F30),4,324  (440),IV,75800,,,59800,53900,,,,,,
B3 S Bi-Turbo Switch-Tronic (F30),4,324  (440),IV,72900,,,57500,51850,,,,,,
D3 Bi-Turbo Switch-Tronic (F30),4,257  (350),VI,56300,,,,,,27850,24400,,,
D3 Bi-Turbo Switch-Tronic (F30),4,257  (350),VI,58600,54100,48300,43100,37750,33000,28150,,,,
B3 Touring Bi-Turbo Allrad Switch-Tronic (F31),5,301  (410),IV,71000,,,,,,35950,31800,,,
B3 Touring Bi-Turbo Switch-Tronic (F31),5,301  (410),IV,68100,,,,,,34500,30500,,,
B3 Touring Bi-Turbo Allrad Switch-Tronic (F31),5,301  (410),IV,72600,,,,50150,44800,38900,,,,
B3 Touring Bi-Turbo Switch-Tronic (F31),5,301  (410),IV,69700,,,,48150,43000,37350,,,,
B3 Touring S Bi-Turbo Allrad Switch-Tronic (F31),5,324  (440),IV,77600,,,61200,55200,,,,,,
B3 Touring S Bi-Turbo Switch-Tronic (F31),5,324  (440),IV,74700,,,58900,53100,,,,,,
D3 Touring Bi-Turbo Allrad Switch-Tronic (F31),5,257  (350),VI,61600,,,,,,30450,26700,,,
D3 Touring Bi-Turbo Switch-Tronic (F31),5,257  (350),VI,58100,,,,,,28750,25200,,,
D3 Touring Bi-Turbo Allrad Switch-Tronic (F31),5,257  (350),VI,63900,62650,55950,49950,40750,35650,30450,,,,
D3 Touring Bi-Turbo Switch-Tronic (F31),5,257  (350),VI,60400,59850,53400,47700,38950,34050,29050,,,,
B3 Allrad Switch-Tronic (G20),4,340  (462),IV,79201,78550,,,,,,,,,
B4 Coupé Bi-Turbo Allrad Switch-Tronic (F32),2,301  (410),IV,72700,,,47100,43300,38400,34050,30450,,,
B4 Coupé Bi-Turbo Switch-Tronic (F32),2,301  (410),IV,69800,,,45550,41850,37150,32900,29450,,,
B4 Coupé S Bi-Turbo Allrad Switch-Tronic (F32),2,324  (440),IV,78200,,,53250,49450,,,,,,
