,model,kw,mark,new,2019,2018,2017,2016,2015,2014,2020
35,Giulietta Quadrifoglio  (940),177.0,Alfa Romeo,32500,,,,18200,15700,14900,
36,Giulietta 1.8 TBi 16V Veloce (940),177.0,Alfa Romeo,35550,,23000,20650,19150,,,
37,Giulietta 1.6 JTDM 16V Impression (940),88.0,Alfa Romeo,23150,,,,9725,8675,,
38,Giulietta 1.6 JTDM 16V  (940),88.0,Alfa Romeo,23500,,13450,12000,9975,,,
39,Giulietta 2.0 JTDM 16V Super (940),110.0,Alfa Romeo,27500,,15850,14150,12000,,,
40,Giulietta 2.0 JTDm 16V Sprint TCT (940),125.0,Alfa Romeo,32655,,,,,,,24350
41,Giulietta 2.0 JTDM 16V Turismo TCT (940),129.0,Alfa Romeo,30400,,,,12400,10550,9350,
42,Giulietta 2.0 JTDM 16V Super TCT (940),129.0,Alfa Romeo,30800,,17650,15750,13400,,,
43,MiTo 1.4 8V Impression (955),57.0,Alfa Romeo,14400,,,,7525,6225,5900,
44,MiTo 1.4 8V Urban (955),57.0,Alfa Romeo,15500,,9550,,,,,
45,MiTo 0.9 8V TwinAir Impression (955),77.0,Alfa Romeo,16000,,,,,6975,6300,
46,MiTo 0.9 8V Turbo TwinAir Urban (955),77.0,Alfa Romeo,17500,,11350,,,,,
47,MiTo 1.4 TB 16V MultiAir Turismo TCT (955),103.0,Alfa Romeo,21500,,,,,9100,8225,
48,MiTo 1.4 TB 16V MultiAir Urban TCT (955),103.0,Alfa Romeo,21000,,12650,,,,,
49,MiTo 1.4 TB 16V MultiAir Veloce TCT (955),125.0,Alfa Romeo,24000,,14550,12800,11450,,,
50,MiTo 1.3 JTDM 16V Eco Impression (955),62.0,Alfa Romeo,17500,,,,,6525,5750,
51,MiTo 1.3 JTDM 16V Urban (955),70.0,Alfa Romeo,17500,,9800,,,,,
52,MiTo 1.6 JTDM 16V Turismo (955),88.0,Alfa Romeo,21000,,,,,7275,6400,
53,Stelvio 2.0 Turbo 16V Q4 AT8 (949),147.0,Alfa Romeo,42200,,25000,22550,,,,
54,Stelvio 2.0 Turbo 16V Super Q4 AT8 (949),206.0,Alfa Romeo,50000,,30400,27400,,,,
55,Stelvio Quadrifoglio Q4 AT8 (949),375.0,Alfa Romeo,89000,,55650,47800,,,,
56,Stelvio 2.2 Diesel AT8 (949),110.0,Alfa Romeo,39800,,24150,21500,,,,
57,Stelvio 2.2 Diesel AT8 (949),118.0,Alfa Romeo,39967,28000,24850,,,,,31250
58,Stelvio 2.2 Diesel Super AT8 (949),132.0,Alfa Romeo,44200,,26100,23500,,,,
59,Stelvio 2.2 Diesel Super Q4 AT8 (949),132.0,Alfa Romeo,47000,,27750,25000,,,,
60,Stelvio 2.2 Diesel Business Q4 AT8 (949),140.0,Alfa Romeo,46790,,,,,,,36100
61,Stelvio 2.2 Diesel Super AT8 (949),140.0,Alfa Romeo,44840,30700,27200,,,,,34250
62,Stelvio 2.2 Diesel Super Q4 AT8 (949),154.0,Alfa Romeo,48500,,28600,26300,,,,
63,B3 Bi-Turbo Allrad Switch-Tronic (F30),301.0,ALPINA,69200,,,,,35050,31000,
64,B3 Bi-Turbo Switch-Tronic (F30),301.0,ALPINA,66300,,,,,33550,29700,
65,B3 Bi-Turbo Allrad Switch-Tronic (F30),301.0,ALPINA,70800,,,48900,43700,37900,,
66,B3 Bi-Turbo Switch-Tronic (F30),301.0,ALPINA,67900,,,46850,41850,36350,,
67,B3 S Bi-Turbo Allrad Switch-Tronic (F30),324.0,ALPINA,75800,,59800,53900,,,,
68,B3 S Bi-Turbo Switch-Tronic (F30),324.0,ALPINA,72900,,57500,51850,,,,
69,D3 Bi-Turbo Switch-Tronic (F30),257.0,ALPINA,56300,,,,,27850,24400,
70,D3 Bi-Turbo Switch-Tronic (F30),257.0,ALPINA,58600,48300,43100,37750,33000,28150,,54100
71,B3 Touring Bi-Turbo Allrad Switch-Tronic (F31),301.0,ALPINA,71000,,,,,35950,31800,
72,B3 Touring Bi-Turbo Switch-Tronic (F31),301.0,ALPINA,68100,,,,,34500,30500,
73,B3 Touring Bi-Turbo Allrad Switch-Tronic (F31),301.0,ALPINA,72600,,,50150,44800,38900,,
74,B3 Touring Bi-Turbo Switch-Tronic (F31),301.0,ALPINA,69700,,,48150,43000,37350,,
75,B3 Touring S Bi-Turbo Allrad Switch-Tronic (F31),324.0,ALPINA,77600,,61200,55200,,,,
76,B3 Touring S Bi-Turbo Switch-Tronic (F31),324.0,ALPINA,74700,,58900,53100,,,,
77,D3 Touring Bi-Turbo Allrad Switch-Tronic (F31),257.0,ALPINA,61600,,,,,30450,26700,
78,D3 Touring Bi-Turbo Switch-Tronic (F31),257.0,ALPINA,58100,,,,,28750,25200,
79,D3 Touring Bi-Turbo Allrad Switch-Tronic (F31),257.0,ALPINA,63900,55950,49950,40750,35650,30450,,62650
80,D3 Touring Bi-Turbo Switch-Tronic (F31),257.0,ALPINA,60400,53400,47700,38950,34050,29050,,59850
81,B3 Allrad Switch-Tronic (G20),340.0,ALPINA,79201,,,,,,,78550
82,B4 Coupé Bi-Turbo Allrad Switch-Tronic (F32),301.0,ALPINA,72700,,47100,43300,38400,34050,30450,
83,B4 Coupé Bi-Turbo Switch-Tronic (F32),301.0,ALPINA,69800,,45550,41850,37150,32900,29450,
84,B4 Coupé S Bi-Turbo Allrad Switch-Tronic (F32),324.0,ALPINA,78200,,53250,49450,,,,
85,B4 Coupé S Bi-Turbo Switch-Tronic (F32),324.0,ALPINA,75300,,51650,47950,,,,
86,B4 Coupé S Bi-Turbo Edition 99 Allrad Switch-Tronic,332.0,ALPINA,89486,66250,,,,,,73400
87,B4 Coupé S Bi-Turbo Edition 99 Switch-Tronic (F32),332.0,ALPINA,86659,64600,,,,,,71550
88,D4 Coupé Bi-Turbo Switch-Tronic (F32),257.0,ALPINA,61200,45400,39750,34450,30550,26050,23100,50800
89,B4 Cabriolet Bi-Turbo Switch-Tronic (F33),301.0,ALPINA,75900,,47050,42800,37900,33600,30350,
90,B4 Cabriolet S Bi-Turbo Switch-Tronic (F33),324.0,ALPINA,81400,,52800,48550,,,,
91,B4 Cabriolet S Bi-Turbo Edition 99 Switch-Tronic (F33) 2,332.0,ALPINA,93677,67100,,,,,,75100
92,D4 Cabriolet Bi-Turbo Switch-Tronic (F33),257.0,ALPINA,69500,51500,45150,39150,33850,29100,25950,57700
93,B5 Bi-Turbo Switch-Tronic (F10),441.0,ALPINA,,54400,47450,40900,,,,
94,B5 Touring Bi-Turbo Switch-Tronic (F11),441.0,ALPINA,111900,,,56000,48850,42100,,
95,B5 Bi-Turbo Allrad Switch-Tronic (G30),447.0,ALPINA,,65750,,,,,,70000
96,D5 S Allrad Switch-Tronic (G30),285.0,ALPINA,87900,,56700,49950,,,,
97,B5 Touring Bi-Turbo Allrad Switch-Tronic (G31),447.0,ALPINA,115300,,74300,70500,,,,
98,D5 Touring S Allrad Switch-Tronic (G31),285.0,ALPINA,90400,,59150,52100,,,,
99,B6 Gran Coupé Bi-Turbo Gran Allrad Switch-Tronic,397.0,ALPINA,,,,47050,42200,,,
100,B6 Gran Coupé Bi-Turbo Gran Allrad Switch-Tronic,441.0,ALPINA,,69850,61800,52300,,,,74600
101,B6 Coupé Bi-Turbo Edition 50 Switch-Tronic (F13),441.0,ALPINA,,,61850,55050,,,,
102,B7 Langversion Bi-Turbo Allrad Switch-Tronic (G12),447.0,ALPINA,,73350,64350,,,,,81500
103,B7 Langversion Bi-Turbo Allrad Switch-Tronic (G12),447.0,ALPINA,150897,101100,,,,,,109250
104,XD3 Bi-Turbo Switch-Tronic (F25),257.0,ALPINA,69100,,,,,34700,31200,
105,XD3 Switch-Tronic (G01),285.0,ALPINA,80300,60300,53050,,,,,67900
106,XD4 Switch-Tronic (G02),285.0,ALPINA,83300,62600,55050,,,,,70450
107,A110 S (A110),215.0,ALPINA,64336,58450,,,,,,65700
108,A1 1.0 TFSI ultra  (8X),60.0,Audi,16250,,11400,10250,9150,,,
109,A1 1.0 TFSI ultra  (8X),70.0,Audi,17750,,12800,11500,10800,9525,,
110,A1 1.4 TFSI  (8X),92.0,Audi,20050,,14000,12750,11700,10200,9125,
111,A1 1.4 TFSI cod  (8X),110.0,Audi,23500,,15600,14050,13150,11250,10050,
112,A1 1.8 TFSI sport S tronic (8X),141.0,Audi,26650,,18600,17550,16350,14400,12900,
113,A1 1.4 TDI  (8X),66.0,Audi,19950,,12000,10800,9550,8225,6925,
114,A1 1.6 TDI  (8X),85.0,Audi,21050,,12900,11550,10200,8775,7675,
115,A1 Sportback 1.0 TFSI ultra  (8X),60.0,Audi,17100,,11950,10750,9625,,,
116,A1 Sportback 1.0 TFSI ultra  (8X),70.0,Audi,18600,,13450,12100,11350,10000,,
117,A1 Sportback 1.4 TFSI  (8X),92.0,Audi,20900,,14650,13800,12350,10550,9425,
118,A1 Sportback 1.4 TFSI cod  (8X),110.0,Audi,24350,,16250,15350,13700,12200,9975,
119,A1 Sportback 1.8 TFSI sport S tronic (8X),141.0,Audi,27500,,19400,18300,16850,14850,13300,
120,A1 Sportback 1.4 TDI  (8X),66.0,Audi,20800,,12500,11250,9975,8575,7225,
121,A1 Sportback 1.6 TDI  (8X),85.0,Audi,21900,,12650,12000,10650,9150,8000,
122,A1 citycarver 25 TFSI  (GB),70.0,Audi,21787,17950,,,,,,19950
123,A1 Sportback 25 TFSI  (GB),70.0,Audi,20032,16700,,,,,,18550
124,A1 citycarver 30 TFSI  (GB),81.0,Audi,24500,,,,,,,20550
125,A1 Sportback 30 TFSI  (GB),81.0,Audi,22700,,,,,,,18300
126,A1 citycarver 30 TFSI  (GB),85.0,Audi,23005,18400,,,,,,20400
127,A1 Sportback 30 TFSI  (GB),85.0,Audi,21250,16450,14700,,,,,18300
128,A1 citycarver 35 TFSI  (GB),110.0,Audi,25199,20100,,,,,,22350
129,A1 Sportback 35 TFSI S tronic (GB),110.0,Audi,25101,19500,17400,,,,,21650
130,A1 Sportback 40 TFSI S line S tronic (GB),147.0,Audi,29049,22650,20200,,,,,25150
131,S1  (8X),170.0,Audi,30700,,23150,20800,18600,16350,14650,
132,S1 Sportback  (8X),170.0,Audi,31550,,23800,21400,19100,16850,15100,
133,A3,81.0,Audi,22800,,,,13550,12550,11900,
134,A3,85.0,Audi,23750,,,14550,12950,,,
135,A3,92.0,Audi,23700,,,,14450,13050,12250,
136,A3,110.0,Audi,24950,,,,15550,14100,13200,
137,A3,110.0,Audi,25000,,,16300,14650,,,
138,A3,110.0,Audi,25700,,,15750,,,,
139,A3,140.0,Audi,34250,,,22550,20100,,,
140,A3,81.0,Audi,25700,,,,12850,11800,10800,
141,A3,81.0,Audi,25950,,,14550,12950,,,
142,A3,85.0,Audi,26650,,,13900,,,,
143,A3,110.0,Audi,28850,,,16700,14750,,,
144,A3,110.0,Audi,30850,,,17850,15750,,,
145,A3,135.0,Audi,29800,,,,15800,14050,12700,
146,A3,135.0,Audi,33650,,,,17800,15800,14600,
147,A3,135.0,Audi,36600,,,21150,18300,,,
148,A3 Sportback 1.2 TFSI Attraction (8V),81.0,Audi,23700,,,,14500,13450,12750,
149,A3 Sportback 1.0 TFSI  (8V),85.0,Audi,25350,,16600,15850,14400,,,
150,A3 Sportback 30 TFSI  (8V),85.0,Audi,26027,18950,17300,,,,,20000
151,A3 Sportback 1.4 TFSI Attraction (8V),92.0,Audi,24600,,,,15500,13950,13100,
152,A3 Sportback 1.4 TFSI cod ultra Attraction (8V),110.0,Audi,25850,,,,16800,15200,14200,
153,A3 Sportback 1.4 TFSI cod ultra  (8V),110.0,Audi,25900,,,17900,16400,,,
154,A3 Sportback 1.5 TFSI cod  (8V),110.0,Audi,27300,,17700,16250,,,,
155,A3 Sportback 35 TFSI  (8V),110.0,Audi,27099,20150,18100,,,,,21650
156,A3 Sportback 1.8 TFSI Attraction quattro S tronic (8V),132.0,Audi,31900,,,,20650,18750,17650,
157,A3 Sportback 2.0 TFSI sport quattro S tronic  (8V),140.0,Audi,35850,27400,27100,23400,21700,,,
158,A3 Sportback 40 TFSI sport quattro S tronic  (8V),140.0,Audi,35433,27800,,,,,,29950
159,A3 Sportback 1.6 TDI Attraction (8V),81.0,Audi,26600,,,,14450,12750,11600,
160,A3 Sportback 1.6 TDI  (8V),81.0,Audi,26850,,,15650,14250,,,
161,A3 Sportback 1.6 TDI  (8V),85.0,Audi,28350,,16100,15150,,,,
162,A3 Sportback 30 TDI  (8V),85.0,Audi,29049,17400,16150,,,,,19600
163,A3 Sportback 2.0 TDI  (8V),110.0,Audi,32550,,18650,17500,15800,,,
164,A3 Sportback 2.0 TDI quattro (8V),110.0,Audi,31750,,19700,18650,16800,,,
165,A3 Sportback 35 TDI  (8V),110.0,Audi,30315,20350,19050,,,,,21450
166,A3 Sportback 2.0 TDI Attraction (8V),135.0,Audi,30700,,,,16500,14650,13350,
167,A3 Sportback 2.0 TDI Attraction quattro S tronic (8V),135.0,Audi,34550,,,,18550,16450,15300,
168,A3 Sportback 2.0 TDI sport quattro S tronic (8V),135.0,Audi,38300,27150,25800,24000,21200,,,
169,A3 Sportback g-tron Attraction  (8V),81.0,Audi,26800,,,,16350,14850,13800,
170,A3 Sportback g-tron  (8V),81.0,Audi,27550,,19500,17900,15900,,,
171,A3 Sportback 30 g-tron S tronic  (8V),96.0,Audi,29828,22050,,,,,,24250
172,A3 Sportback e-tron Attraction S tronic (8V),150.0,Audi,38400,,,,19000,17150,15900,
173,A3 Sportback 40 e-tron S tronic (8V),150.0,Audi,37900,,22200,18400,18100,,,
174,A3 Limousine 1.0 TFSI  (8V),85.0,Audi,26250,,16950,15900,14150,,,
175,A3 Limousine 1.4 TFSI Attraction (8V),92.0,Audi,25500,,,,15350,14000,13100,
176,A3 Limousine 1.4 TFSI cod ultra Attraction (8V),110.0,Audi,32650,,,,19700,17800,16100,
177,A3 Limousine 1.4 TFSI cod ultra  (8V),110.0,Audi,26800,,,18150,16500,,,
178,A3 Limousine 1.5 TFSI cod  (8V),110.0,Audi,28200,,18200,16650,,,,
179,A3 Limousine 35 TFSI  (8V),110.0,Audi,27977,20250,18550,,,,,21750
180,A3 Limousine 1.8 TFSI Attraction (8V),132.0,Audi,28950,,,,18650,16950,15850,
181,A3 Limousine 1.8 TFSI Attraction quattro S tronic (8V),132.0,Audi,32800,,,,20900,19000,17850,
182,A3 Limousine 2.0 TFSI sport quattro S tronic  (8V),140.0,Audi,36750,27200,26900,24200,21550,,,
183,A3 Limousine 40 TFSI sport quattro S tronic  (8V),140.0,Audi,36311,27300,,,,,,28850
184,A3 Limousine 1.6 TDI Attraction (8V),81.0,Audi,27500,,,,14050,12900,11800,
185,A3 Limousine 1.6 TDI ultra Attraction (8V),81.0,Audi,27550,,,,14250,12600,11500,
186,A3 Limousine 1.6 TDI  (8V),81.0,Audi,27750,,,15550,13850,,,
187,A3 Limousine 1.6 TDI  (8V),85.0,Audi,29250,,15800,14850,,,,
188,A3 Limousine 2.0 TDI  (8V),110.0,Audi,33450,,18300,17200,16150,,,
189,A3 Limousine 2.0 TDI quattro (8V),110.0,Audi,32650,,19300,18300,17200,,,
190,A3 Limousine 35 TDI  (8V),110.0,Audi,31194,19450,18300,,,,,20200
191,A3 Limousine 2.0 TDI Attraction (8V),135.0,Audi,31600,,,,17500,15500,13950,
192,A3 Limousine 2.0 TDI Attraction quattro S tronic (8V),135.0,Audi,35450,,,,19550,17350,15900,
193,A3 Limousine 2.0 TDI sport quattro S tronic (8V),135.0,Audi,39200,26450,24900,23150,20000,,,
194,A3 Limousine 40 TDI sport quattro S tronic  (8V),135.0,Audi,38747,26800,,,,,,28300
195,A3 Cabriolet 1.4 TFSI Attraction (8V),85.0,Audi,29900,,,,18550,,,
196,A3 Cabriolet 1.4 TFSI  (8V),85.0,Audi,32150,,21600,20200,18000,,,
197,A3 Cabriolet 1.4 TFSI Attraction (8V),92.0,Audi,31400,,,,18900,16700,15450,
198,A3 Cabriolet 1.4 TFSI cod ultra  (8V),110.0,Audi,32700,,,22450,19400,,,
199,A3 Cabriolet 1.5 TFSI cod  (8V),110.0,Audi,34100,,24950,22000,,,,
200,A3 Cabriolet 35 TFSI cod  (8V),110.0,Audi,33728,26800,25000,,,,,28300
201,A3 Cabriolet 1.8 TFSI Attraction (8V),132.0,Audi,34850,,,,20750,18750,17350,
202,A3 Cabriolet 1.8 TFSI Attraction quattro S tronic (8V),132.0,Audi,38700,,,,22800,20600,19050,
203,A3 Cabriolet 2.0 TFSI sport quattro S tronic  (8V),140.0,Audi,42650,31850,29750,27850,24800,,,
204,A3 Cabriolet 40 TFSI sport quattro S tronic  (8V),140.0,Audi,42063,32200,,,,,,35750
205,A3 Cabriolet 1.6 TDI Attraction (8V),81.0,Audi,33400,,,,15750,13650,12250,
206,A3 Cabriolet 2.0 TDI Attraction (8V),110.0,Audi,35750,,,,17650,15250,13700,
207,A3 Cabriolet 2.0 TDI Attraction quattro (8V),110.0,Audi,37700,,,,18400,15900,14250,
208,A3 Cabriolet 2.0 TDI  (8V),110.0,Audi,37250,,21300,20200,18200,,,
209,A3 Cabriolet 2.0 TDI quattro (8V),110.0,Audi,38550,,22200,21050,18950,,,
210,A3 Cabriolet 2.0 TDI Attraction (8V),135.0,Audi,37500,,,,18450,16150,14500,
211,A3 Cabriolet 2.0 TDI Attraction quattro S tronic (8V),135.0,Audi,41350,,,,20150,17600,15800,
212,A3 Cabriolet 2.0 TDI sport quattro S tronic (8V),135.0,Audi,45000,,26300,23500,20750,,,
213,A3 Sportback 30 TFSI  (8Y),81.0,Audi,28650,,,,,,,22650
214,A3 Sportback 35 TFSI  (8Y),110.0,Audi,28172,,,,,,,23900
215,A3 Sportback 30 TDI  (8Y),85.0,Audi,29146,,,,,,,23750
216,A3 Sportback 35 TDI  (8Y),110.0,Audi,34850,,,,,,,25700
217,A3 Sportback 40 TDI advanced quattro S tronic (8Y),147.0,Audi,41450,,,,,,,31200
218,A3 Sportback 30 g-tron S tronic (8Y),96.0,Audi,33450,,,,,,,26300
219,A3 Sportback 40 TFSI e S tronic (8Y),150.0,Audi,38440,,,,,,,28400
220,A3 Sportback 45 TFSI e S line S tronic (8Y),180.0,Audi,41440,,,,,,,29500
221,A3 Limousine 30 TFSI  (8Y),81.0,Audi,29450,,,,,,,22650
222,A3 Limousine 30 TDI  (8Y),85.0,Audi,30023,,,,,,,23500
223,A3 Limousine 35 TDI  (8Y),110.0,Audi,35650,,,,,,,25750
224,A3 Limousine 40 TDI advanced quattro S tronic (8Y),147.0,Audi,42250,,,,,,,30550
225,RS3 Sportback S tronic (8V),270.0,Audi,53500,,,,38000,34150,,
226,RS3 Sportback S tronic (8V),294.0,Audi,55900,,47050,44500,,,,
227,RS3 Limousine S tronic (8V),294.0,Audi,57200,,47650,45050,,,,
228,S3  (8V),221.0,Audi,40050,,,,26050,24200,22750,
229,S3  (8V),228.0,Audi,41450,,,29750,26500,,,
230,S3 Sportback  (8V),221.0,Audi,40950,,,,27450,25550,23950,
231,S3 Sportback S tronic (8V),221.0,Audi,44353,38350,35800,,,,,40550
232,S3 Sportback  (8V),228.0,Audi,43050,,32900,31350,27950,,,
233,S3 Limousine  (8V),221.0,Audi,41550,,,,27300,25400,23800,
234,S3 Limousine S tronic (8V),221.0,Audi,45231,38400,35850,,,,,41400
235,S3 Limousine  (8V),228.0,Audi,43950,,32950,31400,28000,,,
236,S3 Cabriolet S tronic (8V),221.0,Audi,49350,,,,30800,27050,25350,
237,S3 Cabriolet S tronic (8V),221.0,Audi,50982,41650,36250,,,,,46200
238,S3 Cabriolet S tronic (8V),228.0,Audi,51850,,36250,32600,29050,,,
239,S3 Sportback S tronic (8Y),228.0,Audi,49450,,,,,,,46050
240,S3 Limousine S tronic (8Y),228.0,Audi,50250,,,,,,,44700
241,A4 1.8 TFSI Attraction (B8),88.0,Audi,28850,,,,,13750,12650,
242,A4 2.0 TFSI flexible fuel Attraction  (B8),132.0,Audi,34200,,,,,15700,13850,
243,A4 2.0 TFSI flexible fuel Attraction quattro  (B8),132.0,Audi,36550,,,,,16750,14850,
244,A4 2.0 TFSI Attraction (B8),165.0,Audi,37700,,,,,16100,14250,
245,A4 2.0 TFSI Attraction quattro (B8),165.0,Audi,40050,,,,,17100,15150,
246,A4 2.0 TDI Attraction (B8),88.0,Audi,31250,,,,,13350,11700,
247,A4 2.0 TDI ultra Attraction (B8),100.0,Audi,34450,,,,,13400,12400,
248,A4 2.0 TDI Attraction (B8),110.0,Audi,33350,,,,,13750,12100,
249,A4 2.0 TDI Attraction quattro (B8),110.0,Audi,35700,,,,,14750,12950,
250,A4 2.0 TDI ultra Attraction (B8),120.0,Audi,35850,,,,,13350,11700,
251,A4 2.0 TDI Attraction (B8),130.0,Audi,35450,,,,,14650,12850,
252,A4 2.0 TDI Attraction quattro (B8),130.0,Audi,37800,,,,,14850,13050,
253,A4 2.0 TDI Attraction (B8),140.0,Audi,36950,,,,,15050,13200,
254,A4 2.0 TDI Attraction quattro (B8),140.0,Audi,39300,,,,,15400,13500,
255,A4 3.0 TDI Attraction (B8),150.0,Audi,38250,,,,,14400,13950,
256,A4 3.0 TDI Attraction quattro (B8),180.0,Audi,44250,,,,,17550,15400,
257,A4 Avant 1.8 TFSI Attraction (B8),88.0,Audi,30600,,,,,14600,12900,
258,A4 Avant 2.0 TFSI flexible fuel Attraction  (B8),132.0,Audi,35950,,,,,16200,14350,
259,A4 Avant 2.0 TFSI flexible fuel Attraction quattro  (B8),132.0,Audi,38300,,,,,17300,15300,
260,A4 allroad 2.0 TFSI quattro (B8),165.0,Audi,42650,,,,23750,20800,18400,
261,A4 Avant 2.0 TFSI Attraction (B8),165.0,Audi,39450,,,,,18600,16450,
262,A4 Avant 2.0 TFSI Attraction quattro (B8),165.0,Audi,41800,,,,,18950,16800,
263,A4 Avant 2.0 TDI Attraction (B8),88.0,Audi,33000,,,,,12250,10950,
264,A4 Avant 2.0 TDI ultra Attraction (B8),100.0,Audi,36200,,,,,12500,11550,
265,A4 allroad 2.0 TDI quattro (B8),110.0,Audi,39200,,,,,16350,14350,
266,A4 Avant 2.0 TDI Attraction (B8),110.0,Audi,35100,,,,,13900,12150,
267,A4 Avant 2.0 TDI Attraction quattro (B8),110.0,Audi,37450,,,,,14850,13000,
268,A4 Avant 2.0 TDI ultra Attraction (B8),120.0,Audi,37600,,,,,14050,12350,
269,A4 allroad 2.0 TDI quattro (B8),130.0,Audi,41300,,,,,17450,16350,
270,A4 Avant 2.0 TDI Attraction (B8),130.0,Audi,37200,,,,,13250,12100,
271,A4 Avant 2.0 TDI Attraction quattro (B8),130.0,Audi,39550,,,,,13700,13000,
272,A4 allroad 2.0 TDI quattro (B8),140.0,Audi,41900,,,,20650,17750,16050,
273,A4 Avant 2.0 TDI Attraction (B8),140.0,Audi,38700,,,,,14250,13200,
274,A4 Avant 2.0 TDI Attraction quattro (B8),140.0,Audi,41050,,,,,16000,14050,
275,A4 Avant 3.0 TDI Attraction (B8),150.0,Audi,40000,,,,,14450,13450,
276,A4 allroad 3.0 TDI quattro S tronic (B8),180.0,Audi,49950,,,,,20800,18050,
277,A4 Avant 3.0 TDI Attraction quattro (B8),180.0,Audi,46000,,,,,17700,15550,
278,A4,110.0,Audi,32400,,20750,19650,17750,15700,,
279,A4,110.0,Audi,32700,21550,20450,,,,,
280,A4,110.0,Audi,33240,22600,,,,,,25050
281,A4,140.0,Audi,42150,,22900,19800,18400,14400,,
282,A4,140.0,Audi,36800,24450,22100,,,,,
283,A4,140.0,Audi,39382,26250,,,,,,29450
284,A4,150.0,Audi,45150,,,,,,,33000
285,A4,150.0,Audi,42800,,,,,,,30900
286,A4,180.0,Audi,46200,32100,,,,,,
287,A4,180.0,Audi,43850,30500,,,,,,
288,A4,180.0,Audi,45523,31750,,,,,,34850
289,A4,185.0,Audi,43850,,27750,25050,23750,20800,,
290,A4,195.0,Audi,49100,,,,,,,35950
291,A4,90.0,Audi,37700,,20400,17850,16100,,,
292,A4,90.0,Audi,34995,22050,,,,,,24700
293,A4,100.0,Audi,38406,25150,,,,,,27050
294,A4,110.0,Audi,39100,,21850,19350,16750,14700,,
295,A4,110.0,Audi,39150,,23100,20600,18050,,,
296,A4,110.0,Audi,37000,,21850,20450,17950,15750,,
297,A4,110.0,Audi,39100,24450,21850,,,,,
298,A4,120.0,Audi,40162,26550,,,,,,28600
299,A4,140.0,Audi,44500,,23050,21000,19100,16350,,
300,A4,140.0,Audi,39100,,23700,22500,20400,18900,,
301,A4,140.0,Audi,44500,28150,24900,,,,,
302,A4,140.0,Audi,42150,26850,24250,,,,,
303,A4,140.0,Audi,43719,30100,,,,,,32050
304,A4,140.0,Audi,41915,26400,,,,,,28950
