,model,kw,mark,new,2019,2018,2017,2016,2015,2014,2020
0,124 Spider  (NF),125.0,Abarth,33000,24300,21450,20450,19050,,,
1,595 Custom (312),103.0,Abarth,21490,,,,,11900,10800,
2,595 Competizione (312),132.0,Abarth,24250,,,,12350,10900,,
3,695 Biposto (312),139.0,Abarth,39900,29200,27200,24300,20550,18050,16150,
4,595C Custom (312),99.0,Abarth,20190,,,,,11150,10150,
5,595  (312),107.0,Abarth,18490,,12550,11200,10550,,,
6,595 Pista (312),118.0,Abarth,21190,,16050,13950,,,,
7,595 Pista (312),121.0,Abarth,22990,,,,,,,20050
8,695 XSR Yamaha (312),121.0,Abarth,24890,19700,18350,16350,,,,
9,595 Competizione (312),132.0,Abarth,25190,,17000,15150,12850,,,
10,695 Rivale (312),132.0,Abarth,28000,,18550,16550,,,,
11,595C  (312),107.0,Abarth,21090,,13950,12550,11000,,,
12,595C Pista (312),118.0,Abarth,23790,,15650,14100,,,,
13,595C Pista (312),121.0,Abarth,25590,,,,,,,20050
14,695C XSR Yamaha (312),121.0,Abarth,27490,,18200,16350,,,,
15,595C Competizione (312),132.0,Abarth,27790,,18500,16650,14600,,,
16,695C Rivale (312),132.0,Abarth,30000,,20000,18000,,,,
17,4C  (960),177.0,Alfa Romeo,63500,,44050,40900,32750,30200,27350,
18,4C Spider  (960),177.0,Alfa Romeo,72000,56050,49950,46350,37150,34100,,
19,Giulia 2.0 Turbo 16V AT8 (952),147.0,Alfa Romeo,36067,26200,24150,,,,,29000
20,Giulia 2.0 Turbo 16V Veloce AT8 (952),206.0,Alfa Romeo,49227,,,,,,,40500
21,Giulia Quadrifoglio  (952),375.0,Alfa Romeo,79000,,53650,48900,44150,,,
22,Giulia Quadrifoglio OPF AT8 (952),375.0,Alfa Romeo,77691,56400,53650,,,,,62450
23,Giulia 2.2 Diesel  (952),100.0,Alfa Romeo,33100,,,16600,14500,,,
24,Giulia 2.2 Diesel  (952),110.0,Alfa Romeo,34100,,19650,17350,15950,,,
25,Giulia 2.2 Diesel AT8 (952),118.0,Alfa Romeo,36067,24400,22000,,,,,27300
26,Giulia 2.2 Diesel Advanced Efficiency AT8 (952),132.0,Alfa Romeo,39000,,22500,20500,18850,,,
27,Giulia 2.2 Diesel Super (952),132.0,Alfa Romeo,37600,,21700,19750,18150,,,
28,Giulia 2.2 Diesel Super Q4 AT8 (952),132.0,Alfa Romeo,43300,,21950,20800,,,,
29,Giulia 2.2 Diesel Business AT8 (952),140.0,Alfa Romeo,40454,,,,,,,30500
30,Giulia 2.2 Diesel Super Q4 AT8 (952),140.0,Alfa Romeo,43378,28950,26400,,,,,32100
31,Giulietta 1.4 TB 16V  (940),88.0,Alfa Romeo,21500,,14850,13350,10850,,,
32,Giulietta 1.4 TB 16V Sprint (940),110.0,Alfa Romeo,25200,,,,13300,11850,10300,
33,Giulietta 1.4 TB 16V Super (940),110.0,Alfa Romeo,25500,,16250,13900,13400,,,
34,Giulietta 1.4 TB 16V MultiAir Super TCT (940),125.0,Alfa Romeo,28600,,16400,14750,13650,,,
