,adult_points,adult_percentage,child_points,child_percentage,road users_points,road users_percentage,assist_points,assist_percentage,total_points,URL,name,stars,id,YEAR
10,32.6,85.0,42.4,86.0,40.5,74.0,10.4,65.0,125.9,https://www.euroncap.com/en/results/ds/4/45659,DS 4,4,45659,2022
188,34.1,89.0,43.0,87.0,34.8,64.0,14.0,87.0,125.89999999999999,https://www.euroncap.com/en/results/genesis/gv70/44200,Genesis GV70,5,44200,2021
287,34.5,90.0,42.2,86.0,35.1,64.0,14.0,87.0,125.80000000000001,https://www.euroncap.com/en/results/kia/ev6/45871,Kia EV6,5,45871,2022
161,35.2,92.0,43.4,88.0,37.5,78.0,9.7,74.0,125.8,https://www.euroncap.com/en/results/mercedes-benz/glb/38858,Mercedes-Benz GLB,5,38858,2019
40,35.3,92.0,43.0,87.0,32.9,60.0,14.5,90.0,125.69999999999999,https://www.euroncap.com/en/results/vw/id.%2Bbuzz/47766,Volkswagen ID. Buzz,5,47766,2022
189,32.2,84.0,42.2,86.0,37.6,69.0,13.4,83.0,125.4,https://www.euroncap.com/en/results/isuzu/d-max/41401,ISUZU D-MAX,5,41401,2020
46,34.1,89.0,43.0,87.0,34.2,63.0,14.1,88.0,125.39999999999999,https://www.euroncap.com/en/results/genesis/gv60/46605,Genesis GV60,5,46605,2022
211,32.5,85.0,41.7,85.0,38.4,71.0,12.7,79.0,125.3,https://www.euroncap.com/en/results/land%2Brover/defender/41395,Land Rover Defender,5,41395,2020
177,33.3,87.0,43.0,87.0,38.7,71.0,10.2,64.0,125.2,https://www.euroncap.com/en/results/bmw/i4/46241,BMW i4,4,46241,2022
275,33.8,89.0,41.2,84.0,37.1,68.0,13.1,81.0,125.19999999999999,https://www.euroncap.com/en/results/skoda/octavia/47756,Skoda Octavia,5,47756,2022
26,32.4,85.0,42.0,85.0,37.5,69.0,13.2,82.0,125.10000000000001,https://www.euroncap.com/en/results/land%2Brover/range%2Brover/47131,Land Rover Range Rover Sport,5,47131,2022
43,33.8,88.0,42.6,86.0,34.4,63.0,14.2,88.0,125.00000000000001,https://www.euroncap.com/en/results/hyundai/ioniq%25205/43813,Hyundai IONIQ 5,5,43813,2021
196,35.9,94.0,43.0,87.0,36.5,76.0,9.5,72.0,124.9,https://www.euroncap.com/en/results/bmw/2%2Bseries%2Bgran%2Bcoup%25c3%25a9/41291,BMW 2 Series Gran Coupe,5,41291,2019
142,36.5,96.0,43.7,89.0,34.8,72.0,9.9,75.0,124.9,https://www.euroncap.com/en/results/renault/clio/35877,Renault Clio,5,35877,2019
158,35.9,94.0,39.5,80.0,38.0,70.0,11.4,70.0,124.80000000000001,https://www.euroncap.com/en/results/vw/polo/45237,Volkswagen Polo,5,45237,2022
318,36.8,96.0,42.0,85.0,36.1,85.0,9.9,82.0,124.80000000000001,https://www.euroncap.com/en/results/vw/arteon/27324,Volkswagen Arteon,5,27324,2017
112,37.5,98.0,39.9,81.0,35.0,72.0,12.3,94.0,124.7,https://www.euroncap.com/en/results/tesla/model%2Bx/39141,Tesla Model X,5,39141,2019
171,37.2,97.0,43.0,87.0,34.5,71.0,10.0,76.0,124.7,https://www.euroncap.com/en/results/volvo/xc40/33014,Volvo XC40,5,33014,2018
82,36.0,94.0,41.5,84.0,37.2,77.0,9.7,74.0,124.4,https://www.euroncap.com/en/results/ford/puma/39674,Ford Puma,5,39674,2019
53,35.3,92.0,43.2,88.0,35.5,73.0,10.3,79.0,124.3,https://www.euroncap.com/en/results/skoda/octavia/39136,Škoda Octavia,5,39136,2019
175,36.6,96.0,43.0,87.0,34.8,72.0,9.9,75.0,124.3,https://www.euroncap.com/en/results/ford/focus/38092,Ford Focus,5,38092,2019
160,31.6,83.0,39.5,80.0,40.6,75.0,12.6,78.0,124.29999999999998,https://www.euroncap.com/en/results/mg/4%2520electric/48646,MG 4 Electric,5,48646,2022
15,32.6,85.0,43.3,88.0,35.4,65.0,12.7,79.0,124.00000000000001,https://www.euroncap.com/en/results/renault/megane%2Be-tech/45241,Renault Megane E-Tech,5,45241,2022
124,36.2,95.0,42.0,85.0,35.1,73.0,10.4,80.0,123.70000000000002,https://www.euroncap.com/en/results/audi/a1/38088,Audi A1,5,38088,2019
332,36.5,96.0,42.4,86.0,34.5,71.0,10.3,79.0,123.7,https://www.euroncap.com/en/results/peugeot/508/34194,Peugeot 508,5,34194,2018
180,33.4,87.0,42.5,86.0,36.1,66.0,11.6,72.0,123.6,https://www.euroncap.com/en/results/kia/sportage/46244,Kia Sportage,5,46244,2022
197,36.8,96.0,41.0,83.0,36.1,75.0,9.6,74.0,123.5,https://www.euroncap.com/en/results/renault/captur/39132,Renault Captur,5,39132,2019
259,36.8,96.0,41.0,83.0,36.1,75.0,9.6,74.0,123.5,https://www.euroncap.com/en/results/renault/arkana/42253,Renault Arkana,5,42253,2019
0,35.8,94.0,44.0,89.0,35.4,84.0,8.3,68.0,123.49999999999999,https://www.euroncap.com/en/results/subaru/xv/29055,Subaru XV,5,29055,2017
164,36.5,96.0,41.2,84.0,35.7,74.0,10.0,76.0,123.4,https://www.euroncap.com/en/results/volvo/v60/34201,Volvo V60,5,34201,2018
192,37.2,98.0,42.9,87.0,31.9,76.0,11.4,95.0,123.4,https://www.euroncap.com/en/results/volvo/xc60/28534,Volvo XC60,5,28534,2017
103,36.5,96.0,41.2,84.0,35.7,74.0,10.0,76.0,123.4,https://www.euroncap.com/en/results/volvo/s60/34631,Volvo S60,5,34631,2018
239,36.8,96.0,43.0,87.0,34.0,70.0,9.6,73.0,123.39999999999999,https://www.euroncap.com/en/results/ford/mondeo/39121,Ford Mondeo,5,39121,2019
255,31.6,83.0,41.9,85.0,36.2,67.0,13.6,85.0,123.3,https://www.euroncap.com/en/results/alfa%2520romeo/tonale/46239,Alfa Romeo Tonale,5,46239,2022
33,33.0,86.0,42.8,87.0,36.1,66.0,11.3,70.0,123.2,https://www.euroncap.com/en/results/hyundai/tucson/43815,Hyundai TUCSON,5,43815,2021
193,32.3,84.0,40.6,82.0,37.6,69.0,12.7,79.0,123.2,https://www.euroncap.com/en/results/vw/caddy/44208,Volkswagen Caddy,5,44208,2021
200,32.3,84.0,40.6,82.0,37.6,69.0,12.7,79.0,123.2,https://www.euroncap.com/en/results/ford/tourneo%2520connect/45232,Ford Tourneo Connect,5,45232,2021
352,29.1,76.0,41.3,84.0,42.2,78.0,10.5,65.0,123.10000000000001,https://www.euroncap.com/en/results/peugeot/408/48757,Peugeot 408,4,48757,2022
78,36.0,94.0,42.7,87.0,34.8,72.0,9.5,73.0,123.0,https://www.euroncap.com/en/results/land%2Brover/range%2Brover%2Bevoque/35028,Land Rover Range Rover Evoque,5,35028,2019
302,34.2,89.0,42.6,86.0,36.3,75.0,9.8,75.0,122.9,https://www.euroncap.com/en/results/bmw/x5/34190,BMW X5,5,34190,2018
222,35.8,94.0,44.0,89.0,34.6,82.0,8.3,68.0,122.7,https://www.euroncap.com/en/results/subaru/impreza/29084,Subaru Impreza,5,29084,2017
201,36.1,95.0,45.0,91.0,31.9,66.0,9.5,73.0,122.5,https://www.euroncap.com/en/results/mazda/6/33729,Mazda 6,5,33729,2018
218,34.1,89.0,39.7,81.0,36.8,68.0,11.8,73.0,122.4,https://www.euroncap.com/en/results/audi/a3/41396,Audi A3,5,41396,2020
96,34.6,90.0,40.8,83.0,37.5,78.0,9.4,72.0,122.30000000000001,https://www.euroncap.com/en/results/mercedes-benz/g-class/34835,Mercedes-Benz G-Class,5,34835,2019
238,35.3,93.0,43.0,87.0,34.5,71.0,9.5,73.0,122.3,https://www.euroncap.com/en/results/audi/q8/39673,Audi Q8,5,39673,2019
30,31.2,82.0,42.7,87.0,37.8,69.0,10.6,66.0,122.3,https://www.euroncap.com/en/results/citro%25c3%25abn/c5%2Bx/46599,Citroën C5 X,4,46599,2022
242,32.4,85.0,40.1,81.0,38.2,70.0,11.4,71.0,122.10000000000001,https://www.euroncap.com/en/results/skoda/fabia/44207,Skoda Fabia,5,44207,2021
68,29.2,76.0,40.4,82.0,41.4,76.0,10.8,67.0,121.8,https://www.euroncap.com/en/results/hyundai/i20/46622,Hyundai i20,4,46622,2021
111,29.2,76.0,40.4,82.0,41.4,76.0,10.8,67.0,121.8,https://www.euroncap.com/en/results/hyundai/bayon/43817,Hyundai BAYON,4,43817,2021
58,29.9,78.0,38.5,78.0,40.3,74.0,13.0,81.0,121.7,https://www.euroncap.com/en/results/toyota/aygo%2Bx/46259,Toyota Aygo X,4,46259,2022
19,35.8,94.0,43.0,87.0,32.4,67.0,10.5,80.0,121.69999999999999,https://www.euroncap.com/en/results/hyundai/nexo/33731,Hyundai NEXO,5,33731,2018
236,35.4,93.0,41.4,84.0,35.2,73.0,9.6,73.0,121.6,https://www.euroncap.com/en/results/peugeot/2008/39126,Peugeot 2008,5,39126,2019
50,36.6,96.0,43.0,87.0,33.5,79.0,8.5,71.0,121.6,https://www.euroncap.com/en/results/vw/t-roc/28464,VW T-Roc,5,28464,2017
273,33.9,89.0,42.4,86.0,34.6,72.0,10.6,81.0,121.5,https://www.euroncap.com/en/results/vw/touareg/33478,Volkswagen Touareg,5,33478,2018
325,35.2,92.0,42.5,86.0,34.3,71.0,9.5,72.0,121.5,https://www.euroncap.com/en/results/audi/q7/38855,Audi Q7,5,38855,2019
109,35.9,94.0,43.2,88.0,32.2,67.0,9.9,76.0,121.2,https://www.euroncap.com/en/results/hyundai/santa%2520fe/34195,Hyundai Santa Fe,5,34195,2018
89,31.2,82.0,41.9,85.0,34.1,63.0,14.0,87.0,121.19999999999999,https://www.euroncap.com/en/results/kia/sorento/41400,Kia Sorento,5,41400,2020
243,35.4,93.0,42.3,86.0,34.2,71.0,9.3,71.0,121.19999999999999,https://www.euroncap.com/en/results/nissan/leaf/32742,Nissan LEAF,5,32742,2018
59,29.9,78.0,43.0,87.0,36.6,67.0,11.6,72.0,121.1,https://www.euroncap.com/en/results/nissan/townstar/44205,Nissan Townstar,4,44205,2021
70,29.9,78.0,43.0,87.0,36.6,67.0,11.6,72.0,121.1,https://www.euroncap.com/en/results/renault/kangoo/43189,Renault Kangoo,4,43189,2021
195,34.9,91.0,41.7,85.0,34.4,71.0,10.0,76.0,121.0,https://www.euroncap.com/en/results/audi/e-tron/35869,Audi e-tron,5,35869,2019
74,31.8,83.0,43.0,87.0,36.5,76.0,9.5,72.0,120.8,https://www.euroncap.com/en/results/bmw/1%2520series/38528,BMW 1 series,5,38528,2019
84,34.4,90.0,43.0,87.0,34.0,80.0,9.3,77.0,120.7,https://www.euroncap.com/en/results/mercedes-benz/x-class/28954,Mercedes-Benz X-Class,5,28954,2017
85,34.8,91.0,40.0,81.0,35.3,73.0,10.6,81.0,120.69999999999999,https://www.euroncap.com/en/results/jaguar/i-pace/34193,Jaguar I Pace,5,34193,2018
228,32.5,85.0,43.0,87.0,34.8,72.0,9.9,75.0,120.2,https://www.euroncap.com/en/results/ford/focus/33017,Ford Focus,5,33017,2018
83,34.1,89.0,42.6,86.0,32.6,67.0,10.8,82.0,120.10000000000001,https://www.euroncap.com/en/results/citro%25c3%25abn/c5%2520aircross/35027,Citröen C5 Aircross,5,35027,2019
152,35.5,93.0,42.0,85.0,33.9,80.0,8.7,72.0,120.10000000000001,https://www.euroncap.com/en/results/jaguar/f-pace/29701,Jaguar F-Pace,5,29701,2017
130,36.5,96.0,42.4,86.0,31.0,64.0,10.0,76.0,119.9,https://www.euroncap.com/en/results/ds/3%2Bcrossback/37575,DS 3 Crossback,5,37575,2019
182,35.7,93.0,40.7,83.0,33.6,70.0,9.9,76.0,119.9,https://www.euroncap.com/en/results/honda/cr-v/34837,Honda CR-V,5,34837,2019
217,31.3,82.0,36.8,75.0,39.1,72.0,12.6,78.0,119.79999999999998,https://www.euroncap.com/en/results/honda/hr-v/45661,Honda HR-V,4,45661,2022
289,30.4,79.0,42.2,86.0,36.4,67.0,10.7,67.0,119.7,https://www.euroncap.com/en/results/ds/9/46602,DS 9,4,46602,2022
184,31.8,83.0,40.8,83.0,35.5,65.0,11.3,70.0,119.39999999999999,https://www.euroncap.com/en/results/seat/arona/47134,SEAT Arona,5,47134,2022
336,31.8,83.0,40.4,82.0,35.7,66.0,11.3,70.0,119.2,https://www.euroncap.com/en/results/seat/ibiza/47135,Seat Ibiza,5,47135,2022
220,36.2,95.0,39.3,80.0,32.3,76.0,11.2,93.0,119.0,https://www.euroncap.com/en/results/volvo/v90/26100,Volvo V90,5,26100,2017
272,36.2,95.0,39.3,80.0,32.3,76.0,11.2,93.0,119.0,https://www.euroncap.com/en/results/volvo/s90/26099,Volvo S90,5,26099,2017
169,28.7,75.0,41.3,84.0,37.9,70.0,11.0,69.0,118.9,https://www.euroncap.com/en/results/ford/puma/48749,Ford Puma,4,48749,2022
168,35.5,93.0,42.0,85.0,32.8,78.0,8.4,69.0,118.7,https://www.euroncap.com/en/results/opel/vauxhall/insignia/27281,Opel/Vauxhall Insignia,5,27281,2017
143,30.4,80.0,39.0,79.0,37.7,69.0,11.4,71.0,118.50000000000001,https://www.euroncap.com/en/results/mobilize/limo/47198,Mobilize Limo,4,47198,2022
213,33.8,88.0,41.8,85.0,33.1,68.0,9.7,74.0,118.39999999999999,https://www.euroncap.com/en/results/ssangyong/korando/38099,SsangYong Korando,5,38099,2019
29,31.3,82.0,40.1,81.0,36.6,67.0,10.2,64.0,118.2,https://www.euroncap.com/en/results/bmw/2%2Bseries%2Bcoup%25c3%25a9/45236,BMW 2 Series Coupé,4,45236,2022
65,30.7,80.0,40.4,82.0,36.4,67.0,10.6,66.0,118.1,https://www.euroncap.com/en/results/opel%252fvauxhall/astra/45874,Opel/Vauxhall Astra,4,45874,2022
176,35.4,93.0,39.7,81.0,33.0,78.0,9.9,82.0,118.0,https://www.euroncap.com/en/results/kia/stinger/29545,Kia Stinger,5,29545,2017
110,35.0,91.0,43.0,87.0,30.8,73.0,9.2,76.0,118.0,https://www.euroncap.com/en/results/ds/7%2520crossback/28749,DS 7 Crossback,5,28749,2017
219,34.8,91.0,42.0,85.0,34.1,81.0,7.1,59.0,118.0,https://www.euroncap.com/en/results/bmw/5%2520series/26656,BMW 5 Series,5,26656,2017
116,33.8,88.0,41.9,85.0,32.7,68.0,9.6,73.0,117.99999999999999,https://www.euroncap.com/en/results/kia/cee%2527d/37572,Kia Ceed,5,37572,2019
190,29.1,76.0,41.3,84.0,37.0,68.0,10.5,65.0,117.9,https://www.euroncap.com/en/results/peugeot/308/45875,Peugeot 308,4,45875,2022
262,36.7,96.0,42.0,85.0,32.0,76.0,7.2,59.0,117.9,https://www.euroncap.com/en/results/vw/polo/28459,VW Polo,5,28459,2017
225,36.9,97.0,38.2,78.0,33.8,80.0,8.5,71.0,117.39999999999999,https://www.euroncap.com/en/results/mitsubishi/eclipse%2Bcross/28678,Mitsubishi Eclipse Cross,5,28678,2017
263,35.5,93.0,41.8,85.0,31.3,74.0,8.7,72.0,117.3,https://www.euroncap.com/en/results/land%2Brover/range%2Brover%2Bvelar/28393,Range Rover Velar,5,28393,2017
79,33.0,86.0,43.0,87.0,32.5,77.0,8.7,72.0,117.2,https://www.euroncap.com/en/results/jaguar/e-pace/29026,Jaguar E-Pace,5,29026,2017
56,32.3,85.0,41.0,83.0,33.8,70.0,9.5,73.0,116.6,https://www.euroncap.com/en/results/porsche/taycan/39129,Porsche Taycan,5,39129,2019
38,34.5,90.0,41.7,85.0,31.0,64.0,9.2,70.0,116.4,https://www.euroncap.com/en/results/mg/zs%2520ev/39678,MG ZS EV,5,39678,2019
104,33.0,86.0,42.0,85.0,34.1,81.0,7.1,59.0,116.19999999999999,https://www.euroncap.com/en/results/bmw/6%2520series%2520gt/30116,BMW 6 Series GT,5,30116,2017
61,37.0,97.0,41.6,84.0,30.2,71.0,7.3,60.0,116.1,https://www.euroncap.com/en/results/alfa%2Bromeo/stelvio/27419,Alfa Romeo Stelvio,5,27419,2017
280,35.7,93.0,42.3,86.0,31.0,73.0,7.0,58.0,116.0,https://www.euroncap.com/en/results/audi/q5/26312,Audi Q5,5,26312,2017
290,35.2,92.0,40.0,81.0,30.8,64.0,9.9,76.0,115.9,https://www.euroncap.com/en/results/mg/hs/39677,MG HS,5,39677,2019
320,36.2,95.0,38.0,77.0,32.2,76.0,9.4,78.0,115.80000000000001,https://www.euroncap.com/en/results/toyota/c-hr/26309,Toyota C-HR,5,26309,2017
137,36.5,95.0,39.4,80.0,32.8,78.0,7.1,59.0,115.8,https://www.euroncap.com/en/results/mazda/cx-5/27704,Mazda CX-5,5,27704,2017
69,34.6,91.0,39.1,79.0,33.4,79.0,8.7,72.0,115.8,https://www.euroncap.com/en/results/nissan/micra/26836,Nissan Micra,5,26836,2017
231,28.9,76.0,39.5,80.0,36.4,67.0,10.8,67.0,115.60000000000001,https://www.euroncap.com/en/results/fiat/500e/44198,FIAT 500e,4,44198,2021
125,31.9,84.0,42.5,86.0,32.1,66.0,9.0,69.0,115.5,https://www.euroncap.com/en/results/opel/vauxhall/corsa/38859,Opel/Vauxhall Corsa,4,38859,2019
127,36.2,95.0,39.4,80.0,32.4,77.0,7.3,60.0,115.3,https://www.euroncap.com/en/results/seat/arona/28846,Seat Arona,5,28846,2017
14,35.2,92.0,39.0,79.0,31.2,65.0,9.8,75.0,115.2,https://www.euroncap.com/en/results/ford/tourneo%2520connect/33476,Ford Tourneo Connect,4,33476,2018
88,34.7,91.0,41.4,84.0,29.9,62.0,8.9,68.0,114.9,https://www.euroncap.com/en/results/peugeot/2008/39125,Peugeot 2008,4,39125,2019
330,33.2,87.0,42.2,86.0,29.4,61.0,10.0,76.0,114.80000000000001,https://www.euroncap.com/en/results/ford/explorer/38856,Ford Explorer,5,38856,2019
252,35.0,92.0,36.9,75.0,31.7,75.0,10.7,88.0,114.30000000000001,https://www.euroncap.com/en/results/honda/civic/29192,Honda Civic (reassessment),5,29192,2017
138,34.3,90.0,39.5,80.0,31.7,75.0,8.8,73.0,114.3,https://www.euroncap.com/en/results/land%2Brover/discovery/26434,Land Rover Discovery,5,26434,2017
295,29.4,77.0,40.0,81.0,34.0,62.0,10.7,66.0,114.10000000000001,https://www.euroncap.com/en/results/vw/touran/47768,Volkswagen Touran,4,47768,2022
342,36.2,95.0,39.6,80.0,30.8,73.0,7.5,62.0,114.10000000000001,https://www.euroncap.com/en/results/porsche/cayenne/29116,Porsche Cayenne,5,29116,2017
63,33.4,87.0,42.6,86.0,27.9,58.0,9.8,75.0,113.7,https://www.euroncap.com/en/results/citro%25c3%25abn/c5%2Baircross/35026,Citroën C5 Aircross,4,35026,2019
271,35.5,93.0,41.2,84.0,29.8,71.0,7.1,59.0,113.6,https://www.euroncap.com/en/results/kia/stonic/29605,Kia Stonic,5,29605,2017
1,28.7,76.0,40.6,82.0,33.9,62.0,10.4,65.0,113.6,https://www.euroncap.com/en/results/honda/e/41399,Honda e,4,41399,2020
347,35.5,93.0,41.2,84.0,29.8,71.0,7.1,59.0,113.6,https://www.euroncap.com/en/results/kia/rio/27768,Kia Rio,5,27768,2017
335,34.7,91.0,42.5,86.0,26.9,56.0,9.2,71.0,113.3,https://www.euroncap.com/en/results/peugeot/208/38543,Peugeot 208,4,38543,2019
75,36.1,95.0,37.8,77.0,32.0,76.0,7.3,60.0,113.2,https://www.euroncap.com/en/results/seat/ibiza/27356,Seat Ibiza,5,27356,2017
49,35.4,93.0,41.2,84.0,29.4,70.0,7.0,58.0,113.0,https://www.euroncap.com/en/results/bmw/x3%2B%252f%2Bx4/33285,BMW X3 / X4,5,33285,2017
23,30.5,80.0,40.9,83.0,30.9,57.0,10.2,63.0,112.50000000000001,https://www.euroncap.com/en/results/citro%25c3%25abn/c4/42889,Citroën C4,4,42889,2021
