,adult_points,adult_percentage,child_points,child_percentage,road users_points,road users_percentage,assist_points,assist_percentage,total_points,URL,name,stars,id,YEAR
136,27.9,73.0,41.4,84.0,25.1,52.0,6.5,50.0,100.9,https://www.euroncap.com/en/results/suzuki/jimny/33370,Suzuki Jimny,3,33370,2018
340,31.5,83.0,36.9,75.0,29.4,69.0,3.0,25.0,100.80000000000001,https://www.euroncap.com/en/results/suzuki/swift/26927,Suzuki Swift,3,26927,2017
172,31.3,82.0,31.2,63.0,27.0,64.0,6.9,57.0,96.4,https://www.euroncap.com/en/results/toyota/aygo/29447,Toyota Aygo,4,29447,2017
60,33.3,87.0,31.6,64.0,22.8,54.0,5.7,47.0,93.4,https://www.euroncap.com/en/results/kia/picanto/27763,Kia Picanto,4,27763,2017
146,26.9,70.0,35.6,72.0,22.2,41.0,6.8,42.0,91.5,https://www.euroncap.com/en/results/dacia/sandero%2Bstepway/42506,Dacia Sandero Stepway,2,42506,2021
288,26.9,70.0,35.6,72.0,22.2,41.0,6.8,42.0,91.5,https://www.euroncap.com/en/results/dacia/logan/42505,Dacia Logan,2,42505,2021
311,28.0,73.0,34.4,70.0,21.9,45.0,7.2,55.0,91.5,https://www.euroncap.com/en/results/aiways/u5/39672,Aiways U5,3,39672,2019
337,28.2,74.0,38.4,78.0,20.3,48.0,3.0,25.0,89.89999999999999,https://www.euroncap.com/en/results/citro%25c3%25abn/e-mehari/28992,Citroën e-Mehari,3,28992,2017
308,28.3,74.0,31.2,63.0,27.0,64.0,3.0,25.0,89.5,https://www.euroncap.com/en/results/toyota/aygo/29355,Toyota Aygo,3,29355,2017
224,26.6,70.0,34.1,69.0,22.2,41.0,6.4,39.0,89.30000000000001,https://www.euroncap.com/en/results/dacia/jogger/45231,Dacia Jogger,1,45231,2021
344,30.3,79.0,31.6,64.0,22.8,54.0,3.0,25.0,87.7,https://www.euroncap.com/en/results/kia/picanto/27762,Kia Picanto,3,27762,2017
248,27.1,71.0,32.4,66.0,23.6,56.0,4.5,37.0,87.6,https://www.euroncap.com/en/results/dacia/duster/29898,Dacia Duster,3,29898,2017
5,28.9,76.0,29.6,60.0,25.0,59.0,3.5,29.0,87.0,https://www.euroncap.com/en/results/ford/c-max/29920,Ford C-MAX,3,29920,2017
7,28.9,76.0,29.6,60.0,25.0,59.0,3.5,29.0,87.0,https://www.euroncap.com/en/results/ford/grand%2520c-max/29958,Ford Grand C-MAX,3,29958,2017
3,27.8,73.0,30.0,61.0,24.3,57.0,3.5,29.0,85.6,https://www.euroncap.com/en/results/ford/ka%252b/26314,Ford Ka+,3,26314,2017
301,27.7,72.0,15.8,32.0,32.8,78.0,7.4,61.0,83.7,https://www.euroncap.com/en/results/ford/mustang/27540,Ford Mustang (reassessment),3,27540,2017
265,27.6,72.0,27.5,56.0,25.0,59.0,3.0,25.0,83.1,https://www.euroncap.com/en/results/alfa%2520romeo/giulietta/29288,Alfa Romeo Giulietta,3,29288,2017
47,19.3,50.0,34.3,69.0,23.9,49.0,4.2,32.0,81.7,https://www.euroncap.com/en/results/jeep/wrangler/34192,Jeep Wrangler,1,34192,2018
321,27.3,71.0,25.1,51.0,25.1,59.0,3.5,29.0,81.0,https://www.euroncap.com/en/results/mg/zs/29657,MG ZS,3,29657,2017
156,23.5,61.0,29.9,60.0,24.5,58.0,3.0,25.0,80.9,https://www.euroncap.com/en/results/opel%252fvauxhall/karl/28538,Opel/Vauxhall Karl,3,28538,2017
132,28.9,75.0,22.9,46.0,24.0,57.0,3.0,25.0,78.8,https://www.euroncap.com/en/results/fiat/doblo/26657,FIAT Doblò,3,26657,2017
131,25.1,66.0,24.4,49.0,22.5,53.0,3.2,27.0,75.2,https://www.euroncap.com/en/results/fiat/500/26307,FIAT 500,3,26307,2017
179,18.9,49.0,27.5,56.0,21.3,39.0,5.2,32.0,72.9,https://www.euroncap.com/en/results/dacia/spring/44197,Dacia Spring,1,44197,2021
314,27.7,72.0,15.8,32.0,27.0,64.0,2.0,16.0,72.5,https://www.euroncap.com/en/results/ford/mustang/26063,Ford Mustang,2,26063,2017
2,26.3,69.0,18.6,37.0,23.5,55.0,3.5,29.0,71.9,https://www.euroncap.com/en/results/ds/3/29893,DS 3,3,29893,2017
297,16.4,43.0,25.9,52.0,22.2,41.0,2.2,14.0,66.7,https://www.euroncap.com/en/results/renault/zoe/44206,Renault Zoe,0,44206,2021
107,19.7,51.0,21.4,43.0,22.2,52.0,0.0,0.0,63.3,https://www.euroncap.com/en/results/fiat/punto/29849,FIAT Punto,0,29849,2017
21,17.4,45.0,8.0,16.0,22.9,47.0,1.0,7.0,49.3,https://www.euroncap.com/en/results/fiat/panda/34191,FIAT Panda,0,34191,2018
